Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR27961784_2	(2.0, 125.0)	(3.0, 45.0)	(4.0, 59.0)	(5.0, 62.0)	(6.0, 36.0)	(7.0, 62.0)	(8.0, 67.0)	(9.0, 101.0)	(10.0, 95.0)	(11.0, 60.0)	(12.0, 75.0)	(13.0, 95.0)	(14.0, 667.0)	(15.0, 3539.0)	(16.0, 9005.0)	(17.0, 10130.0)	(18.0, 6749.0)	(19.0, 5959.0)	(20.0, 6229.0)	(21.0, 7436.0)	(22.0, 9671.0)	(23.0, 13678.0)	(24.0, 19199.0)	(25.0, 27162.0)	(26.0, 37245.0)	(27.0, 50127.0)	(28.0, 65258.0)	(29.0, 83132.0)	(30.0, 106175.0)	(31.0, 137823.0)	(32.0, 188837.0)	(33.0, 295510.0)	(34.0, 668083.0)	(35.0, 7429015.0)
SRR27961785_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 16.0)	(17.0, 89.0)	(18.0, 411.0)	(19.0, 1165.0)	(20.0, 2296.0)	(21.0, 3881.0)	(22.0, 5949.0)	(23.0, 8379.0)	(24.0, 12536.0)	(25.0, 18168.0)	(26.0, 26651.0)	(27.0, 37692.0)	(28.0, 50650.0)	(29.0, 67003.0)	(30.0, 86867.0)	(31.0, 112680.0)	(32.0, 154430.0)	(33.0, 241820.0)	(34.0, 545560.0)	(35.0, 7210225.0)											
SRR27961785_2	(2.0, 103.0)	(3.0, 46.0)	(4.0, 50.0)	(5.0, 43.0)	(6.0, 41.0)	(7.0, 53.0)	(8.0, 71.0)	(9.0, 65.0)	(10.0, 70.0)	(11.0, 69.0)	(12.0, 66.0)	(13.0, 72.0)	(14.0, 754.0)	(15.0, 3724.0)	(16.0, 10046.0)	(17.0, 12269.0)	(18.0, 9298.0)	(19.0, 8393.0)	(20.0, 8787.0)	(21.0, 9675.0)	(22.0, 11733.0)	(23.0, 15028.0)	(24.0, 19872.0)	(25.0, 27160.0)	(26.0, 35494.0)	(27.0, 46785.0)	(28.0, 60192.0)	(29.0, 76232.0)	(30.0, 96278.0)	(31.0, 123193.0)	(32.0, 165733.0)	(33.0, 254947.0)	(34.0, 563290.0)	(35.0, 7026838.0)
SRR27961786_1	(14.0, 1.0)	(15.0, 1.0)	(16.0, 14.0)	(17.0, 77.0)	(18.0, 413.0)	(19.0, 1178.0)	(20.0, 2421.0)	(21.0, 4257.0)	(22.0, 7161.0)	(23.0, 11091.0)	(24.0, 16707.0)	(25.0, 24632.0)	(26.0, 36227.0)	(27.0, 53508.0)	(28.0, 78669.0)	(29.0, 108175.0)	(30.0, 128374.0)	(31.0, 144707.0)	(32.0, 176045.0)	(33.0, 258118.0)	(34.0, 576674.0)	(35.0, 7101731.0)												
SRR27961786_2	(2.0, 116.0)	(3.0, 50.0)	(4.0, 70.0)	(5.0, 53.0)	(6.0, 40.0)	(7.0, 52.0)	(8.0, 61.0)	(9.0, 71.0)	(10.0, 68.0)	(11.0, 76.0)	(12.0, 83.0)	(13.0, 91.0)	(14.0, 1258.0)	(15.0, 15176.0)	(16.0, 59905.0)	(17.0, 66802.0)	(18.0, 28947.0)	(19.0, 14232.0)	(20.0, 11024.0)	(21.0, 10974.0)	(22.0, 12292.0)	(23.0, 15681.0)	(24.0, 20535.0)	(25.0, 27233.0)	(26.0, 36169.0)	(27.0, 48019.0)	(28.0, 61736.0)	(29.0, 79076.0)	(30.0, 100636.0)	(31.0, 130153.0)	(32.0, 175039.0)	(33.0, 268898.0)	(34.0, 593947.0)	(35.0, 6951618.0)
SRR27961787_1	(14.0, 1.0)	(15.0, 0.0)	(16.0, 18.0)	(17.0, 97.0)	(18.0, 427.0)	(19.0, 1176.0)	(20.0, 2453.0)	(21.0, 4190.0)	(22.0, 6912.0)	(23.0, 10629.0)	(24.0, 15712.0)	(25.0, 23543.0)	(26.0, 34072.0)	(27.0, 48463.0)	(28.0, 65642.0)	(29.0, 87274.0)	(30.0, 114183.0)	(31.0, 151521.0)	(32.0, 212260.0)	(33.0, 340272.0)	(34.0, 752694.0)	(35.0, 8777331.0)												
SRR27961787_2	(2.0, 132.0)	(3.0, 63.0)	(4.0, 68.0)	(5.0, 83.0)	(6.0, 55.0)	(7.0, 71.0)	(8.0, 68.0)	(9.0, 104.0)	(10.0, 82.0)	(11.0, 90.0)	(12.0, 97.0)	(13.0, 123.0)	(14.0, 1699.0)	(15.0, 16727.0)	(16.0, 57635.0)	(17.0, 61580.0)	(18.0, 30898.0)	(19.0, 20172.0)	(20.0, 17756.0)	(21.0, 17483.0)	(22.0, 18825.0)	(23.0, 22500.0)	(24.0, 28333.0)	(25.0, 36911.0)	(26.0, 48165.0)	(27.0, 61497.0)	(28.0, 79112.0)	(29.0, 99507.0)	(30.0, 126271.0)	(31.0, 163371.0)	(32.0, 224139.0)	(33.0, 356505.0)	(34.0, 829893.0)	(35.0, 8328855.0)
SRR27961788_1	(16.0, 8.0)	(17.0, 120.0)	(18.0, 468.0)	(19.0, 1194.0)	(20.0, 2450.0)	(21.0, 4095.0)	(22.0, 6462.0)	(23.0, 9790.0)	(24.0, 14673.0)	(25.0, 22279.0)	(26.0, 32731.0)	(27.0, 46440.0)	(28.0, 64733.0)	(29.0, 86288.0)	(30.0, 109142.0)	(31.0, 138162.0)	(32.0, 185904.0)	(33.0, 289000.0)	(34.0, 660144.0)	(35.0, 8825938.0)														
SRR27961788_2	(2.0, 137.0)	(3.0, 60.0)	(4.0, 81.0)	(5.0, 59.0)	(6.0, 41.0)	(7.0, 62.0)	(8.0, 79.0)	(9.0, 83.0)	(10.0, 90.0)	(11.0, 81.0)	(12.0, 100.0)	(13.0, 102.0)	(14.0, 898.0)	(15.0, 4584.0)	(16.0, 12945.0)	(17.0, 15785.0)	(18.0, 11405.0)	(19.0, 10183.0)	(20.0, 10690.0)	(21.0, 11615.0)	(22.0, 13877.0)	(23.0, 17642.0)	(24.0, 23380.0)	(25.0, 31912.0)	(26.0, 42678.0)	(27.0, 55996.0)	(28.0, 72729.0)	(29.0, 92807.0)	(30.0, 116474.0)	(31.0, 149102.0)	(32.0, 200302.0)	(33.0, 308119.0)	(34.0, 677881.0)	(35.0, 8618042.0)
SRR27961789_1	(15.0, 1.0)	(16.0, 12.0)	(17.0, 77.0)	(18.0, 337.0)	(19.0, 975.0)	(20.0, 2042.0)	(21.0, 3642.0)	(22.0, 5845.0)	(23.0, 9431.0)	(24.0, 13702.0)	(25.0, 20757.0)	(26.0, 30396.0)	(27.0, 43129.0)	(28.0, 58793.0)	(29.0, 78261.0)	(30.0, 101467.0)	(31.0, 132855.0)	(32.0, 181805.0)	(33.0, 286976.0)	(34.0, 647572.0)	(35.0, 8520953.0)													
