Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR26260936_2	(35, 58150.0)	(40, 5529.0)	(45, 6416.0)	(50, 8910.0)	(55, 9831.0)	(60, 16666.0)	(65, 27048.0)	(70, 43776.0)	(75, 67480.0)	(80, 107122.0)	(85, 161536.0)	(90, 241176.0)	(95, 335957.0)	(100, 444525.0)	(105, 557106.0)	(110, 671633.0)	(115, 760959.0)	(120, 818771.0)	(125, 873572.0)	(130, 898807.0)	(135, 929502.0)	(140, 914384.0)	(145, 6292922.0)	(150, 10519754.0)
SRR26260937_1	(35, 46290.0)	(40, 3937.0)	(45, 5667.0)	(50, 8870.0)	(55, 12366.0)	(60, 21173.0)	(65, 32931.0)	(70, 53291.0)	(75, 83904.0)	(80, 132870.0)	(85, 200719.0)	(90, 292232.0)	(95, 403306.0)	(100, 527922.0)	(105, 645873.0)	(110, 757009.0)	(115, 831817.0)	(120, 876955.0)	(125, 901443.0)	(130, 919766.0)	(135, 924604.0)	(140, 901751.0)	(145, 6145512.0)	(150, 11006060.0)
SRR26260937_2	(35, 46137.0)	(40, 4044.0)	(45, 5719.0)	(50, 9055.0)	(55, 12173.0)	(60, 21197.0)	(65, 33025.0)	(70, 53000.0)	(75, 82945.0)	(80, 131141.0)	(85, 199221.0)	(90, 290907.0)	(95, 400526.0)	(100, 526125.0)	(105, 643098.0)	(110, 752979.0)	(115, 827304.0)	(120, 870393.0)	(125, 893705.0)	(130, 909529.0)	(135, 910071.0)	(140, 892340.0)	(145, 6364474.0)	(150, 10857160.0)
SRR26260938_1	(35, 37938.0)	(40, 6145.0)	(45, 9111.0)	(50, 13047.0)	(55, 18657.0)	(60, 31430.0)	(65, 49462.0)	(70, 79503.0)	(75, 122255.0)	(80, 187697.0)	(85, 278542.0)	(90, 394099.0)	(95, 527033.0)	(100, 672757.0)	(105, 807310.0)	(110, 920972.0)	(115, 995054.0)	(120, 1027288.0)	(125, 1040744.0)	(130, 1034423.0)	(135, 1026980.0)	(140, 979909.0)	(145, 5157271.0)	(150, 9449033.0)
SRR26260938_2	(35, 37087.0)	(40, 6104.0)	(45, 8827.0)	(50, 13186.0)	(55, 18493.0)	(60, 31487.0)	(65, 49561.0)	(70, 79092.0)	(75, 121257.0)	(80, 186366.0)	(85, 277584.0)	(90, 393345.0)	(95, 525352.0)	(100, 671904.0)	(105, 806371.0)	(110, 919912.0)	(115, 994074.0)	(120, 1026097.0)	(125, 1039107.0)	(130, 1029708.0)	(135, 1017442.0)	(140, 972006.0)	(145, 5268703.0)	(150, 9373595.0)
SRR26260939_1	(35, 96267.0)	(40, 12678.0)	(45, 15474.0)	(50, 19028.0)	(55, 24219.0)	(60, 40890.0)	(65, 63867.0)	(70, 98499.0)	(75, 143253.0)	(80, 205205.0)	(85, 279871.0)	(90, 369020.0)	(95, 464146.0)	(100, 558595.0)	(105, 644081.0)	(110, 713381.0)	(115, 761373.0)	(120, 782888.0)	(125, 797720.0)	(130, 799015.0)	(135, 807457.0)	(140, 785590.0)	(145, 5001984.0)	(150, 9149355.0)
SRR26260939_2	(35, 94112.0)	(40, 12320.0)	(45, 14953.0)	(50, 18901.0)	(55, 23991.0)	(60, 40885.0)	(65, 63845.0)	(70, 98175.0)	(75, 142586.0)	(80, 204199.0)	(85, 279644.0)	(90, 369064.0)	(95, 463277.0)	(100, 558667.0)	(105, 644365.0)	(110, 713940.0)	(115, 761236.0)	(120, 783639.0)	(125, 797980.0)	(130, 797013.0)	(135, 801113.0)	(140, 779619.0)	(145, 5068735.0)	(150, 9101597.0)
SRR26260940_1	(35, 288085.0)	(40, 7228.0)	(45, 8712.0)	(50, 10913.0)	(55, 13168.0)	(60, 21076.0)	(65, 31183.0)	(70, 50189.0)	(75, 74673.0)	(80, 114143.0)	(85, 161110.0)	(90, 226543.0)	(95, 301906.0)	(100, 382015.0)	(105, 466441.0)	(110, 553463.0)	(115, 622857.0)	(120, 665633.0)	(125, 713955.0)	(130, 734047.0)	(135, 768574.0)	(140, 747300.0)	(145, 4983625.0)	(150, 8079873.0)
SRR26260940_2	(35, 286869.0)	(40, 7000.0)	(45, 8607.0)	(50, 11056.0)	(55, 13114.0)	(60, 21198.0)	(65, 31277.0)	(70, 49986.0)	(75, 73843.0)	(80, 112997.0)	(85, 160114.0)	(90, 225474.0)	(95, 299719.0)	(100, 379954.0)	(105, 462931.0)	(110, 548993.0)	(115, 616771.0)	(120, 656662.0)	(125, 703656.0)	(130, 719982.0)	(135, 750101.0)	(140, 733176.0)	(145, 5094861.0)	(150, 8058371.0)
SRR26260941_1	(35, 525482.0)	(40, 4619.0)	(45, 6422.0)	(50, 9669.0)	(55, 13735.0)	(60, 24273.0)	(65, 40873.0)	(70, 67668.0)	(75, 105138.0)	(80, 163140.0)	(85, 233268.0)	(90, 323576.0)	(95, 418882.0)	(100, 515556.0)	(105, 601243.0)	(110, 672387.0)	(115, 721304.0)	(120, 743442.0)	(125, 758118.0)	(130, 762613.0)	(135, 769655.0)	(140, 748114.0)	(145, 4960335.0)	(150, 8766366.0)
