Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR27961778_1 - polya	(1, 0.014379186703907074)	(2, 0.01799680090061999)	(3, 0.019697743355496476)	(4, 0.0228009261756126)	(5, 0.025008002726818187)	(6, 0.027231673838559154)	(7, 0.02999466816769998)	(8, 0.038101110989233286)	(9, 0.04989154624962102)	(10, 0.059383634875858585)	(11, 0.06203046728125175)	(12, 0.06457773232343263)	(13, 0.06881764254022231)	(14, 0.07424406383529168)	(15, 0.08195223720397586)	(16, 0.09029930115327217)	(17, 0.09510342642826479)	(18, 0.09974990337817129)	(19, 0.10405619183710248)	(20, 0.10976472066127332)	(21, 0.11566408693160103)	(22, 0.12157175048219644)	(23, 0.12689030713378585)	(24, 0.13210929642216296)	(25, 0.13654004408510953)	(26, 0.14440586577887982)	(27, 0.1495667741053831)	(28, 0.15551592405731696)	(29, 0.16085107526944173)	(30, 0.1654394712574744)	(31, 0.1696793814742641)	(32, 0.1742262910609583)	(33, 0.17913828097943088)	(34, 0.1847804315614602)	(35, 0.18897885537691142)	(36, 0.19340130575959028)	(37, 0.19764121597637996)	(38, 0.20144966761924976)	(39, 0.20548214582934718)	(40, 0.21211167276323162)	(41, 0.21684112251581503)	(42, 0.22154568042759537)	(43, 0.22592664440893578)	(44, 0.22997571717956858)	(45, 0.23642270394756384)	(46, 0.24167488235701173)	(47, 0.24696024988753038)	(48, 0.2511254845819108)	(49, 0.25509988183013443)	(50, 0.25946425125093947)	(51, 0.26386180979281526)	(52, 0.2684585030611156)	(53, 0.2756273532123999)	(54, 0.2836342286707209)	(55, 0.2895418922213163)	(56, 0.294719395108355)	(57, 0.2998637088743229)	(58, 0.30388788980415266)	(59, 0.3081278000209423)	(60, 0.3120524135875598)	(61, 0.3171635382324569)	(62, 0.3222580683168187)	(63, 0.3264564921322699)	(64, 0.33156761677716706)	(65, 0.3374669830474948)
SRR27961778_1 - polyg	(1, 0.0026800215264639266)	(2, 0.0045303150261588356)	(3, 0.004870503517134132)	(4, 0.0052438811291801906)	(5, 0.006048717315146138)	(6, 0.007210336552622762)	(7, 0.008098145541265611)	(8, 0.009342737581419137)	(9, 0.01138386852727092)	(10, 0.012645055127959827)	(11, 0.013690512441688788)	(12, 0.014769158876488511)	(13, 0.015889291712626687)	(14, 0.01702601910930024)	(15, 0.01814615194543841)	(16, 0.019166717418364305)	(17, 0.020162391050487127)	(18, 0.021099983720736116)	(19, 0.022095657352858934)	(20, 0.023083033704714068)	(21, 0.02412849101844303)	(22, 0.02511586737029816)	(23, 0.02605346004054715)	(24, 0.02712380919507918)	(25, 0.02799502362318665)	(26, 0.029140048300127893)	(27, 0.03027677569680145)	(28, 0.031430097654010385)	(29, 0.03266639241389622)	(30, 0.0336952551670898)	(31, 0.034931549926975634)	(32, 0.03619273652766454)	(33, 0.03745392312835345)	(34, 0.03883127165279002)	(35, 0.04059029506954034)	(36, 0.04185977895049693)	(37, 0.04338647851975192)	(38, 0.046240742931837345)	(39, 0.04784211802350155)	(40, 0.04934392575195347)	(41, 0.051567596863694436)	(42, 0.05310259371321712)	(43, 0.054645887843007494)	(44, 0.05645469494136395)	(45, 0.05828839388052348)	(46, 0.05998933633539996)	(47, 0.062022170000984055)	(48, 0.06388905806121435)	(49, 0.06563148691742929)	(50, 0.06733242937230577)	(51, 0.0692491011141422)	(52, 0.07124874565865554)	(53, 0.07416109103261478)	(54, 0.07757127322263545)	(55, 0.07962899872902261)	(56, 0.08198542632504661)	(57, 0.08449950224615674)	(58, 0.08700528088699917)	(59, 0.08927873568034628)	(60, 0.09183429800279486)	(61, 0.09452261680952648)	(62, 0.0973685839413442)	(63, 0.10084514437350639)	(64, 0.10360813870264722)	(65, 0.1065785650384803)
SRR27961778_2 - polya	(1, 0.02655129685660856)	(2, 0.031952826310874864)	(3, 0.03421798382395428)	(4, 0.03823386747351633)	(5, 0.04093048356051563)	(6, 0.04351923500403497)	(7, 0.04680495799004028)	(8, 0.0559070744436964)	(9, 0.06934866847735448)	(10, 0.0800521600226748)	(11, 0.08324661292573553)	(12, 0.08640787670772548)	(13, 0.09171813607904719)	(14, 0.09810704188516862)	(15, 0.10743318490605239)	(16, 0.11733184026540676)	(17, 0.12282463980261765)	(18, 0.1281929801358132)	(19, 0.1331962401372304)	(20, 0.13961833506442256)	(21, 0.1466046450498177)	(22, 0.15418006193421882)	(23, 0.16049429221793104)	(24, 0.1666923605778956)	(25, 0.17233451115992493)	(26, 0.18195105899017786)	(27, 0.1887465315294161)	(28, 0.19653767770077718)	(29, 0.20287679982529247)	(30, 0.20879276065615557)	(31, 0.21419429011042188)	(32, 0.21919755011183903)	(33, 0.22485629525440373)	(34, 0.23098798537222678)	(35, 0.23631483930408387)	(36, 0.24145915307005178)	(37, 0.24598117081594292)	(38, 0.25110059274110774)	(39, 0.25598769081877726)	(40, 0.2634054593780923)	(41, 0.2690559072403893)	(42, 0.2744823285354587)	(43, 0.28014937095829107)	(44, 0.2850281717556929)	(45, 0.29186513069626957)	(46, 0.298121280018108)	(47, 0.3041285109319157)	(48, 0.309662796870465)	(49, 0.31484029975750366)	(50, 0.3202750183328408)	(51, 0.325892277074067)	(52, 0.33201566991162235)	(53, 0.3411592727666169)	(54, 0.35280865426245395)	(55, 0.38149235214785887)	(56, 0.41631603743135454)	(57, 0.4581509245410484)	(58, 0.5701725054351334)	(59, 0.7707758504670787)	(60, 0.8799099778280076)	(61, 0.9132484499435868)	(62, 0.923288159067492)	(63, 0.9291958226180873)	(64, 0.9347798922382428)	(65, 0.9415421756564103)
SRR27961778_2 - polyg	(1, 0.8009032751190618)	(2, 0.8035998912060611)	(3, 0.8050602125331746)	(4, 0.8060475888850297)	(5, 0.8069685869947434)	(6, 0.8078729905439216)	(7, 0.8090346097813982)	(8, 0.8117727122697359)	(9, 0.8169087287554362)	(10, 0.8211735308130289)	(11, 0.824973685175631)	(12, 0.8285249211302024)	(13, 0.8373449300547571)	(14, 0.8405642747986208)	(15, 0.8428709187130388)	(16, 0.8448124822956782)	(17, 0.8466046948334993)	(18, 0.8479820433579359)	(19, 0.8494257701245139)	(20, 0.8508777941713598)	(21, 0.852288331816867)	(22, 0.8537984368255866)	(23, 0.8553749200764478)	(24, 0.8567854577219551)	(25, 0.8579636715199671)	(26, 0.8594073982865452)	(27, 0.8608013413715172)	(28, 0.8630084179227228)	(29, 0.86463468485519)	(30, 0.865920763296682)	(31, 0.8673395982224571)	(32, 0.8687252440271613)	(33, 0.8703100245582901)	(34, 0.8722101017395912)	(35, 0.8741018816406245)	(36, 0.8759853642613902)	(37, 0.8776033339135898)	(38, 0.8815279474802072)	(39, 0.8838843750762313)	(40, 0.8873277463873227)	(41, 0.8930860588930997)	(42, 0.8963385927580342)	(43, 0.8997072885467164)	(44, 0.9021466889454174)	(45, 0.9042127117320722)	(46, 0.9062289508371209)	(47, 0.9083530545856496)	(48, 0.9102780236077537)	(49, 0.9122195871903932)	(50, 0.9139454214860727)	(51, 0.9156629585014846)	(52, 0.9173058199944872)	(53, 0.9196622475905113)	(54, 0.922616079365809)	(55, 0.9240100224507809)	(56, 0.9258603159504759)	(57, 0.9277437985712416)	(58, 0.9299425778421794)	(59, 0.9319007359853543)	(60, 0.9338754886890646)	(61, 0.9358336468322395)	(62, 0.9378498859372881)	(63, 0.940480123782146)	(64, 0.9427784704162961)	(65, 0.9451183034517847)
SRR27961779_1 - polya	(1, 0.012169666435458429)	(2, 0.016084319593024143)	(3, 0.0178056564424502)	(4, 0.020961440666397976)	(5, 0.02310848447858532)	(6, 0.02499640231343971)	(7, 0.02755989858919787)	(8, 0.03542622290109115)	(9, 0.0471701823737883)	(10, 0.056517226556155604)	(11, 0.05911774082867562)	(12, 0.06186632708824304)	(13, 0.06645655868671253)	(14, 0.07178715022041904)	(15, 0.07937583955659844)	(16, 0.08834344927215677)	(17, 0.0930262258625309)	(18, 0.09776452944804778)	(19, 0.101929054083756)	(20, 0.10753728059317638)	(21, 0.1129141446228352)	(22, 0.11909615008206427)	(23, 0.1242231426335806)	(24, 0.12923908119481137)	(25, 0.13370900430380483)	(26, 0.1414550201262221)	(27, 0.14696144714454742)	(28, 0.15300463511591955)	(29, 0.15825193615691188)	(30, 0.16248124228695332)	(31, 0.167275072867613)	(32, 0.1715136334968449)	(33, 0.1761038650953144)	(34, 0.1815547651184969)	(35, 0.18586736174125254)	(36, 0.19034653934943646)	(37, 0.19415013851671664)	(38, 0.198397953645139)	(39, 0.2028401132565611)	(40, 0.20993831413564598)	(41, 0.21456556373087732)	(42, 0.21936864881072746)	(43, 0.2236719909342926)	(44, 0.2280863870481433)	(45, 0.23447199148956255)	(46, 0.2398581100184118)	(47, 0.24480926708530937)	(48, 0.24941800768215977)	(49, 0.2538786762919628)	(50, 0.25842263539447996)	(51, 0.262762995514807)	(52, 0.2676678800857522)	(53, 0.27457173648183736)	(54, 0.2825398602848257)	(55, 0.2887218657440548)	(56, 0.2930529713651913)	(57, 0.298087418924803)	(58, 0.3020853625750829)	(59, 0.30653677668569546)	(60, 0.3105717383327372)	(61, 0.3160596563526816)	(62, 0.32089050493010307)	(63, 0.3251938470536682)	(64, 0.33051518408818426)	(65, 0.33644731806927086)
SRR27961779_2 - polya	(1, 0.024653985843392588)	(2, 0.029207199445100227)	(3, 0.03151156974352544)	(4, 0.03529665991242467)	(5, 0.03804524617199209)	(6, 0.04032185297284591)	(7, 0.0436719816797934)	(8, 0.05252853740506619)	(9, 0.06579948924418969)	(10, 0.07620154633426973)	(11, 0.07947763904769352)	(12, 0.0824853512845939)	(13, 0.08737172685715819)	(14, 0.093248333843102)	(15, 0.1023732700448982)	(16, 0.11186838621431291)	(17, 0.11752288521968561)	(18, 0.12294602174529674)	(19, 0.1279897238040989)	(20, 0.13467147221961298)	(21, 0.14117738515050823)	(22, 0.14860874800044976)	(23, 0.1549480799459167)	(24, 0.16069512394319405)	(25, 0.165914661486615)	(26, 0.1754097776560297)	(27, 0.18166581910878246)	(28, 0.18892134647410522)	(29, 0.1952236604228103)	(30, 0.2006560514476119)	(31, 0.20578304399912822)	(32, 0.21115065352959658)	(33, 0.21674037104063604)	(34, 0.2229038675014842)	(35, 0.2279105515635245)	(36, 0.23333368808913563)	(37, 0.23786839269246235)	(38, 0.2425696782812174)	(39, 0.2471321463821155)	(40, 0.2543969282466287)	(41, 0.2598941007657635)	(42, 0.26524320129785095)	(43, 0.27036093935017685)	(44, 0.27538613241059806)	(45, 0.2824750787904925)	(46, 0.2886478297505311)	(47, 0.2944504007429512)	(48, 0.29940155780984873)	(49, 0.3045655683581269)	(50, 0.3100257228804999)	(51, 0.3147640264660168)	(52, 0.32033523497867533)	(53, 0.32831261328085415)	(54, 0.33788176544379256)	(55, 0.3484874215160628)	(56, 0.3603609439774264)	(57, 0.3755383226497852)	(58, 0.41778511145424735)	(59, 0.5121439852002049)	(60, 0.5587681521217559)	(61, 0.5738622403014005)	(62, 0.5805624977152956)	(63, 0.5857820352587164)	(64, 0.5911311357908039)	(65, 0.5979239381966035)
SRR27961779_2 - polyg	(1, 1.4234622839826367)	(2, 1.4268864486831079)	(3, 1.429385163464533)	(4, 1.4313193537953395)	(5, 1.4327075286739088)	(6, 1.4341049580516687)	(7, 1.4355764234229524)	(8, 1.4400000740359935)	(9, 1.447847889349506)	(10, 1.4547980182415434)	(11, 1.459971283289012)	(12, 1.4663198697336695)	(13, 1.4780453202079855)	(14, 1.4829409502797404)	(15, 1.4858190995279743)	(16, 1.48873426677297)	(17, 1.491112673064919)	(18, 1.4930468633957257)	(19, 1.4947404367475803)	(20, 1.4964710280961968)	(21, 1.498173855947242)	(22, 1.4999877377885726)	(23, 1.5015239846541895)	(24, 1.5031435220125204)	(25, 1.5046705143789467)	(26, 1.506095707254278)	(27, 1.5077337536109898)	(28, 1.5101029054037483)	(29, 1.5117502062596506)	(30, 1.513517815605029)	(31, 1.5155538054269309)	(32, 1.5172011062828332)	(33, 1.5191445511128303)	(34, 1.5212453224290654)	(35, 1.5233275847469194)	(36, 1.5256041915477734)	(37, 1.5280381248348651)	(38, 1.5324432664495253)	(39, 1.536219102119234)	(40, 1.5418458376270354)	(41, 1.5495548354526907)	(42, 1.5537841415827323)	(43, 1.5580041932135833)	(44, 1.5614838849091972)	(45, 1.5643250161606692)	(46, 1.5670365844234748)	(47, 1.56973889818709)	(48, 1.5718674330008964)	(49, 1.574282857289607)	(50, 1.5763558651082707)	(51, 1.5782345284439345)	(52, 1.5801502097763604)	(53, 1.582482343572357)	(54, 1.5855085648076384)	(55, 1.5873317011481594)	(56, 1.5894509814627753)	(57, 1.5914592077871057)	(58, 1.5936987965911977)	(59, 1.5956977684163378)	(60, 1.5982057376969532)	(61, 1.600584143988902)	(62, 1.6028977687865176)	(63, 1.605822190530704)	(64, 1.6081728333250813)	(65, 1.6110509825733152)
SRR27961780_1 - polya	(1, 0.009550318971686218)	(2, 0.013513925530827354)	(3, 0.015657142652172898)	(4, 0.018849549745055805)	(5, 0.021100376094251336)	(6, 0.02301043988858858)	(7, 0.026166977238854822)	(8, 0.035152347764328615)	(9, 0.04754534383838529)	(10, 0.05663832359170907)	(11, 0.059310619416650376)	(12, 0.062440254459954124)	(13, 0.06692397228703685)	(14, 0.07310253545275686)	(15, 0.08143328317547657)	(16, 0.09066077446361284)	(17, 0.09605917072742044)	(18, 0.10086571623805313)	(19, 0.10588748020438579)	(20, 0.11138451826038923)	(21, 0.11703400272251346)	(22, 0.1231497938386543)	(23, 0.12841367856764943)	(24, 0.1334623448409446)	(25, 0.1382150857376523)	(26, 0.14644719166817619)	(27, 0.152670592012167)	(28, 0.15866083902914954)	(29, 0.16430135605561963)	(30, 0.16923344566541063)	(31, 0.17422830732478078)	(32, 0.17916936437022596)	(33, 0.18408351910870863)	(34, 0.18966126408559955)	(35, 0.19399253550656148)	(36, 0.19901429947289415)	(37, 0.20310345013119357)	(38, 0.20701325207640972)	(39, 0.2112279468338675)	(40, 0.21746031461351248)	(41, 0.22201577192582855)	(42, 0.22670574077295708)	(43, 0.23136880731312312)	(44, 0.23600497154632666)	(45, 0.24226424163293417)	(46, 0.24830829326384168)	(47, 0.25348250363629515)	(48, 0.2586298117017861)	(49, 0.2631583667071397)	(50, 0.26787523786123074)	(51, 0.2725741741440134)	(52, 0.2779367006652044)	(53, 0.2849940725250326)	(54, 0.2939346058722356)	(55, 0.300462899028468)	(56, 0.3055474350443798)	(57, 0.3113493659126249)	(58, 0.3157075396405493)	(59, 0.32072930360688195)	(60, 0.3252130214339647)	(61, 0.3313377799857597)	(62, 0.336718241378259)	(63, 0.3418565820080958)	(64, 0.35223190505996527)	(65, 0.35867949129531024)
SRR27961780_1 - polyg	(1, 0.009433742308182067)	(2, 0.013182130411623232)	(3, 0.014563115502364712)	(4, 0.016473179296701956)	(5, 0.020158795350563963)	(6, 0.024436262157600887)	(7, 0.026794697734646405)	(8, 0.030785206600750036)	(9, 0.036084961072361824)	(10, 0.039250465858282235)	(11, 0.04254151474336096)	(12, 0.04527658261788142)	(13, 0.048217901512447696)	(14, 0.05136547142705977)	(15, 0.05427988801466355)	(16, 0.05750816485016312)	(17, 0.060117688625525266)	(18, 0.06277204957915825)	(19, 0.0653546710475579)	(20, 0.06760549739675344)	(21, 0.06996393297379895)	(22, 0.07206231291687366)	(23, 0.07414275798864005)	(24, 0.07648325869437723)	(25, 0.07889549888534775)	(26, 0.08125393446239326)	(27, 0.08390829541602625)	(28, 0.08660749354793004)	(29, 0.08943223577899216)	(30, 0.09211349903958764)	(31, 0.0949023715280331)	(32, 0.09764640683820773)	(33, 0.1004083770196907)	(34, 0.10351110975603195)	(35, 0.10721466068120228)	(36, 0.11019184931838522)	(37, 0.11318697282687648)	(38, 0.1173119932277926)	(39, 0.1207375536476838)	(40, 0.12399273279014586)	(41, 0.12766041397269953)	(42, 0.13122048592740324)	(43, 0.13474468813949025)	(44, 0.13867242495601473)	(45, 0.1424208130594559)	(46, 0.146438224232522)	(47, 0.15041079822731732)	(48, 0.15414125145945015)	(49, 0.15779996520634967)	(50, 0.16153938587413666)	(51, 0.16555679704720278)	(52, 0.16917964105148564)	(53, 0.1731611824819351)	(54, 0.17782424902210114)	(55, 0.18174301840297144)	(56, 0.186163964180475)	(57, 0.1908718678989119)	(58, 0.1952838462407613)	(59, 0.19960615022606906)	(60, 0.20400019369661013)	(61, 0.20862739049415951)	(62, 0.21260893192460897)	(63, 0.2173527053856625)	(64, 0.22258072037204096)	(65, 0.22728862409047784)
SRR27961780_2 - polya	(1, 0.01472452934413969)	(2, 0.019611781775659868)	(3, 0.02205989170924704)	(4, 0.025593061356988234)	(5, 0.028534380251554504)	(6, 0.031206676076495812)	(7, 0.034425985476341216)	(8, 0.04433500187419405)	(9, 0.05770544843455476)	(10, 0.06806283661511586)	(11, 0.07142562498542791)	(12, 0.07474357617746914)	(13, 0.07990881911426845)	(14, 0.08631156817134258)	(15, 0.09630129149008292)	(16, 0.1072325955525106)	(17, 0.11355463768869727)	(18, 0.11967939624049227)	(19, 0.12504192276168322)	(20, 0.13215309923543644)	(21, 0.13934498263007714)	(22, 0.14607952680635541)	(23, 0.15262575483389618)	(24, 0.15908230850489533)	(25, 0.1653415785915028)	(26, 0.17590521779210974)	(27, 0.18307019887978793)	(28, 0.19074632379975356)	(29, 0.19708630080724857)	(30, 0.2027626875763353)	(31, 0.20911163201948443)	(32, 0.2146535072537587)	(33, 0.22067065657770374)	(34, 0.2269388940999654)	(35, 0.23248973676989382)	(36, 0.23856069070776384)	(37, 0.24403082645680477)	(38, 0.24968927835458316)	(39, 0.25541050230194073)	(40, 0.26254858108265644)	(41, 0.26780349837599743)	(42, 0.27331847130330916)	(43, 0.27934458806290835)	(44, 0.2852272258520409)	(45, 0.29275090436588574)	(46, 0.2994047416212765)	(47, 0.30590613247054643)	(48, 0.31179773769533314)	(49, 0.3172947757513366)	(50, 0.32330295763962746)	(51, 0.3296249997758141)	(52, 0.33662856702171734)	(53, 0.34661829034045766)	(54, 0.36089444790188907)	(55, 0.4017859544848836)	(56, 0.4558506240438472)	(57, 0.5217702435376175)	(58, 0.7077727938763175)	(59, 1.053566080136592)	(60, 1.2439626739458332)	(61, 1.300215397804413)	(62, 1.3139176394839778)	(63, 1.3212081646708145)	(64, 1.3282476016593343)	(65, 1.336425902975933)
SRR27961780_2 - polyg	(1, 1.44182017421934)	(2, 1.4470930263839892)	(3, 1.4508145121804679)	(4, 1.4533074592923259)	(5, 1.4556031228197923)	(6, 1.458194711723846)	(7, 1.461494728044579)	(8, 1.4682023699138946)	(9, 1.4791426414119766)	(10, 1.488379100135767)	(11, 1.496189736590545)	(12, 1.5041259171444816)	(13, 1.5196754505688044)	(14, 1.5267148875573244)	(15, 1.5316469771671153)	(16, 1.535960313716769)	(17, 1.5401212038603016)	(18, 1.543600568894118)	(19, 1.5471427059775134)	(20, 1.5505772338330586)	(21, 1.5545318729565456)	(22, 1.5582533587530243)	(23, 1.561867235321653)	(24, 1.5651493167710775)	(25, 1.5682789518143812)	(26, 1.5713278799367976)	(27, 1.574394742930522)	(28, 1.5779368800139175)	(29, 1.581263798641613)	(30, 1.5845548475266915)	(31, 1.5878907335900412)	(32, 1.5908410199202616)	(33, 1.5947956590437484)	(34, 1.5986606238106937)	(35, 1.6027677093403017)	(36, 1.606471260265472)	(37, 1.6104976388741923)	(38, 1.6157704910388415)	(39, 1.621052310639145)	(40, 1.6278944640432733)	(41, 1.638727126313505)	(42, 1.6450132987070751)	(43, 1.651299471100645)	(44, 1.6563391699382861)	(45, 1.6607511482801356)	(46, 1.6650734522654433)	(47, 1.6695302677855635)	(48, 1.6732248512750796)	(49, 1.6769014998932874)	(50, 1.6803808649271037)	(51, 1.6833939233069033)	(52, 1.686469753736282)	(53, 1.6899580862057524)	(54, 1.6936257673883062)	(55, 1.6963698026984808)	(56, 1.6991048705730012)	(57, 1.7024945612502758)	(58, 1.7055524568083462)	(59, 1.7090049195352)	(60, 1.7124394473907452)	(61, 1.715730496275824)	(62, 1.7192098613096403)	(63, 1.7228685750565398)	(64, 1.726563158546056)	(65, 1.7306523092043553)
SRR27961781_1 - polya	(1, 0.01080455802582539)	(2, 0.014370418760421229)	(3, 0.01603745865384478)	(4, 0.019148672144779652)	(5, 0.021083151593297895)	(6, 0.023178094774872947)	(7, 0.026271478962134838)	(8, 0.03421443374844707)	(9, 0.04492984525590756)	(10, 0.05337202054506321)	(11, 0.05587703771111679)	(12, 0.05864057978042856)	(13, 0.0630533324394909)	(14, 0.06832189167485626)	(15, 0.07680864022319435)	(16, 0.08628491512538279)	(17, 0.09122363224279803)	(18, 0.09622475192306869)	(19, 0.10106540787028255)	(20, 0.10687776086767375)	(21, 0.11313584645688946)	(22, 0.11971485951221877)	(23, 0.1248407843182003)	(24, 0.12956554979153978)	(25, 0.13415659548733191)	(26, 0.1443638718401125)	(27, 0.14990878528240903)	(28, 0.15587268736102058)	(29, 0.1609183803004737)	(30, 0.16528655970035358)	(31, 0.1697260563149254)	(32, 0.1739337719817485)	(33, 0.17887248909916373)	(34, 0.1835259373578113)	(35, 0.18767125046177896)	(36, 0.1914154042331046)	(37, 0.1949277770566815)	(38, 0.19876999199820852)	(39, 0.20322731791645332)	(40, 0.20998462400851242)	(41, 0.21454892574879508)	(42, 0.2187388121119452)	(43, 0.22341008967426576)	(44, 0.22742168300068608)	(45, 0.23419681839641818)	(46, 0.2395545241501484)	(47, 0.24485874199285973)	(48, 0.24900405509682738)	(49, 0.2533365758893613)	(50, 0.2575442915561844)	(51, 0.2619213856079008)	(52, 0.2674930430057068)	(53, 0.2742681784014389)	(54, 0.28228245040244304)	(55, 0.28852270668798574)	(56, 0.29369320475314975)	(57, 0.2986230072187285)	(58, 0.3028485521892245)	(59, 0.3075020004478721)	(60, 0.31182560658856956)	(61, 0.31681781161700373)	(62, 0.32169412617156357)	(63, 0.3263475744302111)	(64, 0.33961257636290765)	(65, 0.34667298061740737)
SRR27961781_1 - polyg	(1, 0.0027011395064563473)	(2, 0.004546472436609694)	(3, 0.004947631769251726)	(4, 0.005625145308824935)	(5, 0.006659244921857728)	(6, 0.008085589215696062)	(7, 0.009199920695257262)	(8, 0.010893704544190285)	(9, 0.013728563828193978)	(10, 0.015547152802837855)	(11, 0.01712504617789651)	(12, 0.018408756042351013)	(13, 0.019977734765573185)	(14, 0.02161803070348727)	(15, 0.023071118952835073)	(16, 0.02445288998749096)	(17, 0.02572768520010897)	(18, 0.02710054158292837)	(19, 0.028455568662074788)	(20, 0.029436180364088644)	(21, 0.030657487665687717)	(22, 0.031825307056267856)	(23, 0.03301095575052097)	(24, 0.034089628622736214)	(25, 0.035373338487190716)	(26, 0.03671945091450064)	(27, 0.038038819386301104)	(28, 0.03938493181361103)	(29, 0.040677556329902026)	(30, 0.041898863631501096)	(31, 0.04317365884411911)	(32, 0.04435930753837223)	(33, 0.045955030217103864)	(34, 0.047675558021546355)	(35, 0.049485232344353744)	(36, 0.051205760148796235)	(37, 0.05291737330140224)	(38, 0.05576114723724242)	(39, 0.05747276038984842)	(40, 0.05948747170489507)	(41, 0.061644817449325554)	(42, 0.06363278480886274)	(43, 0.0694897110654364)	(44, 0.07147767842497357)	(45, 0.07374199999144193)	(46, 0.07575671130648859)	(47, 0.07808343543581237)	(48, 0.08003574418800359)	(49, 0.08644537885843961)	(50, 0.0902251912371112)	(51, 0.09239145163337817)	(52, 0.09700924128467978)	(53, 0.1000758815164322)	(54, 0.10316926570369409)	(55, 0.10579908799545852)	(56, 0.10833084911702157)	(57, 0.11104981792715089)	(58, 0.1138757625593181)	(59, 0.11653232880659199)	(60, 0.11925129761672132)	(61, 0.12237142575949268)	(62, 0.12529543156186126)	(63, 0.12874540182258273)	(64, 0.13199033509106495)	(65, 0.13517286579669174)
SRR27961781_2 - polya	(1, 0.019924246854554246)	(2, 0.02447963394300043)	(3, 0.026387369436009202)	(4, 0.02974819317836578)	(5, 0.0323869301219667)	(6, 0.03457993447374314)	(7, 0.037566342838967155)	(8, 0.04718525217053943)	(9, 0.05887236072817729)	(10, 0.06765329278711954)	(11, 0.07039900555275834)	(12, 0.07354587765103916)	(13, 0.07834196033907057)	(14, 0.08419888659564423)	(15, 0.09384453988272597)	(16, 0.10447971952365806)	(17, 0.11012269413615597)	(18, 0.11598853504456613)	(19, 0.12122143567258552)	(20, 0.1274973505654742)	(21, 0.13403179036162108)	(22, 0.1408514990165356)	(23, 0.14707392599840535)	(24, 0.15288627899579657)	(25, 0.15874320525237023)	(26, 0.1705016310247)	(27, 0.17651010636249398)	(28, 0.18340113223210044)	(29, 0.18906193614827135)	(30, 0.19431266607996373)	(31, 0.19958122531532907)	(32, 0.2047784673360025)	(33, 0.20985090423096509)	(34, 0.21545822023611702)	(35, 0.22065546225679047)	(36, 0.22541588633747592)	(37, 0.2298018950410288)	(38, 0.2342592209592736)	(39, 0.23875220548486434)	(40, 0.246320744894044)	(41, 0.25134860852982416)	(42, 0.2564210454247867)	(43, 0.26127061602383705)	(44, 0.26652134595552945)	(45, 0.2739205069798158)	(46, 0.2803747149094343)	(47, 0.285759164618674)	(48, 0.2908405161654731)	(49, 0.29582380654207074)	(50, 0.3013152320733483)	(51, 0.3068155722564624)	(52, 0.31326086553424437)	(53, 0.3223359811037908)	(54, 0.3335951863732772)	(55, 0.3561492555195958)	(56, 0.3811726832246221)	(57, 0.409120116732017)	(58, 0.4835931181740511)	(59, 0.6127396793292759)	(60, 0.6851623108489173)	(61, 0.7087148210009229)	(62, 0.7165775439207067)	(63, 0.7222740064442236)	(64, 0.7280774447897782)	(65, 0.7349595560075483)
SRR27961781_2 - polyg	(1, 0.5854875886651272)	(2, 0.5874309827654819)	(3, 0.5888484124074838)	(4, 0.5898379387613341)	(5, 0.5907115746413101)	(6, 0.5916832716914875)	(7, 0.592913493644923)	(8, 0.5955344012848509)	(9, 0.5999204099884038)	(10, 0.6039230886629876)	(11, 0.6070699607612685)	(12, 0.6104396991554616)	(13, 0.6172861517658855)	(14, 0.6204419385160028)	(15, 0.622483393786559)	(16, 0.6245515930126245)	(17, 0.6264504138537969)	(18, 0.6282333442210948)	(19, 0.6299895306328832)	(20, 0.6316654851781432)	(21, 0.6332344639013654)	(22, 0.6348747598392795)	(23, 0.6366398609029045)	(24, 0.6380662051967428)	(25, 0.6395371227497636)	(26, 0.6409010644807465)	(27, 0.6424878725076416)	(28, 0.6445471570818707)	(29, 0.646026989286728)	(30, 0.647230467284654)	(31, 0.6488351046152222)	(32, 0.6503149368200795)	(33, 0.6522137576612518)	(34, 0.6542641275836444)	(35, 0.6563590707652195)	(36, 0.6583292088210837)	(37, 0.6605043838691871)	(38, 0.6641415618184748)	(39, 0.6665930910735095)	(40, 0.6698558536456647)	(41, 0.6749282905406273)	(42, 0.6779681868168702)	(43, 0.6810080830931132)	(44, 0.683807283769771)	(45, 0.6862320690692961)	(46, 0.6885677078504564)	(47, 0.6909835784981451)	(48, 0.6933905344939972)	(49, 0.6955122216310817)	(50, 0.6973129813020527)	(51, 0.6991226556248601)	(52, 0.7009145006439944)	(53, 0.7032590540769912)	(54, 0.7059245349761016)	(55, 0.7076361481287076)	(56, 0.7095884568808988)	(57, 0.7117368879734928)	(58, 0.7138496604587409)	(59, 0.7156860787370577)	(60, 0.7177631926149598)	(61, 0.7198670504483713)	(62, 0.721863932459745)	(63, 0.7245383280106918)	(64, 0.7271592356506198)	(65, 0.7294592158244342)
