Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33
SRR20079526_1	(34, 12129631.0)	(36, 5690.0)	(38, 6103.0)	(40, 6282.0)	(42, 6439.0)	(44, 7266.0)	(46, 9983.0)	(48, 15322.0)	(50, 20041.0)	(52, 21269.0)	(54, 26168.0)	(56, 42473.0)	(58, 70683.0)	(60, 94755.0)	(62, 100834.0)	(64, 110882.0)	(66, 152178.0)	(68, 219430.0)	(70, 277301.0)	(72, 316051.0)	(74, 344681.0)	(76, 387646.0)	(78, 464836.0)	(80, 550172.0)	(82, 627117.0)	(84, 682418.0)	(86, 718392.0)	(88, 764003.0)	(90, 837606.0)	(92, 892963.0)	(94, 955660.0)	(96, 1400694.0)	(98, 8597053.0)	(100, 71246605.0)
SRR20079526_2	(34, 97222.0)	(36, 5697.0)	(38, 6139.0)	(40, 6251.0)	(42, 6466.0)	(44, 7231.0)	(46, 9872.0)	(48, 15111.0)	(50, 19729.0)	(52, 20907.0)	(54, 25638.0)	(56, 41401.0)	(58, 69098.0)	(60, 92639.0)	(62, 98557.0)	(64, 108157.0)	(66, 148162.0)	(68, 214062.0)	(70, 271222.0)	(72, 306652.0)	(74, 334690.0)	(76, 377399.0)	(78, 453076.0)	(80, 536709.0)	(82, 609399.0)	(84, 664567.0)	(86, 702209.0)	(88, 750852.0)	(90, 824071.0)	(92, 876254.0)	(94, 945662.0)	(96, 1395383.0)	(98, 8775190.0)	(100, 83292953.0)
SRR20079527_1	(34, 20211246.0)	(36, 8967.0)	(38, 9751.0)	(40, 9762.0)	(42, 9316.0)	(44, 11114.0)	(46, 15879.0)	(48, 23931.0)	(50, 29722.0)	(52, 31631.0)	(54, 38225.0)	(56, 60557.0)	(58, 99284.0)	(60, 125614.0)	(62, 126324.0)	(64, 140003.0)	(66, 193214.0)	(68, 277802.0)	(70, 354095.0)	(72, 401785.0)	(74, 447096.0)	(76, 526458.0)	(78, 649840.0)	(80, 801093.0)	(82, 929252.0)	(84, 1066707.0)	(86, 1180106.0)	(88, 1315334.0)	(90, 1514013.0)	(92, 1605238.0)	(94, 1791515.0)	(96, 2751177.0)	(98, 17169948.0)	(100, 141611922.0)
SRR20079527_2	(34, 265197.0)	(36, 6330.0)	(38, 7473.0)	(40, 8280.0)	(42, 8247.0)	(44, 10051.0)	(46, 14530.0)	(48, 22052.0)	(50, 27440.0)	(52, 28846.0)	(54, 34418.0)	(56, 55327.0)	(58, 92173.0)	(60, 116680.0)	(62, 116983.0)	(64, 129415.0)	(66, 178813.0)	(68, 259049.0)	(70, 331551.0)	(72, 371675.0)	(74, 415266.0)	(76, 489649.0)	(78, 607360.0)	(80, 752579.0)	(82, 875731.0)	(84, 998090.0)	(86, 1105788.0)	(88, 1241408.0)	(90, 1427571.0)	(92, 1530255.0)	(94, 1716544.0)	(96, 2696779.0)	(98, 16551883.0)	(100, 163044488.0)
SRR20079528_1	(34, 505453.0)	(36, 595.0)	(38, 615.0)	(40, 652.0)	(42, 716.0)	(44, 1027.0)	(46, 1712.0)	(48, 2909.0)	(50, 4132.0)	(52, 4662.0)	(54, 6209.0)	(56, 10680.0)	(58, 18256.0)	(60, 24478.0)	(62, 26078.0)	(64, 28975.0)	(66, 39153.0)	(68, 53701.0)	(70, 65342.0)	(72, 70704.0)	(74, 73772.0)	(76, 79582.0)	(78, 88511.0)	(80, 99572.0)	(82, 108393.0)	(84, 113282.0)	(86, 113866.0)	(88, 117138.0)	(90, 123308.0)	(92, 128673.0)	(94, 134568.0)	(96, 169640.0)	(98, 795565.0)	(100, 6202203.0)
SRR20079528_2	(34, 9230.0)	(36, 380.0)	(38, 477.0)	(40, 565.0)	(42, 672.0)	(44, 981.0)	(46, 1643.0)	(48, 2806.0)	(50, 3960.0)	(52, 4428.0)	(54, 5929.0)	(56, 10240.0)	(58, 17586.0)	(60, 23667.0)	(62, 25132.0)	(64, 28142.0)	(66, 37884.0)	(68, 52291.0)	(70, 63756.0)	(72, 68333.0)	(74, 71746.0)	(76, 77684.0)	(78, 86574.0)	(80, 97654.0)	(82, 106008.0)	(84, 110749.0)	(86, 111514.0)	(88, 115043.0)	(90, 120925.0)	(92, 124929.0)	(94, 131008.0)	(96, 168638.0)	(98, 793307.0)	(100, 6740241.0)
SRR20079529_1	(34, 1356531.0)	(36, 1739.0)	(38, 1925.0)	(40, 2150.0)	(42, 2368.0)	(44, 3069.0)	(46, 5196.0)	(48, 8903.0)	(50, 12271.0)	(52, 13977.0)	(54, 18775.0)	(56, 32097.0)	(58, 55591.0)	(60, 74569.0)	(62, 78773.0)	(64, 86996.0)	(66, 117147.0)	(68, 162780.0)	(70, 197771.0)	(72, 211241.0)	(74, 221481.0)	(76, 237290.0)	(78, 265837.0)	(80, 298927.0)	(82, 326568.0)	(84, 341176.0)	(86, 342522.0)	(88, 352529.0)	(90, 371577.0)	(92, 387173.0)	(94, 402345.0)	(96, 512426.0)	(98, 2444573.0)	(100, 19152959.0)
SRR20079529_2	(34, 21438.0)	(36, 1580.0)	(38, 1933.0)	(40, 2179.0)	(42, 2368.0)	(44, 3077.0)	(46, 5177.0)	(48, 8813.0)	(50, 12111.0)	(52, 13835.0)	(54, 18614.0)	(56, 31672.0)	(58, 54862.0)	(60, 73707.0)	(62, 77778.0)	(64, 85879.0)	(66, 115673.0)	(68, 160650.0)	(70, 195517.0)	(72, 207890.0)	(74, 218019.0)	(76, 234066.0)	(78, 262515.0)	(80, 295155.0)	(82, 321461.0)	(84, 336721.0)	(86, 338605.0)	(88, 349975.0)	(90, 369076.0)	(92, 382637.0)	(94, 400018.0)	(96, 510747.0)	(98, 2483387.0)	(100, 20504117.0)
SRR20079530_1	(34, 5613781.0)	(36, 3598.0)	(38, 4155.0)	(40, 4169.0)	(42, 4355.0)	(44, 5139.0)	(46, 7490.0)	(48, 11194.0)	(50, 14073.0)	(52, 14571.0)	(54, 17686.0)	(56, 28020.0)	(58, 44089.0)	(60, 57098.0)	(62, 56739.0)	(64, 61202.0)	(66, 84141.0)	(68, 117779.0)	(70, 148903.0)	(72, 168023.0)	(74, 185740.0)	(76, 214642.0)	(78, 264733.0)	(80, 322516.0)	(82, 379182.0)	(84, 433977.0)	(86, 471334.0)	(88, 529007.0)	(90, 603369.0)	(92, 650281.0)	(94, 718202.0)	(96, 1070467.0)	(98, 6470173.0)	(100, 53581777.0)
SRR20079530_2	(34, 52846.0)	(36, 3462.0)	(38, 4006.0)	(40, 4067.0)	(42, 4203.0)	(44, 4915.0)	(46, 7140.0)	(48, 10721.0)	(50, 13455.0)	(52, 13770.0)	(54, 16719.0)	(56, 26480.0)	(58, 41758.0)	(60, 54295.0)	(62, 53743.0)	(64, 57665.0)	(66, 79099.0)	(68, 111209.0)	(70, 140919.0)	(72, 157126.0)	(74, 173558.0)	(76, 201313.0)	(78, 248917.0)	(80, 303501.0)	(82, 357457.0)	(84, 408373.0)	(86, 445608.0)	(88, 504356.0)	(90, 576067.0)	(92, 630305.0)	(94, 703137.0)	(96, 1053703.0)	(98, 6504413.0)	(100, 59393299.0)
SRR20079531_1	(34, 877875.0)	(36, 395.0)	(38, 379.0)	(40, 432.0)	(42, 438.0)	(44, 510.0)	(46, 744.0)	(48, 1205.0)	(50, 1430.0)	(52, 1473.0)	(54, 1871.0)	(56, 2901.0)	(58, 4717.0)	(60, 5903.0)	(62, 5863.0)	(64, 6664.0)	(66, 9011.0)	(68, 12758.0)	(70, 16458.0)	(72, 18317.0)	(74, 20218.0)	(76, 23632.0)	(78, 29249.0)	(80, 36037.0)	(82, 41450.0)	(84, 48318.0)	(86, 52759.0)	(88, 59363.0)	(90, 67768.0)	(92, 72425.0)	(94, 80333.0)	(96, 122111.0)	(98, 741619.0)	(100, 6103356.0)
SRR20079531_2	(34, 9505.0)	(36, 250.0)	(38, 268.0)	(40, 358.0)	(42, 359.0)	(44, 463.0)	(46, 666.0)	(48, 1097.0)	(50, 1301.0)	(52, 1306.0)	(54, 1670.0)	(56, 2608.0)	(58, 4307.0)	(60, 5367.0)	(62, 5396.0)	(64, 6056.0)	(66, 8215.0)	(68, 11694.0)	(70, 15168.0)	(72, 16691.0)	(74, 18494.0)	(76, 21624.0)	(78, 26997.0)	(80, 33447.0)	(82, 38563.0)	(84, 44504.0)	(86, 48793.0)	(88, 55338.0)	(90, 63166.0)	(92, 68050.0)	(94, 75913.0)	(96, 119196.0)	(98, 704409.0)	(100, 7056743.0)
