Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR20079526_1	(2.0, 12091252.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 15.0)	(15.0, 80.0)	(16.0, 368.0)	(17.0, 1332.0)	(18.0, 3370.0)	(19.0, 7424.0)	(20.0, 15541.0)	(21.0, 33138.0)	(22.0, 66716.0)	(23.0, 131089.0)	(24.0, 225437.0)	(25.0, 351098.0)	(26.0, 482602.0)	(27.0, 649150.0)	(28.0, 845260.0)	(29.0, 1129313.0)	(30.0, 1450275.0)	(31.0, 1887443.0)	(32.0, 2353173.0)	(33.0, 3097563.0)	(34.0, 4312895.0)	(35.0, 8047525.0)	(36.0, 45977206.0)	(37.0, 18949362.0)
SRR20079526_2	(2.0, 60182.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 62.0)	(12.0, 1203.0)	(13.0, 16750.0)	(14.0, 88486.0)	(15.0, 241006.0)	(16.0, 352649.0)	(17.0, 408343.0)	(18.0, 437508.0)	(19.0, 511375.0)	(20.0, 619371.0)	(21.0, 796150.0)	(22.0, 963073.0)	(23.0, 1147017.0)	(24.0, 1252638.0)	(25.0, 1371754.0)	(26.0, 1472154.0)	(27.0, 1685860.0)	(28.0, 1930308.0)	(29.0, 2330261.0)	(30.0, 2796834.0)	(31.0, 3548384.0)	(32.0, 4507828.0)	(33.0, 6248413.0)	(34.0, 9058425.0)	(35.0, 15739287.0)	(36.0, 37799097.0)	(37.0, 6724208.0)
SRR20079527_1	(2.0, 20144888.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 12.0)	(15.0, 87.0)	(16.0, 455.0)	(17.0, 1512.0)	(18.0, 5039.0)	(19.0, 18250.0)	(20.0, 57371.0)	(21.0, 160989.0)	(22.0, 360808.0)	(23.0, 691644.0)	(24.0, 1046299.0)	(25.0, 1396136.0)	(26.0, 1684068.0)	(27.0, 2062854.0)	(28.0, 2514673.0)	(29.0, 3231556.0)	(30.0, 4113457.0)	(31.0, 5481198.0)	(32.0, 7195367.0)	(33.0, 9984459.0)	(34.0, 14519401.0)	(35.0, 31015844.0)	(36.0, 85134005.0)	(37.0, 4717548.0)
SRR20079527_2	(2.0, 207798.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 114.0)	(12.0, 1139.0)	(13.0, 8241.0)	(14.0, 46746.0)	(15.0, 184597.0)	(16.0, 387067.0)	(17.0, 574596.0)	(18.0, 721215.0)	(19.0, 949174.0)	(20.0, 1280942.0)	(21.0, 1747528.0)	(22.0, 2146385.0)	(23.0, 2472382.0)	(24.0, 2584185.0)	(25.0, 2751218.0)	(26.0, 2983072.0)	(27.0, 3508564.0)	(28.0, 4117552.0)	(29.0, 5033876.0)	(30.0, 6068476.0)	(31.0, 7734342.0)	(32.0, 9865929.0)	(33.0, 13928491.0)	(34.0, 21567168.0)	(35.0, 42953034.0)	(36.0, 59658750.0)	(37.0, 2055340.0)
SRR20079528_1	(2.0, 502373.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 0.0)	(16.0, 6.0)	(17.0, 26.0)	(18.0, 83.0)	(19.0, 263.0)	(20.0, 902.0)	(21.0, 2417.0)	(22.0, 5725.0)	(23.0, 11300.0)	(24.0, 17857.0)	(25.0, 24894.0)	(26.0, 32392.0)	(27.0, 44656.0)	(28.0, 63510.0)	(29.0, 96049.0)	(30.0, 141326.0)	(31.0, 209742.0)	(32.0, 302170.0)	(33.0, 453229.0)	(34.0, 711015.0)	(35.0, 1649594.0)	(36.0, 4659991.0)	(37.0, 284601.0)
SRR20079528_2	(2.0, 6532.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 7.0)	(13.0, 130.0)	(14.0, 898.0)	(15.0, 3670.0)	(16.0, 7359.0)	(17.0, 9713.0)	(18.0, 10451.0)	(19.0, 12671.0)	(20.0, 16463.0)	(21.0, 23705.0)	(22.0, 31397.0)	(23.0, 40937.0)	(24.0, 48623.0)	(25.0, 58357.0)	(26.0, 71225.0)	(27.0, 91791.0)	(28.0, 117721.0)	(29.0, 157766.0)	(30.0, 206009.0)	(31.0, 284816.0)	(32.0, 395021.0)	(33.0, 609144.0)	(34.0, 1048289.0)	(35.0, 2317636.0)	(36.0, 3500393.0)	(37.0, 143398.0)
SRR20079529_1	(2.0, 1347125.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 17.0)	(16.0, 94.0)	(17.0, 346.0)	(18.0, 841.0)	(19.0, 1921.0)	(20.0, 3591.0)	(21.0, 7796.0)	(22.0, 15432.0)	(23.0, 31316.0)	(24.0, 56911.0)	(25.0, 91170.0)	(26.0, 126290.0)	(27.0, 173852.0)	(28.0, 230262.0)	(29.0, 313905.0)	(30.0, 409304.0)	(31.0, 539197.0)	(32.0, 681612.0)	(33.0, 907357.0)	(34.0, 1278671.0)	(35.0, 2441772.0)	(36.0, 13813942.0)	(37.0, 5628527.0)
SRR20079529_2	(2.0, 12349.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 12.0)	(12.0, 117.0)	(13.0, 1643.0)	(14.0, 8585.0)	(15.0, 23777.0)	(16.0, 36231.0)	(17.0, 43277.0)	(18.0, 47673.0)	(19.0, 57712.0)	(20.0, 74462.0)	(21.0, 103911.0)	(22.0, 138241.0)	(23.0, 177178.0)	(24.0, 202572.0)	(25.0, 227720.0)	(26.0, 251610.0)	(27.0, 299184.0)	(28.0, 360969.0)	(29.0, 461833.0)	(30.0, 587058.0)	(31.0, 785927.0)	(32.0, 1050465.0)	(33.0, 1532257.0)	(34.0, 2357918.0)	(35.0, 4495897.0)	(36.0, 12346030.0)	(37.0, 2416644.0)
SRR20079530_1	(2.0, 5591250.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 7.0)	(15.0, 70.0)	(16.0, 341.0)	(17.0, 1086.0)	(18.0, 2742.0)	(19.0, 6432.0)	(20.0, 14711.0)	(21.0, 33809.0)	(22.0, 71719.0)	(23.0, 144520.0)	(24.0, 251392.0)	(25.0, 386959.0)	(26.0, 522693.0)	(27.0, 673750.0)	(28.0, 823404.0)	(29.0, 1040058.0)	(30.0, 1283180.0)	(31.0, 1614699.0)	(32.0, 1955936.0)	(33.0, 2485029.0)	(34.0, 3321174.0)	(35.0, 5869674.0)	(36.0, 32784387.0)	(37.0, 13482582.0)
SRR20079530_2	(2.0, 31458.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 113.0)	(12.0, 1683.0)	(13.0, 17426.0)	(14.0, 68275.0)	(15.0, 149229.0)	(16.0, 203406.0)	(17.0, 246602.0)	(18.0, 290214.0)	(19.0, 381803.0)	(20.0, 520989.0)	(21.0, 718920.0)	(22.0, 898404.0)	(23.0, 1053461.0)	(24.0, 1115031.0)	(25.0, 1163502.0)	(26.0, 1203672.0)	(27.0, 1328896.0)	(28.0, 1475525.0)	(29.0, 1735281.0)	(30.0, 2037162.0)	(31.0, 2547887.0)	(32.0, 3202071.0)	(33.0, 4432164.0)	(34.0, 6460343.0)	(35.0, 11117831.0)	(36.0, 25460919.0)	(37.0, 4499338.0)
