"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
387.629,495.48,780.619,301.434,337,363.021,386.037,337.039,303.356,561.383,593.932,512.665,638.691,571.165,625.165,616.044,660.252,498.22
184.404,236.118,171.58,227.099,244.023,263.996,304.295,201.154,311.442,200.816,154.499,259.348,211.787,121.398,397.401,117.556,110.223,104.51
10428.939,7982.286,5912.989,10424.861,8564.702,12193.765,13846.39,12134.063,9080.079,9934.765,7659.088,5774.363,12077.604,8818.119,9366.063,8623.551,10153.308,8261.384
415.429,581.246,509.818,320.819,333.284,347.439,405.166,359.442,308.455,351.737,278.054,340.382,802.266,610.926,459.159,403.968,647.45,319.32
75.267,76.055,67.951,131.9,118.79,38.068,100.769,123.058,64.782,205.104,145.612,191.375,218.166,288.076,178.371,117.866,148.531,203.012
68.475,127.481,124.929,41.333,96.887,116.619,182.621,120.339,80.285,129.857,125.699,73.249,129.08,119.523,92.495,50.65,90.208,121.521
158.879,181.085,161.121,0,136.134,127.088,220.988,158.815,160.264,511.968,342.814,111.701,708.981,168.513,616.673,271.893,1023.2,426.054
79.276,64.522,38.816,53.907,46.875,67.602,77.899,102.964,79.045,136.406,113.945,110.71,131.91,155.987,102.457,114.319,72.213,70.262
763.165,862.126,588.007,950.097,742.93,609.854,786.107,854.283,755.809,832.337,652.883,896.559,847.528,492.344,411.358,1081.136,850.749,657.213
2154.141,1603.089,1427.271,1693.226,1813.274,1850.822,2235.491,1236.732,1521.073,2581.785,2169.64,2571.23,1983.649,1945.214,2034.256,1926.597,2408.721,1461.671
0,0,0,0,0,0,0,0,0,5.591,2,0,15,0,1,20,12,0
0,0,0,3.756,0,1,1,3.935,0,62.373,48.236,58.795,49.936,30.345,41.627,42.27,9.851,45.514
5001.101,4358.154,4363.345,3987.44,4432.146,4719.57,5732.59,4928.254,4558.892,4506.375,4577.855,4884.65,4471.673,4489.035,3597.268,3990.717,2836.157,4036.353
1418.91,1327.744,1228.97,1262.92,1186.015,1430.621,1713.03,1312.508,1208.575,1813.701,1660.16,1304.114,2283.947,1752.019,2393.689,1717.436,3397.253,1535.434
2128.972,2418.628,2769.664,1935.09,2064.83,2183.048,2689.009,2114.848,1890.037,5938.654,5689.478,3639.89,4697.146,5212.556,4458.028,5167.173,4219.415,3881.369
169.379,59.929,75.044,142.263,103.079,128.292,204.184,161.316,173.79,146.372,135.473,109.433,220.615,170.747,135.222,130.678,191.026,114.427
11,2,3,13,5,15,13,4,33,94,127.023,342.433,267.035,917.891,228.03,182.999,165,382.007
1,0,0,1,0,1,0,3,0,0,1.238,4,7.013,3.904,3.601,3,2,0
