"SRR21170613","SRR21170614","SRR21170615","SRR21170616","SRR21170617","SRR21170618"
78.94,95.91,94.827,107.451,79.332,45.316
2310.456,2366.162,2289.788,2377.108,2393.168,2399.537
183.429,246.468,173.169,186.553,236.422,207.138
129.818,159.077,138.018,139.496,156.543,108.295
139.819,119.058,140.141,72.737,94.946,171.015
521.428,496.289,410.268,487.987,476.708,429.37
0,0,0,0,0,2
0,0,0,0,1,0
26,22,32,28,20,26.001
6,5,2,4,2,6
1518.947,1467.302,1606.048,1625.579,1474.177,1499.853
4.048,1.149,0,10,11.001,2.235
1063.319,1414.812,1210.828,1397.428,1270.499,962.624
10.552,21.931,50.437,14.589,24.311,8.857
489.821,676.128,517.45,651.57,537.421,567.362
80.983,51.321,49.683,67.915,95.506,83.762
30.532,186.856,117.495,131.062,93.472,47.349
2.977,9.332,7.414,15,0,12.23
0,0,0,0,0,0
291.369,115.512,150.332,132.318,375.075,241.851
3264.892,3000.183,2821.614,3162.317,2883.729,2857.183
572.33,516.844,449.151,427.191,456.164,448.249
538.565,641.582,536.195,584.356,617.089,546.04
1494.259,1697.729,1429.416,1686.388,1597.654,1501.243
982.28,961.729,1036.778,1007.321,933.528,895.409
1859.753,1743.121,1951.35,1852.285,1727.749,1764.876
477.224,518.356,525.223,608.335,491.534,508.626
697.56,904.528,836.605,919.201,867.006,724.095
614.533,764.664,770.14,763.32,630.278,721.116
0,0,0,1,0,0
0,0,0,0,0,0
1105.813,1001.935,954.061,1057.624,982.418,969.528
0,0,0,0,0,0
0,0,0,0,0,0
1339.418,1471.025,1117.42,1568.734,1268.047,1373.974
37.937,38.009,44.276,39.691,13.683,37.202
0,0,0,0,0,0
362.792,418.404,424.774,427.999,345.1,349.845
0,0,0,0,0,0
0,0,0,0,0,0
81.4,32.396,94.346,63.12,47.044,75.076
6986.44,6687.464,6503.79,7223.584,6779.754,6515.868
3004.561,3066.76,3049.862,3051.061,2961.037,2794.963
284.525,307.51,237.461,314.131,273.885,246.15
40.685,19.762,59.318,46.627,23.053,45.484
222.694,209.11,245.883,260.62,221.325,197.571
1583.268,1440.233,1349.778,1456.913,1563.944,1457.582
286.001,249.866,276.002,250,263.003,266.003
300,263,254.062,235.042,258,246.243
713.498,258.968,797.349,156.971,232.675,123.64
4444.999,4566.21,4423.896,4800.708,4359.885,4356.406
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1560.418,1696.806,1670.094,1799.093,1670.918,1596.554
0,0,0,0,0,1
775.831,816.067,826.106,923.057,817.065,787.273
2782.749,2932.906,2740.853,2937.378,2762.68,2559.943
5.45,17.694,10.017,4.934,0,7.258
0,0,0,0,1,0
900.693,1054.02,927.182,1039.584,911.08,855.987
18,17.183,4.916,16,6,14
21,10,17,22,5,7
0,0,0,0,0,0
34.88,29.735,104.688,32.905,48.082,58.012
1287.333,1394.549,1280.171,1525.612,1258.687,1257.065
836.971,885.346,881.733,873.52,1046.086,912.343
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
520.222,465.508,525.466,578.033,439.64,548.272
8.722,8.942,13.871,5.241,4.81,8.045
9146.809,9872.636,9432.926,10666.677,9040.885,8612.001
464.061,506.781,457.783,503.828,525.039,490.364
3673.047,3888.682,3434.294,3720.959,3538.513,3560.532
1.02,3.108,0,3.113,2.064,1.025
21.005,19.04,28,37,26,20
524.388,601.083,490.261,531.781,540.776,519.63
13.002,21.587,54,19.074,52.178,30.79
0,0,9.243,0,5.666,0
85,79.001,88.051,83.342,91.937,85
0,0,0,0,0,0
2532.591,2849.318,2717.215,2519.57,2639.883,2718.538
297.061,195.246,468.247,91.945,67.877,393.672
1198.107,1296.605,1103.229,1155.695,1147.715,1076.386
4690.376,4366.336,4050.101,4282.917,4396.248,4279.332
1231.949,726.654,1121.335,937.57,1083.492,973.797
0,0,0,0,0,0
1499.382,1211.069,1265.868,1231.068,1417.054,1434.581
1085.455,1156.057,1031.556,1115.567,1072.555,1032.703
6.651,13.147,17.048,37.207,6.136,15.145
0,0,0,0,0,0
302.076,255,212,257,306.122,254.009
18.426,29.585,1.783,13.85,12.326,16.991
114.633,167.729,100.756,287.635,167.38,92.493
469.36,441.5,474.644,461.569,495.612,553.592
625.546,631.2,663.587,688.116,601.997,640.718
267.657,457.558,71.924,240.69,416.857,230.897
373.154,327.263,320.592,386.797,394.402,333.667
3165.085,3187.603,2992.973,3232.763,3219.711,3102.014
966.318,975.077,931.94,1018.216,1010.366,859.585
13.547,22.214,45.441,35.82,56.254,22.846
0,0,0,2,0,0
759.073,694.972,732.773,861.789,866.288,747.382
2023.167,2366.975,2195.428,2712.611,2264.515,2110.992
0,0,0,0,1,1
0,0,0,0,0,0
0,2.187,5.595,0,0,0
1.483,3.906,1,3,1,5.511
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
913.094,821.097,921.775,903.359,800.533,894.27
5,3.658,3.728,7,2,10
6,9.015,2,8,8,7
1059.049,746.69,604.071,1066.371,743.556,1153.186
968.651,971.851,1082.389,1256.933,1131.062,1062.014
1431.533,1414.394,1333.377,1319.816,1312.922,1148.206
833.52,598.461,794.559,768.569,787.715,538.04
61.317,72.6,71.118,57.424,50.115,49.18
5.827,12.283,12.688,0,6.866,6.245
0,0,0,0,0,0
0,0,0,0,0,2.343
17.836,88.108,82.187,72.525,42.618,61.794
5,0,6.308,0,7.421,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,3.805,0,0,0,0
0,2.538,0,0,0,0
100,82.001,64,75.078,61.001,64
3,0,0,0,0,3
0,0,0,0,11.778,0
57.073,0,26.407,50.985,0,0
0,0,0,0,0,0
10.515,10.691,9.675,14.504,14.589,9.62
0,0,0,0,1,0
0,1.001,2,0,1,1.011
0,0,0,0,0,0
445.141,237.45,413.025,422.785,362.469,378.726
1438.395,1490.626,1498.241,1452.621,1530.244,1486.019
1,0,0,0,0,0
2,0,0,0,0,0
672.194,1134.437,837.137,899.356,780.031,725.699
500.838,418.359,558.999,543.408,373.947,382.84
4794.821,5246.006,5224.421,5711.51,4922.165,4836.155
10.687,40.505,41.105,56,36,28.846
1488.626,1655.081,1654.771,1846.653,1468.149,1423.335
35,29.797,9.64,31.302,41.902,38
2538.128,2235.515,2164.622,2371.569,2465.911,2345.058
0,0,0,1,0,0
943.549,1233.314,1195.082,1146.324,961.817,1153.92
211.905,394.881,212.223,327.584,272.12,305.675
7,3.136,13,0,11,10
397.811,196.08,723.266,729.437,305.191,507.755
13.279,17.955,1,1.145,2,26
0,0,0,0,0,0
145.49,146.266,111.298,128.991,111.145,114.178
891.891,858.828,1177.992,964.166,917.45,757.549
219.974,389.283,270.891,344.474,225.912,342.37
1621.283,1257.211,1488.596,1103.848,1452.108,1313.887
32,8.681,15.004,10,13.02,17
1921.58,2108.812,1966.72,2143.539,2113.738,1950.896
16081.876,15376.954,15972.636,16759.067,15657.933,16091.702
661.711,613.728,657.251,622.372,608.22,716.16
231.431,209.927,204.807,214.268,217.489,156.114
266.149,280,275,290.013,285,259.09
896.192,886.482,676.144,773.235,903.308,833.014
776.01,995.731,538.065,1003.989,836.761,615.312
130.342,79.877,104.371,116.293,76.705,110.102
1298.477,1345.574,1283.704,1345.456,1120.756,1244.803
251.822,252.072,331.438,327.226,208.458,212.021
0,0,0,0,0,0
569.153,589.562,588.612,626.964,510.077,637.887
750.944,782.347,775.049,843.594,707.815,623.061
283.858,398.118,382.811,433.516,388.416,315.164
125.647,190.624,134.329,183.593,143.231,119.94
1006.346,1201.333,1053.998,1297.223,1148.318,833.458
516.499,652.484,630.178,587.453,548.072,553.7
0,0,0,0,1,0
463.485,475.588,468.743,525.649,443.994,447.13
