"SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
5747.129,6976.952,6094.84,14793.327,7636.457,6388.986,13486.728,9102.487
176.005,150.936,121.959,150.969,135.242,141.404,278.941,114.455
50,817,548.772,420,42,30,62,47
0,0,1,0,0,0,2,0
0,19,0,20,0,0,36,0
136.179,67.603,13.85,203.354,26.612,130.236,136.58,129.384
1602.192,2656.754,1231.23,4419.232,2233.676,2663.537,4374.994,2176.475
51,115,70,15,21,68,213,34.001
1,235.548,0,0,48.799,211.232,70.824,72.805
2509.489,3583.811,2810.407,6824.675,3593.658,4010.496,7560.054,3455.049
770.926,1322.626,960.301,1328.862,825.442,1339.465,1881.063,1066.525
0,0,0,0,0,0,0,0
40.064,200.064,93.034,192.6,99.549,180.882,399.799,218.446
0,0,0,0,0,0,0,0
1372.346,2803.011,1502.749,3944.035,2762.634,2061.642,6022.398,2385.284
476.701,462.188,297.513,1064.234,773.536,775.077,1158.139,802.024
2,12,10,83,27,6,10,5
453,1001.003,509.393,1936.813,1083.334,698.003,2058.341,828.803
1960.631,2807.417,2628.144,2114.236,1123.146,2370.548,7424.286,3674.138
382.998,677.732,380.23,775.317,398.556,576.873,989.862,633.265
137.209,166.092,100.489,260.823,169.438,146.44,374.82,205.269
401.904,505.735,321.052,636.594,384.342,511.391,835.342,603.362
100.614,272.409,136.109,319.871,108.657,490.77,313.439,181.525
0,0,0,0,0,0,0,0
3,2.185,4,25.962,20,6,10.242,11
3,3,1,5,1,0,5,3
0,0,0,0,0,0,0,1
147,241.064,183,340.999,192,224,499.014,234.797
365.934,553.7,384.613,567.323,400.774,704.951,947.385,457.956
2633.085,3363.133,2704.124,6412.099,3586.79,4227.527,9445.803,4755.337
11.541,23.973,47.374,60.404,8.698,6.931,65.764,15.878
1249.327,1621.52,1294.099,2546.679,1555.227,1961.934,3064.386,1652.167
0,1,0,8.277,7.451,29.188,12.973,5
194.974,615.411,339.805,517.199,321.752,452.666,884.222,243.26
0,5.635,0,18.852,11.363,0,15,4
0,0,0,0,0,0,0,0
830.995,1062.83,549.82,719.959,347.032,501.274,2133.896,1726.974
2631.008,3373.031,3303.405,4427,2812.194,4620.008,6286.001,3724.787
1131.422,1553.024,969.689,1801.076,1166.709,1437.166,2999.474,1703.878
7123.181,10477.258,7218.828,14257.497,6577.602,9100.933,19886.5,11975.901
520.226,1753.04,818.148,2797.944,1480.655,1151.867,3024.435,1391.89
