SRR18889440,SRR18889441,SRR18889442,SRR18889443,SRR18889444,SRR18889445
0,0,0,0,0,0
0,0,0,0,0,0
2871.993,1784.139,2218.197,2487.156,2050.669,1813.604
0,0,0,0,0,0
3,4,5,5,4,2
1356.896,1174.704,1424.426,1260.976,1060.723,1114.08
6.08,45.823,32.935,35.886,35.116,32.204
0,0,0,0,0,0
1110.653,1173.586,1254.053,1260.271,1217.974,1202.52
108,92,90,72,83,96
2,1,1,0,1,3
0,2,0,0,0,0
306.845,494.741,350.394,346.412,336.943,299.888
289,260.896,285.999,300.001,233.527,248.999
725.282,516.56,656.301,589.544,679.747,594.536
0,0,0,0,0,0
0,0,0,0,0,0
873.119,854.785,783.249,818.505,656.786,717.311
1264.313,953.551,1276.344,1059.774,1169.986,1201.866
2.144,27.77,25.082,14.77,2.242,19.729
7522.856,6915.968,8711.136,7777.306,7065.787,7108.208
1114.116,871.636,1041.071,1036.747,957.302,930.649
7.655,4.207,0,5.584,0,3.745
3.157,4.617,10.745,2.189,3.845,3.142
2411.988,2403.989,2676.842,2415.666,2302.046,2402.241
408.008,448.85,390.838,481.072,385.351,343.215
17.491,23.667,46,20.914,34.511,15.678
0,0,0,8.651,0,0
66.048,68,63,72,69,63
1,0,0,0,0,0
179.795,251.988,77.824,174.147,163.484,93.321
165.96,278.231,160.43,170.331,177.516,199.033
2475.27,3002.695,2786.371,2474.147,2571.995,2247.877
2789.007,2634.435,1780.988,3058.174,2256.828,3277.523
1317.998,1194,1251.713,1212.854,1156.296,1111.001
0,0,0,0,0,0
183.591,81.945,145.468,294,176.401,266.181
9067.099,8636.605,9224.358,8453.148,7939.716,8755.876
0,0,3.626,3.613,0,0.71
0,0,0,0,1,0
70,74,83,77,85,70
16.052,15.797,12.253,20.147,8.758,16
364,281.401,394,245.317,314,340
223.231,196.278,203.408,285.648,293.834,220.46
331.875,121.532,336.272,494.475,453.892,366.925
40.533,0,202.543,65.681,0,3.625
1521.202,1355.535,1524.416,1332.413,1456.328,1568.044
1943.703,2024.136,2199.889,1797.167,1963.41,1991.976
134.7,152.878,181.667,214.58,197.306,211.332
20.516,24,22,33,15.765,4.067
21,19,13,22,24,16
963.504,866.717,895.946,1124.481,748.918,852.807
1923.683,1642.002,1748.722,1961.307,1650.256,1765.228
0,0,0,0,0,0
0,0,0,0,0,0
6.033,4.775,7.011,5.693,10.42,2.707
0,1,0,0,0,1
24,10.375,20.701,25,16,16
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
731.079,719.135,844.03,710.642,725.874,728.675
1992.416,1551,2112.455,1935.041,1845.725,1621.482
1.577,0,0,0,4,0
3.002,1,6.064,3,7,4
372.279,357.656,500.021,353.568,371.461,389.216
99.046,35.369,90.062,61.032,93.792,161.343
1467.507,1226.068,1614.819,1333.434,1371.73,1382.691
4385.128,4535.897,5303.903,4643.612,4380.012,4548.904
148.161,138.082,289.934,149.484,137.018,102.534
9.711,21.914,12.53,4.638,7.505,9.43
0,0,0,0,0,0
11.582,10.349,26.005,0,13.294,22.492
0,0,4,0,4,10
0,0,0,0,0,0
0,0,0,256.075,0,57.622
0,0,0,0,0,0
77.939,34.034,24.76,50.627,36.237,7.248
0,0,0,0,0,0
175.992,82.454,137.622,204.739,165.651,103.911
17,13,33,29,31,25
10.303,5,19.744,5.291,8.783,6.333
0,0,0,0,0,115.978
343.9,249.233,225.656,92.13,16.493,38.829
0,0,0,0,0,0
58.8,64.138,76.094,63.604,88.414,62.565
0,1,0,0,0,0
24.679,4.343,10.163,12.721,22.559,11.904
0,0,0,0,0,0
367.939,287.972,490.209,513.052,394.353,327.616
900.008,752.761,748.666,788.362,743.345,723.304
0,0,0,0,0,0
0,0,0,0,0,0
41512.015,40964.226,49849.1,42404.484,42768.84,42091.62
295.823,210.017,199.057,249.341,200,276.797
598.908,649.713,649.889,592.696,704.341,655.782
0,2,0,2.846,0,0
0,0,1,0,0,0
7301.771,6660.254,7789.885,7720.646,6375.695,6461.769
0,0,37.175,0,43,0
5,4,1,5,3,2
4.164,23.203,17.192,7.63,7.231,9.812
0,7.424,0,0,1.182,1.134
11,0,10,8.341,7,7
1187.637,1060.091,1423.896,1189.116,980.965,1142.374
685.896,719.084,882.64,725.123,630.998,750.334
0,0,0,0,0,0
416.409,331.262,464.582,369.817,447.756,460.051
1120.191,967.239,1168.703,1057.538,1007.109,975.109
560.825,637.099,564.93,509.751,571.514,601.333
937.618,853.715,884.007,734.371,724.508,606.534
4,0,0,0,1,0
0,0,0,0,0,0
4676.697,3876.038,4829.369,4403.549,4307.353,4105.054
23,0,15,14.865,0,24.916
459.812,378.512,534.616,406.876,425.475,395.427
995.013,954.021,1113.949,1001.664,969.409,910.667
1506.352,1332.978,1600.083,1380.398,1277.645,1287.336
1076.007,980.456,1178.237,779.549,820.031,812.296
8.633,5.376,5.117,11.981,13.169,8.832
1446.868,1395.678,1475.398,1402.418,1403.157,1466.739
224.712,204.051,216.37,221.19,177.751,217.82
0,0,0,0,0,0
410.291,446.309,477.621,425.113,341.242,358.902
430.375,306.6,386.716,355.343,392.049,443.775
285.001,467.792,444.734,491.316,185.037,339.693
136.576,119.293,118.356,93.268,81.371,114.751
1050.901,914.58,980.642,1322.924,855.949,882.613
1564.279,1407.689,1678.221,1506.158,1530.989,1508.493
0,0,0,0,0,0
73.038,48.241,58.613,48.178,67.284,71.896
193.7,191.469,251.208,213.925,192.171,217.35
725.557,628.176,670.642,682.421,673.487,677.771
14,6,7,8,12,3
1883.262,1568,1956.15,1763.145,1818.01,2034
144.713,137.289,170.97,116.304,87.774,189.666
427.427,282.374,313.608,343.669,316.481,281.69
760.4,836.961,831.079,878.16,754.186,932.577
0,0,1,0,1,0
1838.607,1554.873,2075.885,1679.927,1591.326,1709.83
0,0,0,0,0,0
0,0,1,0,0,0
0,2,0,0,0,0
0,0,0,1,0,1
27.597,38,31,41.578,36,27
144.473,132.282,145.339,131.789,140.445,115.428
0,0,0,0,0,1
96.026,129.113,72.519,133.677,77.464,121.24
2072.467,1815.951,2348.778,1895.728,1937.103,1969.292
16,12,18,16,12,11
