"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
2.762,11.797,26.975,108.053,49.205,57.928,69.656,85.965,89.179
647,838.999,502,1208.001,917.001,1296.001,1760.999,1680.001,1816
70,171,157,94.999,72,113,62.001,77,83
7.175,3.339,2.467,16.079,6.508,10.482,12.87,4.663,8.673
0,0,0,0,0,0,0,0,0
0,43.247,25.99,42.954,37.992,94.161,55.58,62.441,39.909
1.205,9.268,0,3.908,8.947,3.979,8.328,5.886,1.691
0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.264,0,0,0
0,30.722,0,18.676,0,73.441,0,0,0
0,0,32.588,154,69,127,130,116,118
1048.937,1501.115,1312.866,3183.932,3393.483,4646.286,3950.307,4178.17,3953.29
49,54,33,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,1.051,0,14.527,10.259,31.565,1.671
12.369,36.09,0,65.091,52.48,79.644,149.861,96.762,98.031
0,0,0,0,0,0,0,0,0
2.224,5.472,52.485,85.011,29.421,41.252,16.311,21.228,112.302
0,0,0,0,0,0,35.22,0,0
155.309,247.829,203.658,849.162,628.267,792.713,808.09,686.804,701.873
28,19,7,41,36,17,48,34,51
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
4.733,4.481,0,156.877,8.224,123.66,239.901,149.899,195.678
0,5,0,2,1,0,0,6.122,1
3472.172,1610.736,1433.4,31.199,0,10.007,0,4.589,0
0,5,4,0,0,0,0,0,0
43,15,10,4,3,3,5,5,5
401,286,293,703,306,516.256,508.05,470.746,464.865
1062.208,1694.233,1420.083,21,11,29,11,13,7
5646.629,6277.352,5355.559,2906.869,2538.66,3846.771,3130.463,3281.655,3455.563
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,15,0,0,0,0,0,0
5,15,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
24.269,70.737,27.8,50.971,24.257,46.506,33.966,37.443,47.73
5.069,10.245,5.679,4.532,8.19,11.605,17.602,66.955,16.086
0,0,0,0,0,0,0,0,0
33.178,37.617,24.374,169.068,69.674,207.491,181.278,172.743,162.848
9,4.761,3,18.031,0,27.124,0,1.013,1.027
0,0,0,0,0,0,0,0,0
0,4.562,0,30.753,4.893,7.518,19.369,0,12.524
40.884,72.87,46.794,205.261,176.706,335.709,366.712,230.39,195.693
9,22,13,123,88,119,176,150,119
1,0,2,0,0,0,1,0,0
251,283.836,234.453,1354.419,1124.954,1443.697,1443.545,1494.031,1474
22.281,38.579,44,165.077,148.998,202.611,205.854,188.315,179.211
915.023,1007.585,878.978,1063.498,659.22,1013.132,809.103,777.592,806.493
261.907,252.946,296.052,573.69,249.502,488.153,382.472,443.032,499.9
0,0,0,16.281,2.778,18.879,12.588,31.334,31.28
0,0,0,1.193,3.224,0,0,5.995,3.15
0,0,0,0,0,0,0,0,0
222.274,164.266,165.251,1901.086,1228.074,1867.626,1900.476,2176.908,1956.092
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6.383,11.434,4.888,29.224,20.669,51.639,28.93,17.682,16.265
7,0,0,0,0,0,0,0,0
0,0,0,0,1,0,2,0,1
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
41,62,73,10,22,15,5,18,14
114,97,101,11,10,24,10,17,11
1,0,0,1,0,0,4,1,0
56.058,48.05,47,3,3.003,3,0,0,2
13.509,12.213,4.075,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
181.041,276.994,231.971,264.236,356.14,421.446,403.341,407.322,371.046
0,3,0,0,0,0,0,0,0
124.212,361.267,298.913,10.557,0,59.031,0,0,0
0,3.199,7.601,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
40,31,8,2.681,0,0,0,0,0
0,3.367,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,3,0,15.758,15.917,20,26.396,25,26
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0
4,3,49.794,5,213.277,7,65.409,115.337,138.065
106.881,89.712,14.986,76.026,25.32,144.723,210.244,130.675,150.484
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,10.77,6.402,2.639,2.691,2.688,6.458,22.769
1849.197,2632.9,2326.164,30652.323,31590.562,45164.927,39384.914,38324.507,36457.887
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
349.886,199.516,354.185,1890.389,845.57,1475.547,1270.633,842.56,1042.787
11,0,0,0,0,0,0,0,0
12.175,0,0,0,21.459,37.131,53.545,0,39.561
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
7,4,2,1,1,0,1,0,0
2,2,0,12,1,0,0,26,6
0,0,0,0,0,0,0,0,0
0,0,0,4.904,0,0,1.007,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
826.267,782.543,879.665,4072.257,3427.26,5651.486,5090.103,4627.066,5055.519
86.397,83,93,608.23,297.945,482.047,469.713,470.88,541.898
3.959,0,0,0,0,0,37.741,0,0
0,0,0,0,0,7.231,0,56.001,0
0,27.708,0,0,0,0,0,0,0
0,13.914,5.897,19.939,0,4.565,0,0,0
11.383,0,0,0,0,0,0,7.416,1.49
0,0,0,0,0,0,0,0,0
10.877,23.534,26.884,55.095,37.929,93.265,85.425,57.643,61.394
0,0,0,0,0,0,0,0,0
84.766,142.343,97.412,133.065,93.147,155.783,100.298,100.961,84.708
0,0,0,0,0,0,0,0,0
3,7,0,0,0,0,0,0,0
18.183,12.892,17.733,29.511,6.847,29.702,3.469,7.165,28.271
0,0,0,0,0,0,0,0,0
17.451,1.004,0,0,2,0,0,0,0
3,0,0,0,0,0,0,0,0
0,85.434,0,0,2.806,20.332,0,0,0
181,117.159,126.877,123,46.108,68.77,43,52,55
1,0,0,0,0,0,0,2,0
29.59,5.417,8.374,21.708,10.288,53.933,73.663,52.854,36.642
2,0,0,0,0,0,0,32.388,0
30,21,16,132,63,82,112.801,112,102.001
27,12,14,62,52,60,96.999,92,117.001
11.246,0,68.942,0,14.382,29.429,0,0,3.954
39.808,27.368,12.94,228.894,35.801,259.394,162.358,250.619,196.156
0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0
19,5.572,6.939,53,63,73.935,39.863,66.172,63
98.738,147.952,53.293,202.985,165.359,152.247,113.607,127.895,166.869
0,0,23.154,0,46,8.382,7.862,0,8.091
0,9,17,28,5,11,18,9,14
461.154,718.411,597.902,1297.68,961.376,1493.095,1819.823,1835.988,1749.407
145.668,214.481,145.328,431.461,326.149,317.419,391.147,332.14,331.585
2,0,2,0,0,0,0,0,0
98.241,203.722,183.998,147.386,229.754,363.98,84.814,123.061,117.437
0,0,0,0,0,0,0,0,0
3,0,0,0,0,3,0,3,0
0,0,0,0,0,2,0,0,1
0,0,0,2.273,6,0,0,4,5.385
0,0,0,44,6.012,2.097,21.411,0,0
0,0,0,7,0,5,1,0,1
15,6,20,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
99.695,69.726,98.625,13,12,4.54,6.958,5.404,15.977
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
222.103,254.012,0,48.631,52.828,56.761,60.733,0,0
144.808,135.751,139.545,1087.542,168.833,453.363,389.623,280.304,289.899
0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
356,612.295,434.604,740.216,574,992.999,609,731,678.661
26,45,42,91,68,114,99,106.001,106
13,24.161,19,36,49,107.908,34.002,44.122,58
0,0,0,0,3,0,0,0,0
0,0,0,0,0,142,110,0,143
0,0,0,0,0,0,0,0,0
3,1,0,0,2,2,0,0,1
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,3,0
0,0,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0,0
4.881,3.164,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
7,1,1,2,0,0,1,0,1
0,0,0,0,7.138,0,0,0,0
0,0,0,0,0,0,0,0,0
4,5,8,1,2,2,2,2,4
0,3,2,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0
0,0,0,5,5,6,2,8,1
0,0,0,0,4.032,5.156,2.289,0,0
46,72,55,181,110,190,134,163,168
0,0,0,0,50,124,86,0,0
35,18.168,59,30.855,73,66.651,58,0,17.752
73.676,20.871,72.295,17.666,37.752,25.668,45.705,36.398,15.587
35,49,38,85,50,85.007,40,49.917,50
6,1,2,0,0,0,0,0,0
68,94,111,315,207,412,314,333,381
16.678,16.595,2.471,47.195,29,40.306,31.204,53.463,44.482
12.572,9.099,4.218,27.055,34.713,71.261,46.494,70,35.187
44.926,2,0,0,0,4.795,0,0,0
81,175.124,154,249,199.81,413.271,257.44,330.217,336.133
12.479,0,0,75.001,10.973,59.573,27.719,60.939,41.759
21,29,24,123,49.001,88,79,90,93
32,32,16,1,3,1,1,3,3
0,0,0,0,0,0,0,0,0
137,318.479,212.286,717.503,516.8,825.751,743.741,694.376,685.805
0,0,5,0,0,0,0,0,0
2,0,3,5,2,8,36,31,24
0,0,0,0,0,0,0,0,0
111,61,69,241,85,173,89,103,118
0,0,0,0,0,0,0,0,0
0,0,0,5.381,1.581,0,5.322,1.119,4.632
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0
101.869,102.715,127.713,667.086,486,563.267,658.411,612.101,686
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2,5,5,4,0,1,2,3,4
0,0,10,4.197,0,9.858,4.213,4.393,23
7.233,4.592,10,10,5.908,20.322,2.174,9,15.386
0,24.483,21,16,20,49,29,21,28
234,359,243,221.001,283,385,272.001,306,265
0,0,0,0,0,0,1,0,0
0,3,0,2,2,0,3,5,5
0,0,0,0,0,0,0,0,0
62,51,55,169.001,128,239,149,153,177
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0
4,0,3,3,1,2,3,1,3
0,0,15,0,32,4.722,0,14,18
0,0,0,0,0,0,0,0,0
0,0,1.108,0,0,0,0,6.845,58.149
0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,14,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0
353,139.551,257,679,259,479,433,364,334.211
0,0,0,0,0,0,0,0,0
194,116,111,79,64,144,92,97,87
30.979,36.654,42.585,135.104,52.079,70.984,116.5,113.684,78.497
0,0,2,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,85.294,53.663,8.796
0,0,0,0,0,3,8,0,0
0,0,0,0,0,0,0,0,0
