"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
1,7,0,1,1,1,0,0,1,8,15,4,3,6,0,1,3,4,1,0,2,2,2,3,0,6,2,5,4,1,4,3,1,3,2,4,0,3,6,3,6,6,6,5,5
0,0,0,0,0,0,0,2.786,3,8,11.449,3.243,3,0,2.652,0,0,0,0,0,3,3.757,1,1,0,1.429,1,7,3,0,2,1,0,0,0,0,0,0,2,2,4,1,4,3,0
166.385,200.538,205.172,386.235,341.512,591.015,435.137,568.535,419.984,350.33,635.327,820.288,822.43,579.752,4109.59,3675.781,4486.342,6117.067,5458.635,5693.868,3311.831,2869.967,3944.353,4820.133,2718.813,532.982,3282.966,125.017,137.287,313.865,223.198,227.542,6511.087,5133.029,9412.36,6396.486,6206.75,8838.319,6271.433,6590.351,5167.482,6430.242,4705.007,6442.204,177.664
1.076,4.655,8,0,14.535,14.554,52.692,26.875,27.083,0,25.062,0,0,0,42.712,0,137.488,0,12.175,0,44.395,24.737,0,21.232,0,18.825,37.882,16.317,11.248,17.073,0,0,0,0,23.833,0,0,0,0,11.578,45.843,9.29,24.36,0,0
11,38,23,205.169,108.7,175.313,151.936,184.984,253.726,29.915,90,23.572,54.718,91,212.066,336.09,386,484.241,506.144,599.794,259.884,120.683,212.021,502,175.075,35.889,203.112,42,15.313,15.389,17.331,19.853,627.645,522.952,908.559,706.366,622.489,928.334,673.124,647.919,510.482,849.265,669.991,776.316,18.56
0,0,1,11,12.359,8.265,14,9.682,15.939,2,6.539,9.892,1,4,9.934,10.83,23.337,25,15.771,12.758,23.796,13,15.111,21.981,28,3,18.939,0,0,0,1,3,39,42.772,38.306,31.821,35.677,32.953,33.203,27.593,10.566,31.855,28.288,34.743,0
24.941,38.918,17.729,25.606,26.909,26.259,34.712,47.482,33.3,1.185,0,0,2.107,0,2.534,0,0,25.549,1.376,0,0,0,2.721,0,0,1.529,3.844,0,0,0,0,0,0,0,0,0,0,17.214,0,0,0,3.909,19.3,1.163,0
3.045,3,3,4.044,0,5,0,1,4.106,34.462,56.078,31,36,26,11,13,16.56,12,19,26,16.326,10,14,12,8.341,40.533,11.09,13.605,22.062,19.513,16.839,18.662,36.69,24.899,40.142,32.998,47.34,34.608,32.997,43.056,37.374,30.706,29.371,32.851,14.567
11.678,107,103,94,131,171,198,181,159,3,19,2,39,1.27,34,41.571,55.063,66,80.187,86.756,47,54,39.743,78.631,62.46,8.635,59,0,11,15,6.498,2,70.349,37.584,142.407,70.355,101.115,135.591,7.296,88.441,78.736,117.908,96.534,92,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14.852,16,11,87.519,48.909,64,87.316,46.557,34.356,76,0,3.763,6.452,109,367.486,334.263,416.815,493.409,415.045,612.091,451.376,391,482.161,496.897,322.324,6.306,421.687,51,0,43.961,6.072,31.712,1034.682,656.308,1057.121,952.356,877.41,899.211,1247.296,1161.601,944.754,1023.918,990.488,986.581,6.182
33.145,33.823,23.634,55.506,34.616,109.847,192.077,118.869,23.948,28.913,36.497,58.999,58.178,54.554,136.005,93.582,164.973,94.116,177.199,125.171,101.886,74.639,47.001,116.504,87.762,9.756,88.518,6.378,16.18,24,13.232,21,189.274,104.129,268.02,284.808,207.474,301.204,136.841,157.66,90.027,196.913,161.975,199.054,27.336
0,106.972,0,206.948,142,2.087,103.263,2.306,99.833,74.389,291.602,239.403,184.485,278.847,668.073,537.755,336.379,671.021,232.548,446.612,548.858,293.557,606.754,613.39,315.677,128.307,346.844,114.14,82.361,109.903,168.606,126.622,1291.605,588.742,1256.69,1017.947,648.287,1140.061,1180.223,1150.036,695.101,1063.632,763.294,879.639,106.242
1128.885,1330.552,1035.648,685.205,491.458,675.524,785.666,776.465,786.859,214.165,267.095,156.675,130.38,326.551,193.004,380.339,295.065,295.259,338.897,366.61,104.078,151.348,239.702,319.114,83.467,134.432,127.953,84.996,60.31,112.517,139.619,77.145,337.602,396.519,660.445,393.673,295.945,496.415,538.295,659.736,561.716,403.58,277.544,308.093,44.334
