"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
143.322,124.497,139.704,137.065,202.72,185.25,147.84,179.317,176.879,140.891,124.513,126.122,160.808,103.32,99.939,148.335,136.149,131.337,82.669,140.056,94.054,117.88,119.102,122.831,96.11,148.752,122.646
832.476,919.089,788.184,978.937,1143.644,1036.161,1489.728,1370.717,1264.181,767.402,790.759,605.954,833.464,759.449,732.324,1103.169,1054.419,969.082,545.69,710.884,525.438,690.92,808.822,906.854,658.847,849.691,1102.533
21.687,17.385,26.84,16.295,21.954,15.835,83.126,125.22,72.378,70.359,13.096,55.802,21.466,8.884,0,113.543,80.028,17.489,7.963,12.249,27.331,47.791,56.952,2.4,43.551,33.599,70.603
7860.302,6344.699,7347.86,6911.348,7563.039,6938.09,9637.494,8339.047,6598.377,5125.841,3141.077,3383.562,3979.318,4733.114,4541.541,6822.64,7560.789,6891.41,3412.802,5112.026,4353.772,4903.813,4723.672,5294.948,4282.659,6072.352,6846.206
359.889,435.535,318.071,435.076,478.932,402.677,481.175,420.378,542.304,319.842,325.853,180.123,328.357,295.326,349.766,410.76,405.008,341.947,227.751,317.69,220,336.806,304.462,344.039,254.209,329.119,368.065
153.482,50.729,75.536,66.37,80.981,43.35,122.36,39.504,44.814,80.054,15.19,78.815,62.078,70.579,20.131,43.449,46.631,28.682,105.063,41.772,31.525,71.411,49.471,64.801,59.726,80.496,68.513
0,8.593,0,22.651,22.52,26.839,29.403,19.555,27.123,8.419,0,7.769,0,15.426,4.752,30.423,16.061,43.365,11.812,1.291,9.881,14.371,31.426,0,8.861,0,28.846
26.503,62,34.831,36.166,57.526,57.346,38.915,53.203,54.382,0,6.492,35.926,40.617,7.925,35,65.451,39.071,55.4,15.86,38.004,30.591,17.932,10.616,32,20.481,58,61.516
111,72.803,78.874,113.942,116.93,107,76,72.103,50.699,115.55,120.474,70,100.793,77.164,82,58.015,74.801,59,55,96,67.684,100.714,78.937,63.914,38,62.062,67.715
263.255,205.57,0,168.899,159.028,239.447,129.328,123.141,203.649,180.351,52.007,49.731,0,0,77.277,128.687,90.203,131.795,62.594,75.796,54.048,126.876,16.891,96.051,98.948,16.108,38.316
722.009,620.682,510.536,726.29,617.224,590.07,791.287,576.744,540.633,503.312,497.222,330.27,481.442,392.636,505.829,679.589,487.652,587.321,343.554,535.22,302.178,457.816,410.04,485.664,246.535,445.905,540.781
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.352,37.471,80.809,23.467,40.509,36.814,41.221,34.526,3.392,33.439,14.501,25.745,8.11,30.731,24.715,16.241,34.699,24.695,26.94,39.498,68.804,12.475,76.887,44.814,27.436,47.041,43.447
458.495,437.34,438.804,480.009,551.785,495.271,511.685,480.503,334,582,438.051,478.098,375.158,409.158,251.033,429.291,394.777,373.115,256.837,376.294,362,334.57,316.051,411.186,259,346.001,445.001
786.669,610.993,698.126,1014.555,1108.795,898.227,1500.161,1234.139,964.999,975.001,670.451,679.157,737.085,650.098,598.999,1065.788,1097.01,1040.289,582.237,799.419,686.65,694.575,697.001,769.452,634.808,885.999,1015
2359.03,1924.996,2211.513,2085.983,2235.511,2084,2166.919,1771.607,1173.459,2042.046,1209.531,1366.547,1166.667,1498.289,1447.638,1758.813,1698.752,1775.422,1023.656,1724.387,1576.945,1420.702,1290.324,1591.474,1080.619,1487.835,1650.254
5,3,2,3,2,0,6,4,8,4,0,3,1,2,2,3,8,8,1,3,2,1,3,5,1,8,10
712.999,686.948,640.11,748.869,908.78,724.218,857.429,671.322,702.013,732.376,573,518.557,569.206,648.162,620.436,649.049,652.049,575.057,443.538,610.854,470,635.035,639.198,619.729,325,536.524,590.19
3.935,2.689,7.076,3.528,0,2.586,9.568,0,0,5.461,0,4.626,6.223,0,4.71,0,0,0,0,3.145,0,6.901,0,1.786,3.949,1.566,0
701.895,713.669,671.667,800.733,1064.449,983.294,1332.419,1207.416,1003.216,683.218,535.651,509.834,694.921,715.605,693.054,987.383,1090.66,1020.232,447.171,639.511,490.057,690.16,726.41,730.83,634.701,917.454,1030.395
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213.911,262.506,198.406,206.782,183.401,191.185,204.953,222.123,389.669,181.98,203.511,114.051,213.113,137.251,118.862,221.24,241.64,199.458,106.119,178.294,127.499,175.288,139.119,110.226,131.804,177.406,225.358
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306.336,316.052,309.829,256.317,273.539,240.739,172.152,126.195,171.873,240.227,299.572,221.332,215.024,190.918,185.843,202.483,156.671,125.913,144.619,260.251,173.318,184.506,156.133,185.314,91,137.993,196.189
341.059,340.004,306.061,363.943,413.365,359.297,420.908,413.987,329,513.231,428.516,402.039,355.066,328.707,334,261.458,372.863,316.73,226.459,354.497,331.375,330,330,296,243,305,375.547
0,0,0,0,0,0,0,8.442,0,0,0,0,0,0,0,4.827,0,0,0,0,9.236,0,0,0,0,0,0
5.923,15.142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,1.371
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.802,0,0,0,0,0,0,0,0,0,0
0,8.497,0,0,9.654,2.649,3.016,4.795,0,6.868,0,0,0,9.594,4.361,4.036,3.018,4.721,1.786,6.911,7.616,0,0,5.475,0,4.404,5.059
0,0,0,0,0,0,0,0,0,1.832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,8.803,9.682,5.276,9,14.722,8,15.88,22,7,7,3,9,7.635,6.265,11.458,6.34,10.837,2.291,8.392,4,7,8.369,10.399,4,8,17.439
0,2.142,0,0,0,0,0,0,1.129,0,0,0,0,0,0,0,0,0,0,0,1.701,0,1.079,0,1.113,0,0
0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.086,9.385,6.601,17.597,22.647,0,11.311,41.245,31.076,1.3,5.016,8.873,5.255,13.171,24.301,52.403,32.486,35.847,0,9.844,4.629,41.177,7.617,4.244,6.9,27.075,19.937
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.964
0,0,0,0,0,0,0,0,0,0,1.736,0,0,0,0,0,0,0,0,0,0,0,1.887,0,0,0,0
39.674,27.891,39.253,83.031,67.691,67.211,64.494,43.195,44.881,60.38,48.136,56.82,41.278,45.101,34.881,59.405,83.535,53.679,58.802,38.817,23.081,49.131,42.158,40.374,30.997,49.434,76.907
1,1,2,2,1,3,0,0,0,2,1,2,1,0,0,2,2,2,0,0,1,0,1,0,0,1,0
51.583,0,21.977,5.038,0,0,0,0,35.629,0,0,0,0,21.009,0,0,0,24.53,0,0,40.12,17.147,0,0,0,0,20.182
0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53.752,73.515,82.845,50.792,62.861,47.633,32.614,18.143,61.699,113.061,100.571,28.971,61.117,57.784,30.016,34.458,36.185,48.591,0,56.207,34.855,13.532,47.771,29.94,35.783,0,27.62
0,0,0,0,0,0,2.684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525,0
13.736,9.52,11.482,0,4.176,12.157,7.891,0,9.473,10.985,2.977,4.806,0,15.28,10.837,5.717,10.604,9.532,0,16.575,7.504,8.874,4.359,7.276,4.786,0,13.719
1.064,1.046,1.054,2.13,1.047,0,0,2.106,4.216,1.067,1.04,0,0,0,2.138,0,3.236,1.235,2.056,1,0,0,0,1.037,0,0,3.276
69.81,51.782,42.621,40.782,0,57.137,25.243,26.715,0,0,0,17.546,42.291,4.172,63.309,6.396,0,0,26.582,62.055,7.483,6.1,59.54,0,0,0,0
0.5,0,0.5,0,1.063,0,0.5,0,0,0,0,0.5,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0
0,5.478,0,0,4.774,0,0,0,0,0,0,1.101,0,0,0,2.464,10.43,0,0,0,0,5.674,0,0,0,0,0
0,0,0,4.313,0,0,3.928,0,7.935,0,3.67,0,8.343,3.69,5.871,0,8.374,4.899,0,0,0,0,0,0,0,0,0
