"SRR20079510","SRR20079511","SRR20079512","SRR20079513","SRR20079514","SRR20079515","SRR20079516","SRR20079517","SRR20079518","SRR20079519","SRR20079520","SRR20079521","SRR20079522","SRR20079523","SRR20079524","SRR20079525","SRR20079526","SRR20079527","SRR20079528","SRR20079529","SRR20079530","SRR20079531","SRR20079532","SRR20079533","SRR20079534","SRR20079535","SRR20079536","SRR20079537","SRR20079538","SRR20079539","SRR20079540","SRR20079541","SRR20079542","SRR20079543"
0,0,0,0,157.124,0,110.875,0,0,67.551,129.224,0,0,0,0,0,469.401,752.392,0,60.89,94.928,23.416,22.639,0,0,1,65.156,12.47,307.009,23.679,0,16,271.36,18.591
0,0,0,0,1292.086,160.532,684.608,0,96.157,657.501,1506.497,174.787,0,19.95,0,237.054,1984.729,5501.023,270.147,729.151,1407.255,47.918,54.158,0,0,3.658,512.356,148.473,1363.021,181.17,381.878,206.173,2683.458,88.615
5.408,2.884,0,2.78,452.463,86.674,344.623,24.56,9.956,332.238,612.587,60.299,17.384,23.949,0,41.168,1092.715,2277.6,96.758,416.83,908.223,87.753,81.669,2,0,3.362,152.508,37.844,477.599,15.152,176.097,8,912,100.275
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,16.914,1,1.359,1,3.022,1,4,0,1,1.538,28.248,17.06,0,6.493,4.325,1.587,16,0,0,1,4,3.303,3.585,0,0,2.585,3.172,1
24,0,0,31,3451.175,562,2239,306,188,1478.246,2904.942,120.499,51.702,150,3.833,540,8482.412,16664.476,395.012,1401.302,3752.324,455,465.858,1,0,15.161,1176.867,154.009,4480.237,460,545.878,364,4608.082,362.915
31,6,0,19,3320.145,558.036,2334,339.001,284,1900,4052.48,417,85.999,150,35,528.999,7769.002,15628.148,807.137,2365,5811.993,667.999,419,3,0,43,1736,386.999,6310.084,586,1383,1027.999,9336.761,781
42.637,12,10,79,6099.848,955.574,4222.156,548.288,683.758,5049.267,11003.849,983.628,155.605,260.675,103,920.145,14765.275,28407.204,1528.899,4551.135,11119.994,1295.358,775.323,9,7,54.581,2151.19,495.774,7334.73,687.408,1939.985,1390.54,13766.922,1141.481
0,0,0,1,28,1,10,3,1,11,33.999,7,0,0,0,1,47,94,4,10,53,6,4,1,0,1,7,4,28,2,9.999,10,59.999,6
17,3,2,23,1766.998,268.022,1268,169.999,191.001,1354.027,2604,276,61.001,68.999,32,238,3844.999,7490.224,415.099,1355.147,3412.567,346,220,4,1,24,674,157,2697.011,249,718.999,495.001,5018.539,373.999
0,0,0,0,0,0,1.519,0,0,0,0,0,0,0,0,0,0,0,2.659,0,2.105,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2,0,19,1865.542,345,1281.495,159,195,1324.894,2542.448,239.462,63,91,28,264,4085.619,8255.823,409.841,1202.046,3112.656,353.352,270.67,2,1,15,646,189.999,2496.271,254,543.27,381.76,4204.206,336.999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,24.446,1484.471,234.975,954.349,102.213,127.276,820.672,1774.748,175.882,46.555,40.147,19,182.829,3071.519,5404.913,296.4,992.645,2246.482,263.967,166.407,0,0,11.531,667.904,170.53,2135.809,199.529,433.904,279.403,3114.785,242.449
