"Gene_Symbol","log2FoldChange","lfcSE","pvalue","padj","cohort","baseMean","stat","GENENAME","GENEBIOTYPE"
"ADAM10",0.080877034,0.087676384,0.356294177,0.95872082,"GSE201325",1750.308358,0.922449467,"ADAM10","protein_coding"
"ADAM11",-0.099776403,0.558230083,0.85814417,0.998359305,"GSE201325",115.2591829,-0.178737058,"ADAM11","protein_coding"
"ADAM12",1.954682699,4.028616887,0.627534872,NA,"GSE201325",0.38801828,0.48519945,"ADAM12","protein_coding"
"ADAM15",0.024722936,0.12289811,0.840568679,0.998359305,"GSE201325",1661.139594,0.201166124,"ADAM15","protein_coding"
"ADAM17",-0.171424297,0.416188937,0.680419635,0.997447198,"GSE201325",64.1524906,-0.411890567,"ADAM17","protein_coding"
"ADAM18",-1.719346471,4.049039323,0.671105897,NA,"GSE201325",0.300929715,-0.424630717,"ADAM18","protein_coding"
"ADAM19",0.348225954,0.270450004,0.197892284,0.869137895,"GSE201325",236.6794861,1.287579772,"ADAM19","protein_coding"
"ADAM20",0.028225015,1.870603483,0.987961399,NA,"GSE201325",2.369869236,0.015088721,"ADAM20","protein_coding"
"ADAM21",-1.399489841,3.816586613,0.713853063,NA,"GSE201325",0.653145789,-0.366686252,"ADAM21","protein_coding"
"ADAM22",1.033141564,0.295035092,0.000462199,0.032304581,"GSE201325",182.8035278,3.501758237,"ADAM22","protein_coding"
"ADAM23",-0.382576105,0.637280567,0.548288982,0.997447198,"GSE201325",55.49778599,-0.600326018,"ADAM23","protein_coding"
"ADAM28",0.981144094,4.080472857,0.809982485,NA,"GSE201325",0.179780612,0.240448626,"ADAM28","protein_coding"
"ADAM32",-0.319611866,0.512240996,0.532661581,0.997447198,"GSE201325",41.34107132,-0.623948235,"ADAM32","protein_coding"
"ADAM8",-0.24050504,1.773028695,0.892100787,0.999486641,"GSE201325",13.76855068,-0.135646445,"ADAM8","protein_coding"
"ADAM9",0.015638916,0.065143723,0.810277632,0.997447198,"GSE201325",17814.00041,0.240067883,"ADAM9","protein_coding"
"ADAMTS1",-0.131901936,0.197520606,0.504268782,0.995086483,"GSE201325",669.848867,-0.667788228,"ADAMTS1","protein_coding"
"ADAMTS10",-0.240410376,0.293140617,0.412147909,0.977074174,"GSE201325",108.649485,-0.820119637,"ADAMTS10","protein_coding"
"ADAMTS12",-0.657929669,1.663988843,0.692552817,NA,"GSE201325",3.451234121,-0.395393077,"ADAMTS12","protein_coding"
"ADAMTS13",0.065353951,0.261898692,0.802943838,0.997447198,"GSE201325",118.6458852,0.249539051,"ADAMTS13","protein_coding"
"ADAMTS14",0.567318294,1.437976864,0.693193232,0.997447198,"GSE201325",7.356392261,0.394525328,"ADAMTS14","protein_coding"
"ADAMTS16",0.23243464,0.426064686,0.585383289,0.997447198,"GSE201325",51.43300113,0.545538384,"ADAMTS16","protein_coding"
"ADAMTS17",-1.319478548,3.985223928,0.740574466,NA,"GSE201325",0.717208764,-0.331092699,"ADAMTS17","protein_coding"
"ADAMTS18",2.52022496,2.606831169,0.33365542,NA,"GSE201325",1.195218178,0.966777208,"ADAMTS18","protein_coding"
"ADAMTS2",-0.942409258,4.080472857,0.817349067,NA,"GSE201325",0.174920321,-0.230955894,"ADAMTS2","protein_coding"
"ADAMTS20",-1.934103309,4.031824965,0.631434224,NA,"GSE201325",0.35944,-0.479709146,"ADAMTS20","protein_coding"
"ADAMTS3",-0.027266595,1.650109458,0.986816265,NA,"GSE201325",2.693391763,-0.016524113,"ADAMTS3","protein_coding"
"ADAMTS4",-0.942409258,4.080472857,0.817349067,NA,"GSE201325",0.172392389,-0.230955894,"ADAMTS4","protein_coding"
"ADAMTS5",-0.460463045,1.692248872,0.785544163,NA,"GSE201325",2.840321366,-0.272101257,"ADAMTS5","protein_coding"
"ADAMTS6",-0.0026031,0.043265542,0.952023702,0.999779309,"GSE201325",7574.852319,-0.060165651,"ADAMTS6","protein_coding"
"ADAMTS7",0.96752531,2.597175082,0.709498373,0.997447198,"GSE201325",50.70638622,0.372529875,"ADAMTS7","protein_coding"
"ADAMTS9",0.624032839,1.382658154,0.651752907,NA,"GSE201325",3.733637766,0.451328362,"ADAMTS9","protein_coding"
"ADAMTSL1",1.692625499,3.071472146,0.581579141,NA,"GSE201325",0.693016368,0.551079553,"ADAMTSL1","protein_coding"
"ADAMTSL3",2.552913122,3.989343655,0.522216082,NA,"GSE201325",0.539341835,0.639933118,"ADAMTSL3","protein_coding"
"ADAMTSL4",0.659810839,1.227344708,0.590858674,0.997447198,"GSE201325",25.75202132,0.537592116,"ADAMTSL4","protein_coding"
"ADAMTSL5",-0.000820687,0.254111512,0.997423131,0.999779309,"GSE201325",231.5653005,-0.003229632,"ADAMTSL5","protein_coding"
"ADAP1",-0.609348086,2.912980854,0.834304844,NA,"GSE201325",2.062182597,-0.209183691,"ADAP1","protein_coding"
"ADAP2",-2.496070805,2.469783871,0.312187129,NA,"GSE201325",1.925857507,-1.010643415,"ADAP2","protein_coding"
"ADAR",0.015912776,0.102647741,0.876803068,0.998563786,"GSE201325",6098.421685,0.155023148,"ADAR","protein_coding"
"ADARB1",-0.127028464,0.109393175,0.245556455,0.899978569,"GSE201325",1020.392369,-1.161210134,"ADARB1","protein_coding"
"ADAT1",-0.015441295,0.162525975,0.924308339,0.999486641,"GSE201325",1272.143392,-0.095008168,"ADAT1","protein_coding"
"ADAT2",0.134815185,0.171119784,0.430789704,0.979253555,"GSE201325",269.5151467,0.78784102,"ADAT2","protein_coding"
"ADAT3",-0.99109312,2.0841288,0.634399904,NA,"GSE201325",3.579580253,-0.475543124,"ADAT3","protein_coding"
"ADCK1",-0.276292111,1.291623759,0.830616715,0.998359305,"GSE201325",15.58289294,-0.213910676,"ADCK1","protein_coding"
"ADCK2",0.328577293,0.251087314,0.190663897,0.858614859,"GSE201325",223.6554635,1.308617656,"ADCK2","protein_coding"
"ADCK5",-0.371583289,0.59180009,0.530078293,0.99719649,"GSE201325",46.94720123,-0.627886504,"ADCK5","protein_coding"
"ADCY1",-0.14084697,0.758438092,0.852674842,0.998359305,"GSE201325",36.27139051,-0.185706613,"ADCY1","protein_coding"
"ADCY10",-0.578995565,1.691708345,0.732159031,NA,"GSE201325",2.912055007,-0.342254956,"ADCY10","protein_coding"
"ADCY3",-0.297127474,0.084957917,0.000469907,0.032659844,"GSE201325",1461.044909,-3.497348843,"ADCY3","protein_coding"
"ADCY5",0.262709481,1.417041443,0.852920845,NA,"GSE201325",3.849388113,0.185392941,"ADCY5","protein_coding"
"ADCY6",-0.486981382,0.288095392,0.090961455,0.698036752,"GSE201325",226.6442103,-1.690347699,"ADCY6","protein_coding"
