Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR22223244_2	73.72642878312763	48.0	146.55112055271815	151	9.090909090909092	21.295339
SRR22223245_1	75.45204658151552	48.0	147.80007429842212	151	18.181818181818183	20.859123999999998
SRR22223245_2	73.77941215752189	48.0	147.85262545061815	151	9.090909090909092	20.859123999999998
SRR22223246_1	75.34632607301175	48.0	147.71899630411713	151	18.181818181818183	20.532035999999998
SRR22223246_2	73.37918796521484	49.0	147.78718389155367	151	9.090909090909092	20.532035999999998
SRR22223247_1	77.4837956137773	47.0	144.48933617376815	151	18.181818181818183	21.277963
SRR22223247_2	76.77563427128467	48.0	144.76256434885238	151	27.27272727272727	21.277963
SRR22223248_1	77.93818079547763	48.0	143.50103787589367	151	18.181818181818183	22.466559
SRR22223248_2	76.59053764433081	48.0	143.8859232515313	151	27.27272727272727	22.466559
SRR22223249_1	79.77197677192052	49.0	146.7221076743637	151	18.181818181818183	52.765912
SRR22223249_2	77.66471687082475	49.0	146.81001042870253	151	9.090909090909092	52.765912
SRR22223250_1	76.1160272770457	48.0	146.07832310536142	151	18.181818181818183	21.173471
SRR22223250_2	74.6202294121183	48.0	146.2765358121963	151	9.090909090909092	21.173471
SRR22223251_1	78.3180090321707	48.0	144.03456470880457	151	18.181818181818183	43.069479
SRR22223251_2	75.83877144660552	48.0	144.42211049267627	151	9.090909090909092	43.069479
SRR22223252_1	75.7892307680959	48.0	145.50605418081156	151	18.181818181818183	21.915433999999998
SRR22223252_2	74.71942480147524	48.0	145.71616336687651	151	9.090909090909092	21.915433999999998
SRR22223253_1	71.7793105460157	50.0	145.6521239269075	151	18.181818181818183	33.471019999999996
SRR22223253_2	69.84844323215594	50.0	145.9762233717407	151	9.090909090909092	33.471019999999996
SRR22223254_1	69.78323483644449	50.0	146.53715579618716	151	18.181818181818183	21.220820999999997
SRR22223254_2	68.91867944799482	50.0	146.64588363475664	151	9.090909090909092	21.220820999999997
SRR22223255_1	77.45277843664682	51.0	143.5950655662333	151	9.090909090909092	34.584799
SRR22223255_2	75.0350877976154	52.0	144.01403512566316	151	9.090909090909092	34.584799
SRR22223256_1	68.35492573859085	51.0	146.1520480933011	151	9.090909090909092	22.701041
SRR22223256_2	67.10292600117756	52.0	146.3029660181663	151	9.090909090909092	22.701041
SRR22223257_1	69.63534899798881	50.0	145.85810750777432	151	18.181818181818183	21.316969999999998
SRR22223257_2	68.07351995921721	51.0	146.06559952000683	151	9.090909090909092	21.316969999999998
SRR22223258_1	66.72312267719101	51.0	146.01407892561872	151	18.181818181818183	17.538057
SRR22223258_2	65.64545146698266	51.0	146.11752333796156	151	9.090909090909092	17.538057
SRR22223259_1	73.23783069861918	52.0	144.56698651370297	151	18.181818181818183	26.160109
SRR22223259_2	71.35198314358657	52.0	144.80898669038422	151	9.090909090909092	26.160109
SRR22223260_1	72.96908885160559	51.0	144.7875970469861	151	18.181818181818183	27.973048
SRR22223260_2	72.15568825334296	51.0	144.99600776433087	151	9.090909090909092	27.973048
SRR22223261_1	71.65215356638981	50.0	146.43194790809935	151	18.181818181818183	49.016141999999995
SRR22223261_2	69.21621311238555	51.0	146.5962447840142	151	9.090909090909092	49.016141999999995
SRR22223262_1	70.54354574278014	51.0	146.705915896385	151	18.181818181818183	23.134178
SRR22223262_2	69.39743934053334	51.0	146.83848719414192	151	9.090909090909092	23.134178
SRR22223263_1	68.17560230435532	48.0	144.57418774204453	151	18.181818181818183	25.097137999999998
SRR22223263_2	69.53746266031698	49.0	144.8991172220514	151	9.090909090909092	25.097137999999998
SRR22223264_1	70.18347420048349	50.0	145.5325111667653	151	18.181818181818183	20.511983
SRR22223264_2	69.37179310641126	50.0	145.72747101048202	151	9.090909090909092	20.511983
