"Symbol","n_studies","pooled_log2FC","pooled_lfcSE","rem_pvalue","I2","rem_padj","multi_study","is_robust","Confidence_Level"
"SLAMF9",6,0.425307224407185,0.0975922087574123,1.31254057705685e-05,0,0.00477327256523008,TRUE,TRUE,"Medium"
"SERPINB13",4,-0.190698618621293,0.043944699135654,1.42798443479844e-05,0,0.00501204745895003,TRUE,TRUE,"Medium"
"SERPINB4",5,0.621321303987749,0.143184024140063,1.42924257918934e-05,0,0.00501204745895003,TRUE,TRUE,"Medium"
"ELF3",8,0.46918675661351,0.108259445497431,1.46483691445208e-05,24.4325174718907,0.00504674865368595,TRUE,TRUE,"Medium"
"GBP5",5,2.78447479846663,0.646932289020546,1.67650083548089e-05,0,0.00567640058744374,TRUE,TRUE,"High"
"TRPV2",8,0.63932159137125,0.148732877364296,1.71992753248033e-05,10.8608538722435,0.00572473506488961,TRUE,TRUE,"Medium"
"C3AR1",7,1.38147818482316,0.322169867586556,1.80254356806791e-05,0,0.00589972509828628,TRUE,TRUE,"High"
"PLEK",8,0.499078189828804,0.116605642082293,1.86849808053304e-05,0,0.00601533857467341,TRUE,TRUE,"Medium"
"CES1",6,0.901503916899258,0.214611950230487,2.66181385469883e-05,0,0.00843108072235092,TRUE,TRUE,"Medium"
"ACAP1",3,0.675934357435099,0.161425752391427,2.82321052270963e-05,0,0.00880035051507487,TRUE,TRUE,"Medium"
"IL27",4,1.95767064028691,0.47078095551221,3.20558628582658e-05,0,0.00983614116891599,TRUE,TRUE,"High"
"ITGB2",8,0.669043485227232,0.161566493836721,3.45826371119562e-05,0,0.0104482127323784,TRUE,TRUE,"Medium"
"GAS1",7,-0.381867111375633,0.0924815617026642,3.6416039193236e-05,0,0.0108354269344965,TRUE,TRUE,"Medium"
"CCDC127",8,-0.211484814116609,0.0513520779639721,3.81627590909375e-05,0,0.0111856755675796,TRUE,TRUE,"Medium"
"CRCT1",4,0.519498778097642,0.126528393052548,4.02938626811376e-05,0,0.0114832696437363,TRUE,TRUE,"Medium"
"BCLAF1",8,-0.147196908910858,0.0358537610818757,4.03475713116308e-05,0,0.0114832696437363,TRUE,TRUE,"Medium"
"SYTL2",8,0.331688656008018,0.0810280543108918,4.24902933665495e-05,6.6307712444346,0.01192034830189,TRUE,TRUE,"Medium"
"HMGN5",8,-0.484866455377997,0.118663999525628,4.38788500718791e-05,0,0.0119809645003597,TRUE,TRUE,"Medium"
"DOCK10",8,0.662948546324472,0.162257010719998,4.39265426227672e-05,0,0.0119809645003597,TRUE,TRUE,"Medium"
"ITGAL",6,0.585466593857563,0.144258174853056,4.93965691131198e-05,0,0.0132883537567595,TRUE,TRUE,"Medium"
"SIGLEC12",3,2.47789910791723,0.612884743433929,5.2769383326551e-05,13.4722339188904,0.0140038533752271,TRUE,TRUE,"High"
"MSI1",6,0.744485305302303,0.184806197519374,5.61422079686622e-05,0,0.0145545630877126,TRUE,TRUE,"Medium"
"NLRP12",6,-0.567846272849913,0.140985494847147,5.63268558237173e-05,0,0.0145545630877126,TRUE,TRUE,"Medium"
"IGHA1",5,3.83583346302114,0.9533999457001,5.73833437279799e-05,0,0.0146349883653256,TRUE,TRUE,"High"
"CSF2RB",6,0.665882173274763,0.165743119481733,5.88050001887814e-05,0,0.0146930183714532,TRUE,TRUE,"Medium"
"MAB21L1",4,-0.747559690967253,0.186129269537885,5.91072640464814e-05,0,0.0146930183714532,TRUE,TRUE,"Medium"
"KRTAP19-1",3,-1.40842286354935,0.352625482014019,6.49393448864014e-05,0,0.0159409856859894,TRUE,TRUE,"High"
"HIRA",8,0.270211756479013,0.0678290721727527,6.78459625422719e-05,0,0.0164488766963597,TRUE,TRUE,"Medium"
"BNC1",7,-0.235598100036585,0.059349799184964,7.19774191581522e-05,0,0.0172377141149731,TRUE,TRUE,"Medium"
"STXBP4",8,-0.386504986271674,0.097932680261631,7.92557453807521e-05,0,0.0185925462217008,TRUE,TRUE,"Medium"
"UTP20",8,0.17653049287722,0.0447386353746661,7.9528153713355e-05,6.6160823737802,0.0185925462217008,TRUE,TRUE,"Medium"
"HOXA9",8,-0.237559636947288,0.0603183849567612,8.20170801091913e-05,0,0.0187357640484862,TRUE,TRUE,"Medium"
"POFUT2",8,-0.21132333318029,0.0536580343712427,8.20488699546704e-05,0,0.0187357640484862,TRUE,TRUE,"Medium"
"EPO",8,1.20031409784696,0.305814045742154,8.67368443596645e-05,0,0.0195785994199436,TRUE,TRUE,"High"
"TSPYL1",8,-0.10204905556949,0.0260506994134865,8.95370077863672e-05,24.8274039213593,0.0199809972603259,TRUE,TRUE,"Medium"
"PLP2",8,-0.152197945652557,0.0389542868542582,9.34139585730922e-05,5.00388709371028,0.0205261305993745,TRUE,TRUE,"Medium"
"ZIC2",7,-0.210253961797899,0.0539132608842589,9.62498589311719e-05,0,0.0205261305993745,TRUE,TRUE,"Medium"
"RPP14",8,0.148758999095962,0.0381546280264236,9.66524248250824e-05,0,0.0205261305993745,TRUE,TRUE,"Medium"
"MFAP5",7,0.448124352700297,0.114975915315156,9.71708550209403e-05,0,0.0205261305993745,TRUE,TRUE,"Medium"
"LCP2",7,0.522044038010026,0.13394460115925,9.72059347052565e-05,0,0.0205261305993745,TRUE,TRUE,"Medium"
"CALML3",4,-0.332189871657069,0.0854715097325163,0.00010167617207973,0,0.0212416666734228,TRUE,TRUE,"Medium"
"APBB1IP",6,0.419028010786537,0.109204994129452,0.000124507258404244,0,0.0254695160473182,TRUE,TRUE,"Medium"
"KIAA0907",8,-0.214712301349494,0.0565099030309898,0.000144958037200045,11.7081526171508,0.0293472776756132,TRUE,TRUE,"Medium"
"PGA3",4,-2.74376008792766,0.724849299857838,0.000153533454552643,0,0.0304210855693397,TRUE,TRUE,"High"
"NAP1L5",7,-0.443059519106643,0.117092711053173,0.000154430113187567,0,0.0304210855693397,TRUE,TRUE,"Medium"
"SPRR2D",4,0.564656256786614,0.149258957970558,0.000154909285921884,0,0.0304210855693397,TRUE,TRUE,"Medium"
"CCR1",4,1.00396897785589,0.266802370101101,0.000167908198117907,14.7950295180835,0.0326473385607867,TRUE,TRUE,"High"
"KCNK3",7,0.86869702737113,0.231471280574793,0.000174775109309231,0,0.0336396199127511,TRUE,TRUE,"Medium"
"PCCA",8,-0.335674937240029,0.0894998659799266,0.000176437562430663,0,0.0336396199127511,TRUE,TRUE,"Medium"
"FERMT3",7,0.377610845975414,0.100932672038721,0.000183132630001289,0,0.034580371038128,TRUE,TRUE,"Medium"
"SP6",5,-0.902245774334659,0.241921826095441,0.000191865381455039,0,0.0357717690919869,TRUE,TRUE,"Medium"
"IVL",6,0.666251048205983,0.17872040803801,0.000193085218645005,11.5907543129609,0.0357717690919869,TRUE,TRUE,"Medium"
"KLK1",7,1.04787506092007,0.281513131899757,0.000197419795335559,0,0.0361193591497184,TRUE,TRUE,"High"
"TCEAL3",6,-0.298266760193239,0.0801632917123673,0.000198639921996618,0,0.0361193591497184,TRUE,TRUE,"Medium"
"NDUFC1",8,0.405423935571851,0.109172532769915,0.000204325618956444,0,0.0368123532574923,TRUE,TRUE,"Medium"
"PNPT1",7,0.381244499317459,0.103791332875668,0.000239548343931522,0,0.0425741868243613,TRUE,TRUE,"Medium"
"APOL3",7,0.874379622165392,0.238119619776373,0.000240642363657405,0.626107048472062,0.0425741868243613,TRUE,TRUE,"Medium"
"IPO11",8,0.133161220822948,0.0364367663397868,0.000257599383785177,0,0.045167291953333,TRUE,TRUE,"Medium"
"GBP2",7,1.28656527243878,0.352702601062569,0.000264563319858819,21.3897600741127,0.0459778272158184,TRUE,TRUE,"High"
"HSD11B1",5,0.590812802762486,0.162736492778408,0.000282886405925829,0,0.0486423594490904,TRUE,TRUE,"Medium"
"AC004556.1",5,0.75964246093218,0.209342726363988,0.000284849339884174,0,0.0486423594490904,TRUE,TRUE,"Medium"
"CHCHD2",8,-0.811942387653129,0.224241507745549,0.000293649259229612,98.6323025354626,0.0497127944202683,TRUE,TRUE,"Medium"
