Symbol,n_studies,pooled_log2FC,pooled_lfcSE,rem_pvalue,I2,rem_padj,multi_study,is_robust,Confidence_Level
NAP1L5,7,-0.443059519,0.117092711,0.00015443,0,0.030421086,TRUE,TRUE,Medium
SPRR2D,4,0.564656257,0.149258958,0.000154909,0,0.030421086,TRUE,TRUE,Medium
CCR1,4,1.003968978,0.26680237,0.000167908,14.79502952,0.032647339,TRUE,TRUE,High
KCNK3,7,0.868697027,0.231471281,0.000174775,0,0.03363962,TRUE,TRUE,Medium
PCCA,8,-0.335674937,0.089499866,0.000176438,0,0.03363962,TRUE,TRUE,Medium
FERMT3,7,0.377610846,0.100932672,0.000183133,0,0.034580371,TRUE,TRUE,Medium
SP6,5,-0.902245774,0.241921826,0.000191865,0,0.035771769,TRUE,TRUE,Medium
IVL,6,0.666251048,0.178720408,0.000193085,11.59075431,0.035771769,TRUE,TRUE,Medium
KLK1,7,1.047875061,0.281513132,0.00019742,0,0.036119359,TRUE,TRUE,High
TCEAL3,6,-0.29826676,0.080163292,0.00019864,0,0.036119359,TRUE,TRUE,Medium
NDUFC1,8,0.405423936,0.109172533,0.000204326,0,0.036812353,TRUE,TRUE,Medium
PNPT1,7,0.381244499,0.103791333,0.000239548,0,0.042574187,TRUE,TRUE,Medium
APOL3,7,0.874379622,0.23811962,0.000240642,0.626107048,0.042574187,TRUE,TRUE,Medium
IPO11,8,0.133161221,0.036436766,0.000257599,0,0.045167292,TRUE,TRUE,Medium
GBP2,7,1.286565272,0.352702601,0.000264563,21.38976007,0.045977827,TRUE,TRUE,High
HSD11B1,5,0.590812803,0.162736493,0.000282886,0,0.048642359,TRUE,TRUE,Medium
AC004556.1,5,0.759642461,0.209342726,0.000284849,0,0.048642359,TRUE,TRUE,Medium
CHCHD2,8,-0.811942388,0.224241508,0.000293649,98.63230254,0.049712794,TRUE,TRUE,Medium
PIAS2,8,-0.229565524,0.063565486,0.000304454,4.95782604,0.051101395,TRUE,TRUE,NS
QSOX2,8,-0.121433543,0.033647888,0.000307439,0,0.051165123,TRUE,TRUE,NS
SIX6,4,-2.592064246,0.72475301,0.000348253,0,0.057470471,TRUE,TRUE,NS
WNT7A,7,-0.20028813,0.056105313,0.000357172,0,0.058451143,TRUE,TRUE,NS
MAP1LC3B,8,0.117866597,0.033150445,0.000377253,3.986299375,0.061227192,TRUE,TRUE,NS
DUSP22,8,-0.171401714,0.048256704,0.000382499,0,0.061569722,TRUE,TRUE,NS
CLEC11A,5,1.270258322,0.358874379,0.000400791,0,0.063060385,TRUE,TRUE,NS
SRSF2,8,-0.1017653,0.028751927,0.000400999,6.823421633,0.063060385,TRUE,TRUE,NS
PWP2,8,0.227644943,0.064330481,0.000402134,0,0.063060385,TRUE,TRUE,NS
TMEM229B,8,1.191094984,0.336746933,0.000404604,0,0.063060385,TRUE,TRUE,NS
IL13RA2,5,0.704252269,0.199374397,0.000411945,21.42811816,0.063699088,TRUE,TRUE,NS
GPR34,2,-1.875355305,0.531242647,0.000415356,0,0.063724759,TRUE,FALSE,NS
MAD1L1,8,0.232229922,0.065872657,0.000422784,0,0.064361532,TRUE,TRUE,NS
ZSWIM6,8,0.168059616,0.047778804,0.000435712,0,0.065819362,TRUE,TRUE,NS
ZFP62,8,-0.130411972,0.037207957,0.000456696,0,0.068462521,TRUE,TRUE,NS
SPIN4,8,-0.209588257,0.060100658,0.000487947,3.215593349,0.072593203,TRUE,TRUE,NS
ZNF280C,8,-0.246339316,0.070719686,0.000495236,2.597695123,0.073110483,TRUE,TRUE,NS
PSG5,6,0.187258909,0.05379108,0.000499124,0.879493115,0.073110483,TRUE,TRUE,NS
