"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927","SRR26260934","SRR26260935","SRR26260936","SRR26260937","SRR26260938","SRR26260939","SRR26260940","SRR26260941","SRR26260942","SRR26260943","SRR26260944","SRR26260945","SRR26260946","SRR26260947","SRR26260948","SRR26260949","SRR26260950","SRR26260951","SRR26260989","SRR26260990","SRR26260991","SRR26260992","SRR26260993","SRR26260994","SRR26260995","SRR26260996","SRR26260997","SRR26260998","SRR26260999","SRR26261000","SRR26261001","SRR26261002","SRR26261003","SRR26261004","SRR26261005","SRR26261006"
0,0,0,0,0,0,0,0,0,0.640275,0,0,0,0,0,0,0,0,0.275378,0,0,0.417334,0.418535,0,0,0,0.488825,0,0,0,0,0,0,0,0,0,0.448605,0.150861,0.063137,0,0,0,0.329546,0,0
112.1601,125.086461,134.258675,76.06871,122.55041,124.845222,84.219664,90.414743,85.87063,6.449254,27.123239,42.897852,46.527579,18.540563,43.846619,100.691537,48.958098,51.916182,54.43374,55.122388,51.078192,56.835189,65.50412,40.601356,36.120555,102.574433,103.159065,28.350808,7.834418,31.109213,6.552205,28.288726,55.151526,55.373627,41.711527,48.489428,51.510799,34.84962,56.396589,38.0795,49.036908,50.940747,48.736388,36.073645,56.553649
1.492191,0.997533,0.374624,0.522413,0.154892,0.18005,0.176577,0.093123,0.102679,21.368307,16.900104,8.611403,8.136031,7.785552,0.62857,1.420044,1.052877,0.723389,0.162458,0.082485,0.508391,0.251027,0.314692,0.498179,0.045938,33.108972,0.221967,13.28925,23.104979,8.578619,6.329243,9.115299,0.358373,0.323203,0.267374,0.254186,0.324044,0.272933,0.193738,0.197243,0.252662,0.036101,0.408251,0.36011,15.839622
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832912,0,1.374835,2.5346,0,0,0,0,0,0,0,0,0,0,0.105552,0,0,0,0,0
0,0,0,0,0,0,0,0,0,7.868917,5.727743,5.950543,6.258101,5.659467,1.509276,0.625314,1.228218,0.842383,3.345905,0,0,0.576704,0.214853,1.194917,0,5.182552,1.002744,5.325723,5.554961,6.790494,0,8.066129,0.576545,0.579356,0.649883,0.558026,0.604039,0.339179,0,0,0.111028,0,0.692097,0.722678,0
0.095286,0.376017,0.21052,0,0.027797,0.038656,0,0.018537,0.018427,25.959469,28.475529,16.376738,24.162345,17.604536,1.540937,0.658254,0.990951,0.783137,1.391306,1.21309,0.861685,0.948237,0.554957,1.055915,0.836733,26.640902,1.549444,19.388482,18.640332,6.493015,15.315957,6.745079,1.059195,0.581889,0.731524,0.567707,0.568851,0.733194,0.56367,0.516402,0.641501,0.694178,0.742737,0.764991,11.546015
0.172781,0.645765,0.678014,0.387127,0.364383,0.642108,0.284361,0.442041,0.501288,2.050267,2.937298,2.485784,2.569633,3.639549,2.797909,5.731983,2.324886,2.298058,1.226077,1.864795,1.71928,5.628166,3.856904,2.594663,2.224768,1.682243,5.882574,2.057953,2.421454,3.260958,3.165147,2.843417,3.382343,1.53292,2.080923,1.883951,3.147452,2.055294,2.822322,4.283136,4.190348,4.142156,2.401559,2.895918,1.453739
2.12251,2.353891,2.77944,0.359881,0.184283,0.116465,0.217616,0.120774,0.111021,46.186361,62.941021,73.391919,73.082948,71.948366,9.971458,7.747753,10.391179,13.893588,10.748476,6.133968,7.975799,8.352108,9.940481,9.707478,2.444043,67.857408,9.299323,53.300444,41.622732,67.127183,76.305707,67.333729,10.749428,9.806963,12.171484,10.618657,10.877521,12.876403,6.565983,7.738027,8.212857,7.568426,9.029442,6.570129,48.84579
7.74028,4.311486,2.388339,0.409609,0.579408,0,0.073063,0.04279,0.21081,35.692177,56.057688,35.199371,53.598899,39.390592,0.123218,0,0,0,0.477185,0.129253,0.132134,0.218556,2.536071,0.137095,0,40.400792,0,56.81919,48.966837,33.665948,75.510308,74.048888,0,0.67782,0.882199,0.717023,0.477565,0.043012,0.162638,0.38086,0.173981,0.813513,0.153765,2.272392,52.100466
0.075676,0.083005,0.104587,0.077279,0.022132,0.046093,0.150872,0.319727,0.139139,1.143986,1.263261,1.333754,1.752649,1.399029,2.587672,0.70264,1.048296,0.815649,1.539452,0.578281,2.582574,1.7368,2.522376,2.28585,1.831088,1.593998,2.031512,2.262562,3.122653,0.957149,2.27934,6.8769,1.040894,1.207948,0.969737,0.906675,0.638972,0.639399,2.478254,3.724993,2.372093,2.086777,2.135644,2.073159,1.815251
