"DRR456169","DRR456170","DRR456171","DRR456172","DRR456173","DRR456174","DRR456175","DRR456176","DRR456177","DRR456178","DRR456179","DRR456180","DRR456181","DRR456182","DRR456183","DRR456184","DRR456185","DRR456186"
20.779654,20.16309,15.35821,26.787243,23.294294,24.880552,20.960898,22.902507,22.218328,30.236495,33.140571,35.837286,26.326087,23.094243,29.479364,35.755752,33.36141,27.419077
23.786442,34.77943,29.872117,30.634873,34.031852,36.09082,26.009449,32.042567,27.651557,22.519947,18.773277,12.464432,22.16175,22.810764,20.906583,20.702027,21.988859,18.007113
53.488114,63.788351,53.811982,56.037713,61.792337,58.999235,52.118315,64.665763,57.923265,51.775391,46.261827,41.927136,70.476311,58.537228,59.587068,64.798684,50.055235,57.197723
0,0,0,0,0,0,0,0.038905,0,1.186001,1.106559,0.287647,1.080478,0.688487,1.566373,0.821377,0.811193,1.06355
6.157575,7.708047,5.350018,6.615626,6.360248,8.144798,6.454147,6.86034,6.020724,8.429491,7.784693,7.459194,8.247016,7.136694,6.501369,4.760697,7.253387,4.677546
51.907624,45.690594,25.452055,50.080342,50.301315,45.942761,60.24286,54.702051,46.470957,38.028522,45.01334,26.349012,38.307406,25.315678,39.305481,37.765771,42.94134,45.577444
0.687136,1.121725,0.913874,1.60769,1.559348,1.254309,0.958624,1.337488,2.38687,0.969549,0.982725,0.60954,1.069109,0.37111,0.438874,1.330824,0.457696,2.636428
2.73768,2.727547,3.159699,1.50722,3.188961,1.098414,3.310402,4.929668,1.232092,10.563723,9.807027,8.233984,5.552732,5.091629,7.370348,6.471807,12.792525,12.049673
0.25495,0.244328,0.146533,0.19269,0.202357,0.221303,0.13065,0.18306,0.135595,0.464495,0.443123,0.252662,0.609065,0.319095,0.563628,0.335727,0.428099,0.545966
37.979074,39.490023,41.64867,51.183489,59.235649,49.169203,48.369106,48.296651,49.792432,33.849573,32.26554,25.904062,31.41546,40.905392,30.489435,28.995697,30.410978,32.756757
0,0,0,0,0,0,0,0,0.042837,0.080783,0.041409,0,0,0.040251,0,0,0,0
