"SRR27961772","SRR27961773","SRR27961774","SRR27961775","SRR27961776","SRR27961777","SRR27961778","SRR27961779","SRR27961780","SRR27961781","SRR27961782","SRR27961783","SRR27961784","SRR27961785","SRR27961786","SRR27961787","SRR27961788","SRR27961789","SRR27961790","SRR27961791","SRR27961792","SRR27961793","SRR27961794","SRR27961795","SRR27961796","SRR27961797","SRR27961798"
7.40078,8.217032,8.337869,8.897673,10.1046,10.859865,12.984945,14.803775,10.972338,6.79518,7.213177,9.311968,7.114041,7.662205,8.075375,10.952955,13.002416,13.378247,6.907457,7.486595,8.350798,10.210655,11.463751,11.296512,11.518981,12.161214,10.579259
0,0,0,0,0,0,0,0.110553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229441,1.193486,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.152348,0,0,0.090914,0.150741,0,0,0,0,0,0,0,0,0.166721,0,0,0,0.040838,0,0,0
4.293778,2.477127,1.95971,0.789531,0.746764,0.494428,0,0,0,1.011275,1.511879,0,0,0.412581,0,1.003994,0,0,0,1.309842,0.839056,0.78604,0,0,1.005613,0,0
12.482463,8.663553,7.009855,9.045423,7.954165,8.209723,10.020561,6.453871,10.722374,6.113653,11.357013,3.021692,2.295154,11.729499,10.471026,6.436044,11.167048,2.286586,4.96311,2.92904,8.316525,5.728564,11.758463,11.599275,6.532712,10.471355,4.926195
5.587408,7.466468,8.247436,8.145738,6.236302,4.510451,6.800418,8.232024,5.173436,6.936495,5.14525,7.707829,4.788894,5.390589,5.098715,6.88394,5.707846,8.22413,6.336784,4.241982,6.099722,6.692849,6.618791,8.301282,9.767183,6.264456,5.394986
35.49455,26.690688,24.542812,16.638465,23.473898,34.188836,23.934453,26.330098,15.578254,40.230308,33.088067,46.382703,28.229032,34.163819,30.2767,21.289848,27.723226,17.955423,47.219313,25.699767,39.492159,35.973718,21.384803,29.043424,27.224087,23.738299,27.559447
18.35115,15.081716,19.928231,21.254727,21.043298,20.164881,21.514282,18.010618,11.898306,21.148678,12.91459,18.296167,20.585982,19.712201,17.256822,16.426177,24.922038,17.929636,22.292599,19.422985,24.043213,23.193335,18.564858,21.69372,18.736186,19.508353,16.778416
1.450559,0.342612,1.101351,2.139406,0.160117,0.80472,2.304472,2.478369,0.169972,0.593025,0.6438,3.273123,0.382415,0.295647,1.731543,1.827367,1.781615,0.402741,0.729133,2.115625,3.991349,0.333567,0.941783,0.130361,0.716591,6.236651,1.006035
0.125363,0.036651,0.045586,0.040038,0.101374,0.076352,0.106077,0.039029,0.160601,0.043289,0.044587,1.657462,0.13193,0,0.143666,0.20028,0.165337,0.042749,0.104293,0.097837,0.261199,0,0.051995,0.049473,0,0.20115,0.438499
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07239,0,0.102586,0,0,0,0
17.802387,9.649527,9.94431,8.377079,10.215777,13.518873,15.504245,12.02698,10.30949,13.947843,10.058771,19.038053,5.587322,12.97392,11.279008,7.589395,8.769222,14.652939,8.779464,13.690142,5.999384,12.909863,12.279226,11.187619,11.451569,6.184477,14.105943
0.51936,0.110901,0.216903,0.426251,0.753764,0.89927,0.266855,0.404832,0.357128,0,0.241639,0,0.168784,0,0,0.35644,0.893808,0.156191,0,0.413351,0,0,0,0.205416,0.34102,0,0.473413
25.499215,14.778287,27.518522,21.362106,15.309023,17.455407,25.178716,23.532904,19.064182,17.539621,16.226573,14.046551,15.08609,18.226095,18.565655,24.882109,29.0233,27.527204,16.452787,19.483634,13.367945,18.768926,17.87367,18.54985,21.164214,23.277344,23.416566
1.604247,1.095199,1.105435,1.477702,1.700319,1.873464,1.512118,1.806845,1.853166,1.087506,2.129356,1.683245,1.972152,1.991987,2.86722,0.689245,0.907479,1.570164,1.787514,2.492398,1.403574,1.606506,1.115584,1.793534,2.382479,2.108453,1.525323
0.142317,0,0,0,0,0,0,0,0,0,0,0,0.288843,0,0.666042,0.271916,0.270013,1.630902,0.261462,0,0,0,0,0,0,0,0.113484
0.492359,0.398316,0.543349,0.347037,0.493947,0.444389,0.465024,0.49218,0.58278,0.506561,0.835221,0.373973,0.320444,0.622844,0.546907,0.508795,0.420099,0.452059,0.468885,0.54822,0.9706,0.371533,0.375697,0.481161,0.344071,0.373886,0.503235
11.686655,11.161235,8.671808,7.907964,9.273901,7.299032,5.288562,6.838437,4.943782,17.968473,17.263306,20.865366,11.587998,9.863609,9.084664,7.317848,5.447285,7.028573,11.807363,12.543596,11.41588,10.03561,8.887106,6.23985,6.179574,4.753835,7.025269
0,0,0,0,0,0,0,0,0,0,0.031142,0.041087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
