"SRR26260919","SRR26260920","SRR26260921","SRR26260922","SRR26260923","SRR26260924","SRR26260925","SRR26260926","SRR26260927"
0.565651,1.569376,0.832126,3.250212,2.912693,1.410459,7.473603,7.731492,4.644632
1.056592,2.876693,1.918681,9.093076,11.896502,8.948119,18.793332,16.554851,16.134207
0,0,0,0,0,0.512929,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0.136401,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
33.739791,20.405685,26.204458,31.353001,10.207954,12.679338,14.267632,13.318537,13.953526
0,0,0,0.913488,0.849921,1.413441,1.005283,1.360125,0.192967
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.238181
40.068812,42.799387,54.459304,219.405031,258.005874,319.73505,294.618196,282.269461,290.522023
163.11527,444.341517,349.403126,599.713641,481.448772,949.151455,845.544889,636.81344,1215.817359
0,0,0,0,0.017039,0.071567,0.039535,0.082572,0.092052
2.010903,3.274135,5.141176,6.042874,2.106369,2.572473,6.799532,2.037785,1.712683
0,0,0,0,0,0,0,0,0
0.419814,0.214586,0.31437,0.14928,0.195397,0.213551,0.134773,0.104919,0.124165
0,0.074494,0.375267,0.116671,0.049641,0,0.034135,0,0.033156
0.115374,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0.182194,0.682447,0.983722,3.485825,0.681513,3.151572,0,0
0,0,0,0,0,0,0,0,0
3.792508,2.770456,2.403903,1.688846,1.267732,1.110406,1.036149,1.229106,0.787245
0,0,0.029874,0.013546,0,0,0.030153,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.111533
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
25.852722,38.648986,65.672749,0,11.963454,4.906298,10.427119,10.468803,8.581942
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.178513
0,0,0,0,0,0,0,0,0
0.194601,0,0,0.052989,0.022725,0.078971,0.031042,0.030296,0.030113
0,0,0,0,0,0,0,0,0
0.156515,0.045787,0.038465,0.331529,0.132252,0.13418,0.034678,0.189622,0.067314
5.249966,6.268894,5.825437,22.133143,20.061881,21.008367,21.803798,20.085243,22.724369
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
2.746669,0,1.835278,0,0,0,0,0,0
0,0.074667,0,0,0,0,0,0,0
0.298033,0.15883,0.105966,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0.712216,0,0,0,0.086224,0,0,0.217701,0
0,0,0,0,0,0,0,0,0
0.151648,0.132697,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
5.416486,0,14.960232,4.172856,0,3.699246,2.422324,1.515049,4.02057
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
6.630734,8.274309,8.35821,1.571594,2.933647,1.846511,2.08028,2.189593,2.404896
0.483569,1.88241,0.162507,0.235688,0.087824,0.135888,0.253811,0.164501,0.06611
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
14.020889,12.30509,12.824513,0.873565,1.014661,1.459453,1.280523,1.22363,1.416334
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0.32032,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
1.41055,4.449013,7.025988,2.077621,3.204065,0.5823,1.203017,1.253137,1.951948
0,0,2.785717,2.914664,0,0.254181,0.183482,6.665837,0.102337
0.172423,0.64567,1.859672,3.060511,1.78973,1.466323,1.73384,2.087377,2.152203
29.789636,32.891097,23.994277,34.95224,31.857597,31.164526,43.089822,37.303804,39.969468
2.972573,6.856657,8.187765,1.886249,1.09398,1.305078,1.138766,0.722374,0.754308
0.454105,0.1853,0.172452,0.461741,0.239983,0.269011,0.324803,0.114798,0.212205
0,0,0,0,0,0,0,0,0
0,3.833581,3.298481,2.075423,2.496563,4.322981,2.523327,2.70826,1.660715
