"SYMBOL","GENENAME","GENEBIOTYPE","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABT1","ABT1","protein_coding",352.675319819885,0.11224870388019,2.61498431846418,0.0429251919744268,0.965761166963298,0.988853524939371
"ABTB1","ABTB1","protein_coding",5547.44714611603,-0.333126116624786,0.185559754394831,-1.79524982511006,0.0726139052641538,0.286738804432608
"ABTB2","ABTB2","protein_coding",58.4950396249268,3.67805958923659,1.22543465653155,3.00143265055594,0.00268712473729614,0.0342763478504571
"AC002310.11","AC002310.11","protein_coding",4.92557051131094,1.23198680654758,2.85435661743984,0.431616287544541,0.666020318652642,NA
"AC002398.9","AC002398.9","protein_coding",3.82889805328369,-0.846999383406572,1.21491364737711,-0.697168383312811,0.485697422702752,NA
"AC002985.3","AC002985.3","protein_coding",3.59559865871543,4.94153938050549,1.82548010955607,2.70698067573424,0.00678982095210299,NA
"AC003002.4","AC003002.4","protein_coding",0.165896956980011,0.941273251668437,3.80725452645997,0.24723150110577,0.804729067489121,NA
"AC003002.6","AC003002.6","protein_coding",0,NA,NA,NA,NA,NA
"AC003005.4","AC003005.4","protein_coding",7.6630814891379,0.410333464669072,1.43174139689607,0.286597471833007,0.774420550449936,0.917412809390692
"AC003006.7","AC003006.7","protein_coding",0,NA,NA,NA,NA,NA
"AC004076.7","AC004076.7","protein_coding",9.07688356594126,-2.22930448247264,1.37567283067941,-1.62051937986712,0.105120754731181,0.348942806343345
"AC004076.9","AC004076.9","protein_coding",0,NA,NA,NA,NA,NA
"AC004231.7","AC004231.7","protein_coding",0,NA,NA,NA,NA,NA
"AC004381.6","AC004381.6","protein_coding",17.3638086198092,0.0127825907012635,0.995200370286955,0.0128442382889968,0.98975206234937,0.996358593306622
"AC004556.1","AC004556.1","protein_coding",94.0779177015801,-6.37612837492378,2.41276428141795,-2.64266527154349,NA,NA
"AC004754.3","AC004754.3","protein_coding",1.85199071981335,-0.910905451931815,3.17064739220849,-0.287293205220569,0.773887824920012,NA
"AC004893.11","AC004893.11","antisense",671.735035076347,-0.209831545743869,0.20178506792586,-1.03987647798085,0.298397291938201,0.60686747108216
"AC005281.1","AC005281.1","protein_coding",0,NA,NA,NA,NA,NA
"AC005943.2","AC005943.2","protein_coding",80.9919356115625,1.61611472626179,0.727291652200646,2.22209992562369,0.0262765533099269,0.154282150287723
"AC006116.20","AC006116.20","protein_coding",1.05487896040929,-0.49198775189898,2.81439411511207,-0.174811249518048,0.861227948615545,NA
"AC006153.3","AC006153.3","unprocessed_pseudogene",0,NA,NA,NA,NA,NA
"AC006449.1","AC006449.1","protein_coding",0,NA,NA,NA,NA,NA
"AC006486.9","AC006486.9","protein_coding",54.9539190992902,0.302313206184094,1.10570748105569,0.273411558991584,0.784536868385148,0.921299047904257
"AC006538.4","AC006538.4","protein_coding",90.5101663966428,0.234356119289822,0.434299862818233,0.539618220851031,0.589460348213033,0.822637181514072
"AC007040.11","AC007040.11","protein_coding",3.86909166730425,-0.129998108960635,1.03555863776911,-0.125534280937184,0.900100587423162,NA
"AC007192.4","AC007192.4","protein_coding",989.289014537883,0.686125174940123,0.315252956847826,2.17642740547337,0.0295233164171848,0.167127069042605
"AC007325.1","AC007325.1","protein_coding",0,NA,NA,NA,NA,NA
"AC007325.2","AC007325.2","protein_coding",0,NA,NA,NA,NA,NA
"AC007325.4","AC007325.4","protein_coding",42.7519193551089,-0.38199968288784,0.694183171811039,-0.550286579104547,0.582122827983639,0.817852835335027
"AC007405.6","AC007405.6","lincRNA",0,NA,NA,NA,NA,NA
"AC009014.3","AC009014.3","protein_coding",0,NA,NA,NA,NA,NA
"AC009133.22","AC009133.22","protein_coding",33.7238948028199,-2.1670537042202,1.08164524936755,-2.00347914945986,0.0451258834052311,0.218388073975808
"AC009133.23","AC009133.23","protein_coding",68.3232468738587,-0.371320629686115,1.65580796061781,-0.22425343911716,0.822560103739818,0.935799877035894
"AC009286.1","AC009286.1","IG_V_gene",0.988584890529603,3.10088289934531,3.71681169768423,0.834285713553183,0.404120000449279,NA
"AC009950.1","AC009950.1","protein_coding",148.799083682889,1.7373947031504,0.518896177421693,3.34825111216509,0.000813232890115804,0.0153567500384256
"AC010547.9","AC010547.9","protein_coding",17.8944230063637,0.481719812154973,1.1989063118466,0.401799379480295,0.687831678861492,0.879042718151671
"AC010646.3","AC010646.3","protein_coding",0,NA,NA,NA,NA,NA
"AC010731.4","AC010731.4","protein_coding",0,NA,NA,NA,NA,NA
"AC011043.1","AC011043.1","protein_coding",3.2690257880396,0.102869769325638,1.70980814101087,0.0601645101916635,0.952024611252738,NA
"AC011295.1","AC011295.1","protein_coding",0.1098427656144,0.447365564335066,3.81693852603351,0.117205336497772,0.906697338154832,NA
"AC011513.3","AC011513.3","protein_coding",0,NA,NA,NA,NA,NA
"AC011530.4","AC011530.4","protein_coding",1.88587936501264,1.82169918986758,1.95624555511375,0.931222149032134,0.351738662901574,NA
"AC012314.3","AC012314.3","protein_coding",579.34532868468,0.326075747773471,0.20425519744062,1.59641346638568,0.110396511542379,0.357954039988258
"AC012314.4","AC012314.4","protein_coding",24576.2100683961,0.00293586999471006,0.36703034345371,0.00799898440843851,0.993617801897973,0.997389701198089
"AC013264.1","AC013264.1","protein_coding",7599.24919542399,0.0322807973293089,0.0701937550113733,0.459881328817336,0.645601402696036,0.85556038806343
"AC013461.1","AC013461.1","protein_coding",2318.47338896794,-0.470766989237119,0.286824107345635,-1.64130900151229,0.100733288497526,0.340089644650266
"AC015688.3","AC015688.3","protein_coding",0.624452057542083,0.512389210201253,3.73660198118947,0.137127050935766,0.890930370881104,NA
"AC020594.5","AC020594.5","antisense",25.1924819804136,0.491378135178451,0.556907592806541,0.88233333774845,0.377596573294989,0.678215764527001
"AC023283.1","AC023283.1","protein_coding",0,NA,NA,NA,NA,NA
"AC023491.2","AC023491.2","protein_coding",0,NA,NA,NA,NA,NA
"AC023908.1","AC023908.1","protein_coding",0.602825682970608,-1.88318178045468,3.73912868765509,-0.503641874288011,0.614513061138774,NA
"AC024592.12","AC024592.12","protein_coding",0.701955904128985,-0.549629180911462,3.71721496631234,-0.147860477775037,0.882452879454547,NA
"AC025263.3","AC025263.3","protein_coding",0.277621492626723,-2.10836308629832,3.77078139196129,-0.559131614151119,0.576071900341389,NA
