SYMBOL,GENENAME,GENEBIOTYPE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC004076.9,AC004076.9,protein_coding,5.153804291,-1.424216738,1.53342921,-0.928778928,0.353003667,0.95872082
AC004231.7,AC004231.7,protein_coding,4317.519867,-0.076378767,0.060386286,-1.2648363,0.205930016,0.878383418
AC004381.6,AC004381.6,protein_coding,667.6884569,-0.225561554,0.13930087,-1.619240099,0.105395613,0.72443471
AC004556.1,AC004556.1,protein_coding,9.070550999,1.459648201,1.285312037,1.13563723,0.256108421,0.90964383
AC004754.3,AC004754.3,protein_coding,1.729095074,0.718552003,3.037706982,0.236544212,0.813010405,NA
AC004893.11,AC004893.11,antisense,24.65878531,-0.342463588,0.524541951,-0.652881219,0.513832858,0.995086483
AC005281.1,AC005281.1,protein_coding,3.546634861,-1.701751951,1.502525801,-1.132594163,0.257384721,NA
AC005943.2,AC005943.2,protein_coding,263.0489271,0.144834887,0.242462092,0.597350645,0.550273298,0.997447198
AC006116.20,AC006116.20,protein_coding,0,NA,NA,NA,NA,NA
AC006153.3,AC006153.3,unprocessed_pseudogene,0.491550942,0.856857206,4.043496931,0.211909944,0.832177293,NA
AC006449.1,AC006449.1,protein_coding,0,NA,NA,NA,NA,NA
AC006486.9,AC006486.9,protein_coding,128.246947,-0.229724893,0.274445341,-0.837051532,0.402563603,0.972926098
AC006538.4,AC006538.4,protein_coding,12.82484759,-1.398616132,0.983378059,-1.422256801,0.154951715,0.812370115
AC007040.11,AC007040.11,protein_coding,98.49824631,0.357138991,0.468014354,0.763094099,0.445407279,0.983873594
AC007192.4,AC007192.4,protein_coding,76.19063956,0.218479107,0.499606065,0.437302751,0.661891801,0.997447198
AC007325.1,AC007325.1,protein_coding,0,NA,NA,NA,NA,NA
AC007325.2,AC007325.2,protein_coding,6.086360109,1.080161178,1.395593151,0.773979993,0.438942623,0.982651141
AC007325.4,AC007325.4,protein_coding,179.9431863,0.121004097,0.208550904,0.580213727,0.561770498,0.997447198
AC007405.6,AC007405.6,lincRNA,1.224558248,-2.530649871,3.196801536,-0.791619324,0.428582676,NA
AC009014.3,AC009014.3,protein_coding,0,NA,NA,NA,NA,NA
AC009133.22,AC009133.22,protein_coding,154.9804066,0.16891784,0.360568003,0.468477065,0.639443469,0.997447198
AC009133.23,AC009133.23,protein_coding,4.971950501,-1.463377742,2.457985837,-0.595356458,0.551605224,0.997447198
AC009286.1,AC009286.1,IG_V_gene,0,NA,NA,NA,NA,NA
AC009950.1,AC009950.1,protein_coding,1.695388432,4.213267477,3.53008857,1.193530245,0.232661774,NA
AC010547.9,AC010547.9,protein_coding,10.76237259,0.361832363,1.022619637,0.353828882,0.723467127,0.997447198
AC010646.3,AC010646.3,protein_coding,0.344784778,-1.889536204,4.033463466,-0.468464936,0.63945214,NA
AC010731.4,AC010731.4,protein_coding,0,NA,NA,NA,NA,NA
AC011043.1,AC011043.1,protein_coding,6.91329298,0.579879668,0.9955512,0.582470965,0.560249494,0.997447198
AC011295.1,AC011295.1,protein_coding,15.0643431,0.20853375,0.668566081,0.31191195,0.755107441,0.997447198
AC011513.3,AC011513.3,protein_coding,0,NA,NA,NA,NA,NA
AC011530.4,AC011530.4,protein_coding,7.625228352,0.070591138,0.926941347,0.076154913,0.939295852,0.999779309
AC012314.3,AC012314.3,protein_coding,509.5513807,-0.281658919,0.1479903,-1.903225537,0.057011122,0.595975102
AC012314.4,AC012314.4,protein_coding,10024.58952,0.114111198,0.131686465,0.866537028,0.38619573,0.968451565
AC013264.1,AC013264.1,protein_coding,332.696399,0.050158014,0.192402008,0.260693818,0.794328633,0.997447198
AC013461.1,AC013461.1,protein_coding,10300.28528,-0.050324045,0.072244768,-0.696577015,0.486067545,0.990963771
AC015688.3,AC015688.3,protein_coding,2.119581439,0.539113203,3.689841524,0.146107414,0.883836594,NA
AC020594.5,AC020594.5,antisense,13.24063058,0.121209702,0.902816291,0.134257327,0.893199096,0.999486641
AC023283.1,AC023283.1,protein_coding,37.311425,-1.799387785,0.696367589,-2.583962569,0.009767239,0.246237759
AC023491.2,AC023491.2,protein_coding,0,NA,NA,NA,NA,NA
AC023908.1,AC023908.1,protein_coding,317.4916264,-0.274345805,0.153681756,-1.785155329,0.074236125,0.656300067
AC024592.12,AC024592.12,protein_coding,2.138116237,0.19478769,2.262731497,0.086085199,0.93139869,NA
AC025263.3,AC025263.3,protein_coding,0,NA,NA,NA,NA,NA
AC025335.1,AC025335.1,protein_coding,44.30124,0.198598888,0.39355342,0.504630066,0.613818688,0.997447198
AC026348.1,AC026348.1,protein_coding,84.50363324,-0.164588527,0.322632181,-0.510142933,0.609951329,0.997447198
AC026369.1,AC026369.1,protein_coding,0.159327005,0.981144094,4.080472857,0.240448626,0.809982485,NA
AC027682.1,AC027682.1,protein_coding,9.780215738,-6.723863939,3.181261145,-2.113584403,0.034550779,0.478794725
AC037459.4,AC037459.4,protein_coding,2.311699691,-1.121139077,1.911706485,-0.586459839,0.557566543,NA
AC037482.2,AC037482.2,protein_coding,5.355761801,-1.187581253,1.339638304,-0.88649395,0.375351413,0.967337671
AC068533.7,AC068533.7,protein_coding,60.47520767,-1.118234272,0.977521758,-1.143948217,0.252645113,0.907640153
AC069368.3,AC069368.3,protein_coding,4.774512218,-2.25082663,1.80714415,-1.245515821,0.212942204,0.880432409
AC073610.5,AC073610.5,protein_coding,27.87573399,-0.22570924,0.507348792,-0.444879823,0.656406605,0.997447198
AC074141.1,AC074141.1,protein_coding,3.571043961,1.658417522,3.320817564,0.49940037,0.617497358,NA
AC084219.2,AC084219.2,protein_coding,0.359561223,1.964116561,4.030312406,0.487336058,0.626020199,NA
AC090094.1,AC090094.1,protein_coding,775.8845326,-0.13290685,0.178587381,-0.744211878,0.456748303,0.98587318
AC090958.1,AC090958.1,protein_coding,0,NA,NA,NA,NA,NA
AC091304.1,AC091304.1,protein_coding,0,NA,NA,NA,NA,NA
