Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
DRR456179_1	(12.0, 2.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 31.0)	(17.0, 113.0)	(18.0, 338.0)	(19.0, 689.0)	(20.0, 1449.0)	(21.0, 3266.0)	(22.0, 6411.0)	(23.0, 11686.0)	(24.0, 18367.0)	(25.0, 28901.0)	(26.0, 43778.0)	(27.0, 67694.0)	(28.0, 97647.0)	(29.0, 140609.0)	(30.0, 181999.0)	(31.0, 240426.0)	(32.0, 310032.0)	(33.0, 437965.0)	(34.0, 682802.0)	(35.0, 1794143.0)	(36.0, 22140965.0)	(37.0, 11324000.0)		
DRR456179_2	(11.0, 23.0)	(12.0, 659.0)	(13.0, 12707.0)	(14.0, 72872.0)	(15.0, 197432.0)	(16.0, 312740.0)	(17.0, 355550.0)	(18.0, 319581.0)	(19.0, 291579.0)	(20.0, 279593.0)	(21.0, 313163.0)	(22.0, 354014.0)	(23.0, 397381.0)	(24.0, 365990.0)	(25.0, 296738.0)	(26.0, 222289.0)	(27.0, 193968.0)	(28.0, 186195.0)	(29.0, 204845.0)	(30.0, 234240.0)	(31.0, 296175.0)	(32.0, 388937.0)	(33.0, 609530.0)	(34.0, 1170388.0)	(35.0, 4170395.0)	(36.0, 22749303.0)	(37.0, 3537039.0)	
DRR456180_1	(14.0, 4.0)	(15.0, 15.0)	(16.0, 48.0)	(17.0, 136.0)	(18.0, 305.0)	(19.0, 707.0)	(20.0, 1623.0)	(21.0, 3365.0)	(22.0, 6953.0)	(23.0, 12869.0)	(24.0, 20375.0)	(25.0, 31604.0)	(26.0, 46322.0)	(27.0, 72025.0)	(28.0, 102634.0)	(29.0, 145961.0)	(30.0, 188215.0)	(31.0, 245541.0)	(32.0, 309432.0)	(33.0, 440825.0)	(34.0, 691671.0)	(35.0, 1798626.0)	(36.0, 22751877.0)	(37.0, 11945812.0)				
DRR456180_2	(11.0, 15.0)	(12.0, 480.0)	(13.0, 8165.0)	(14.0, 49017.0)	(15.0, 138733.0)	(16.0, 239726.0)	(17.0, 297855.0)	(18.0, 291541.0)	(19.0, 284001.0)	(20.0, 279215.0)	(21.0, 315151.0)	(22.0, 364748.0)	(23.0, 419839.0)	(24.0, 395025.0)	(25.0, 323719.0)	(26.0, 239208.0)	(27.0, 202579.0)	(28.0, 185848.0)	(29.0, 197787.0)	(30.0, 221481.0)	(31.0, 276960.0)	(32.0, 356416.0)	(33.0, 542726.0)	(34.0, 1000304.0)	(35.0, 3521091.0)	(36.0, 24118772.0)	(37.0, 4546543.0)	
DRR456181_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 10.0)	(16.0, 29.0)	(17.0, 124.0)	(18.0, 251.0)	(19.0, 549.0)	(20.0, 1126.0)	(21.0, 2416.0)	(22.0, 5119.0)	(23.0, 9723.0)	(24.0, 16584.0)	(25.0, 27810.0)	(26.0, 43661.0)	(27.0, 69146.0)	(28.0, 101351.0)	(29.0, 145177.0)	(30.0, 194239.0)	(31.0, 259282.0)	(32.0, 337419.0)	(33.0, 490824.0)	(34.0, 794978.0)	(35.0, 2035141.0)	(36.0, 26759768.0)	(37.0, 14337148.0)			
DRR456181_2	(11.0, 6.0)	(12.0, 234.0)	(13.0, 4851.0)	(14.0, 28848.0)	(15.0, 80375.0)	(16.0, 135640.0)	(17.0, 161463.0)	(18.0, 156536.0)	(19.0, 159271.0)	(20.0, 160329.0)	(21.0, 178037.0)	(22.0, 209898.0)	(23.0, 250528.0)	(24.0, 244777.0)	(25.0, 210665.0)	(26.0, 169946.0)	(27.0, 160017.0)	(28.0, 163894.0)	(29.0, 192507.0)	(30.0, 230313.0)	(31.0, 301190.0)	(32.0, 400855.0)	(33.0, 626144.0)	(34.0, 1187829.0)	(35.0, 4281777.0)	(36.0, 30055886.0)	(37.0, 5880060.0)	
DRR456182_1	(14.0, 2.0)	(15.0, 10.0)	(16.0, 28.0)	(17.0, 114.0)	(18.0, 266.0)	(19.0, 599.0)	(20.0, 1384.0)	(21.0, 3023.0)	(22.0, 5940.0)	(23.0, 11304.0)	(24.0, 17921.0)	(25.0, 28297.0)	(26.0, 42777.0)	(27.0, 66908.0)	(28.0, 97422.0)	(29.0, 140021.0)	(30.0, 181302.0)	(31.0, 239037.0)	(32.0, 304212.0)	(33.0, 437636.0)	(34.0, 687974.0)	(35.0, 1816837.0)	(36.0, 22917851.0)	(37.0, 11617780.0)				
DRR456182_2	(11.0, 24.0)	(12.0, 845.0)	(13.0, 16644.0)	(14.0, 90778.0)	(15.0, 229841.0)	(16.0, 337585.0)	(17.0, 352647.0)	(18.0, 295369.0)	(19.0, 254103.0)	(20.0, 237519.0)	(21.0, 265360.0)	(22.0, 301705.0)	(23.0, 339721.0)	(24.0, 314446.0)	(25.0, 252892.0)	(26.0, 186984.0)	(27.0, 163026.0)	(28.0, 157050.0)	(29.0, 175538.0)	(30.0, 202738.0)	(31.0, 258809.0)	(32.0, 337358.0)	(33.0, 518172.0)	(34.0, 971402.0)	(35.0, 3436871.0)	(36.0, 24119423.0)	(37.0, 4801795.0)	
DRR456183_1	(13.0, 1.0)	(14.0, 2.0)	(15.0, 7.0)	(16.0, 36.0)	(17.0, 131.0)	(18.0, 307.0)	(19.0, 715.0)	(20.0, 1733.0)	(21.0, 3998.0)	(22.0, 8073.0)	(23.0, 14524.0)	(24.0, 22413.0)	(25.0, 33769.0)	(26.0, 48983.0)	(27.0, 74990.0)	(28.0, 107904.0)	(29.0, 154474.0)	(30.0, 197893.0)	(31.0, 253367.0)	(32.0, 310358.0)	(33.0, 426347.0)	(34.0, 655332.0)	(35.0, 1650710.0)	(36.0, 20884207.0)	(37.0, 11267780.0)			
DRR456183_2	(11.0, 37.0)	(12.0, 1233.0)	(13.0, 23092.0)	(14.0, 126740.0)	(15.0, 326583.0)	(16.0, 489196.0)	(17.0, 522717.0)	(18.0, 443386.0)	(19.0, 381552.0)	(20.0, 354218.0)	(21.0, 389396.0)	(22.0, 439192.0)	(23.0, 493028.0)	(24.0, 454389.0)	(25.0, 357680.0)	(26.0, 259241.0)	(27.0, 214265.0)	(28.0, 197784.0)	(29.0, 209883.0)	(30.0, 231058.0)	(31.0, 281535.0)	(32.0, 352842.0)	(33.0, 521845.0)	(34.0, 938533.0)	(35.0, 3172125.0)	(36.0, 20930118.0)	(37.0, 4006386.0)	
DRR456184_1	(14.0, 4.0)	(15.0, 6.0)	(16.0, 44.0)	(17.0, 137.0)	(18.0, 298.0)	(19.0, 786.0)	(20.0, 1743.0)	(21.0, 4146.0)	(22.0, 8113.0)	(23.0, 14725.0)	(24.0, 22532.0)	(25.0, 33600.0)	(26.0, 48136.0)	(27.0, 72231.0)	(28.0, 102858.0)	(29.0, 147185.0)	(30.0, 195696.0)	(31.0, 238074.0)	(32.0, 285745.0)	(33.0, 389575.0)	(34.0, 595790.0)	(35.0, 1508364.0)	(36.0, 20092040.0)	(37.0, 11079217.0)				
DRR456184_2	(10.0, 1.0)	(11.0, 43.0)	(12.0, 1086.0)	(13.0, 15515.0)	(14.0, 85227.0)	(15.0, 237365.0)	(16.0, 399653.0)	(17.0, 472877.0)	(18.0, 443302.0)	(19.0, 413232.0)	(20.0, 393901.0)	(21.0, 437138.0)	(22.0, 493658.0)	(23.0, 547761.0)	(24.0, 496435.0)	(25.0, 394252.0)	(26.0, 292996.0)	(27.0, 252539.0)	(28.0, 236929.0)	(29.0, 254328.0)	(30.0, 282290.0)	(31.0, 351115.0)	(32.0, 454886.0)	(33.0, 723268.0)	(34.0, 1468227.0)	(35.0, 5082648.0)	(36.0, 18537490.0)	(37.0, 2072883.0)
DRR456185_1	(14.0, 4.0)	(15.0, 13.0)	(16.0, 32.0)	(17.0, 119.0)	(18.0, 288.0)	(19.0, 726.0)	(20.0, 1693.0)	(21.0, 3879.0)	(22.0, 7900.0)	(23.0, 14215.0)	(24.0, 22240.0)	(25.0, 32931.0)	(26.0, 47182.0)	(27.0, 71663.0)	(28.0, 101183.0)	(29.0, 142855.0)	(30.0, 182559.0)	(31.0, 234961.0)	(32.0, 290716.0)	(33.0, 388644.0)	(34.0, 585243.0)	(35.0, 1485376.0)	(36.0, 19630220.0)	(37.0, 10886293.0)				
DRR456185_2	(10.0, 2.0)	(11.0, 22.0)	(12.0, 790.0)	(13.0, 13436.0)	(14.0, 73278.0)	(15.0, 195899.0)	(16.0, 328337.0)	(17.0, 399353.0)	(18.0, 384794.0)	(19.0, 365385.0)	(20.0, 352912.0)	(21.0, 393038.0)	(22.0, 449473.0)	(23.0, 510051.0)	(24.0, 473648.0)	(25.0, 378724.0)	(26.0, 275676.0)	(27.0, 227182.0)	(28.0, 201131.0)	(29.0, 206514.0)	(30.0, 220059.0)	(31.0, 266498.0)	(32.0, 335436.0)	(33.0, 498832.0)	(34.0, 908755.0)	(35.0, 3129699.0)	(36.0, 19928631.0)	(37.0, 3613380.0)
DRR456186_1	(14.0, 2.0)	(15.0, 2.0)	(16.0, 33.0)	(17.0, 86.0)	(18.0, 213.0)	(19.0, 554.0)	(20.0, 1245.0)	(21.0, 2850.0)	(22.0, 5590.0)	(23.0, 10221.0)	(24.0, 15858.0)	(25.0, 25094.0)	(26.0, 38408.0)	(27.0, 60370.0)	(28.0, 87437.0)	(29.0, 124743.0)	(30.0, 163725.0)	(31.0, 223643.0)	(32.0, 275486.0)	(33.0, 379624.0)	(34.0, 601777.0)	(35.0, 1582866.0)	(36.0, 19464580.0)	(37.0, 9972050.0)				
DRR456186_2	(11.0, 11.0)	(12.0, 720.0)	(13.0, 15159.0)	(14.0, 86647.0)	(15.0, 223548.0)	(16.0, 330550.0)	(17.0, 345501.0)	(18.0, 284987.0)	(19.0, 241987.0)	(20.0, 224005.0)	(21.0, 250979.0)	(22.0, 282676.0)	(23.0, 317171.0)	(24.0, 291799.0)	(25.0, 236230.0)	(26.0, 177247.0)	(27.0, 157228.0)	(28.0, 154616.0)	(29.0, 174082.0)	(30.0, 201286.0)	(31.0, 256275.0)	(32.0, 334150.0)	(33.0, 509242.0)	(34.0, 939988.0)	(35.0, 3215856.0)	(36.0, 20112156.0)	(37.0, 3672361.0)	
