Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
DRR456174_2 - polyg	(1, 3.6335612867310303)	(2, 3.694296590308884)	(3, 3.69503267408759)	(4, 3.6956201025103357)	(5, 3.696169168260576)	(6, 3.6972193464204235)	(7, 3.698880929673333)	(8, 3.7027939222689294)	(9, 3.7065558618415344)	(10, 3.714130091994408)	(12, 3.7247721371142335)	(14, 3.7289416800822135)	(16, 3.7299846652409663)	(18, 3.73054691815988)	(20, 3.730936539052517)	(22, 3.7312122707611532)	(24, 3.7314904001368205)	(26, 3.731749348176235)	(28, 3.732034670552997)	(30, 3.7323751392714866)	(32, 3.7327443799943554)	(34, 3.7331711647259826)	(36, 3.7336219261279266)	(38, 3.734052307360102)	(40, 3.7344790920917292)	(42, 3.7349094733239045)	(44, 3.735312281385216)	(46, 3.7357390661168433)	(48, 3.736170646182534)	(50, 3.736630998252604)	(52, 3.7371177246600222)	(54, 3.737642813739946)	(56, 3.7381750958209645)	(58, 3.7387709160783213)	(60, 3.73941468967631)	(62, 3.740053667940235)	(64, 3.7407142252074452)	(66, 3.7413879696433296)	(68, 3.7421372405907096)	(70, 3.7429344648787213)	(72, 3.7438096133452614)	(74, 3.744714732649696)	(76, 3.7456462262914787)	(78, 3.7466976032848422)	(80, 3.747898834467682)	(82, 3.7492583116746077)	(84, 3.7505050985310477)	(86, 3.751717119215529)	(88, 3.753116157928477)	(90, 3.7542478567673996)
DRR456175_1 - illumina_universal_adapter	(1, 1.106568818245142e-05)	(2, 1.106568818245142e-05)	(3, 1.991823872841256e-05)	(4, 5.311530327576682e-05)	(5, 6.86072667311988e-05)	(6, 0.0003098392691086398)	(7, 0.0003275443702005621)	(8, 0.00033639692074652317)	(9, 0.00035188888420195516)	(10, 0.0003939384992952706)	(12, 0.0004348815455703409)	(14, 0.00048689028002786247)	(16, 0.0005554975467590613)	(18, 0.000630744226399731)	(20, 0.0007225894383140778)	(22, 0.000825500338410876)	(24, 0.0009527557525090674)	(26, 0.0011663235344303797)	(28, 0.0014606708400835876)	(30, 0.0018335845318322003)	(32, 0.002304982848404631)	(34, 0.002895890597347537)	(36, 0.003584176402296015)	(38, 0.004617711678536978)	(40, 0.006101620463803714)	(42, 0.008035902758096222)	(44, 0.010057603989030096)	(46, 0.012511973627897821)	(48, 0.01607955149792016)	(50, 0.021005995876747532)	(52, 0.027073312707185646)	(54, 0.03340731262282084)	(56, 0.04093087401806956)	(58, 0.0503178973032431)	(60, 0.06282101838059496)	(62, 0.07790355137327624)	(64, 0.09530987888427234)	(66, 0.11497471335330675)	(68, 0.13892307571776813)	(70, 0.1684164544304559)	(72, 0.20407120832313264)	(74, 0.24753059209089232)	(76, 0.2981494761126981)	(78, 0.35826382716386546)	(80, 0.43216049284627606)	(82, 0.5253468661683359)	(84, 0.64570835652886)	(86, 0.7836167086402974)	(88, 0.9489159587097566)	(90, 1.0921612922315904)
DRR456175_1 - polya	(1, 0.06282655122468618)	(2, 0.07858409119649701)	(3, 0.09288096032822425)	(4, 0.11088483500107271)	(5, 0.12574162795483199)	(6, 0.13823036363754665)	(7, 0.14955056264819447)	(8, 0.16388505511974202)	(9, 0.18326992767776043)	(10, 0.2035389487215567)	(12, 0.21916923327926932)	(14, 0.2346114011378803)	(16, 0.24671505087184564)	(18, 0.25690986939433813)	(20, 0.26661779763680277)	(22, 0.2774997953954255)	(24, 0.28903577532563113)	(26, 0.30289997604942454)	(28, 0.31539977742032166)	(30, 0.32961586702831697)	(32, 0.34185119845165346)	(34, 0.35323336531612304)	(36, 0.3632367474330591)	(38, 0.3733220156425453)	(40, 0.3840800776935246)	(42, 0.3950218301683326)	(44, 0.405121483772456)	(46, 0.41633545217655227)	(48, 0.4264616634323135)	(50, 0.4347520770186062)	(52, 0.4427249053540624)	(54, 0.45132847791591835)	(56, 0.46017660218660655)	(58, 0.46845705665353493)	(60, 0.4756099174946715)	(62, 0.4844071395997204)	(64, 0.4922803767415346)	(66, 0.5001679992779859)	(68, 0.5079206204186114)	(70, 0.5162353785189054)	(72, 0.5249119846227657)	(74, 0.5327730495075791)	(76, 0.5419465050108314)	(78, 0.5512129122948162)	(80, 0.5588703685170725)	(82, 0.5661526979099438)	(84, 0.5742229043014057)	(86, 0.5851558042256676)	(88, 0.5934130207474129)	(90, 0.6003157970356261)
DRR456175_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00016819846037326158)	(4, 0.0002235269012855187)	(5, 0.0002810684798342661)	(6, 0.00031869181965460093)	(7, 0.0003496757465654649)	(8, 0.00038729908638579974)	(9, 0.00044262752729805685)	(10, 0.0005267267574846876)	(12, 0.000684966098493743)	(14, 0.0007668521910438835)	(16, 0.0008387791642298177)	(18, 0.0009118127062339971)	(20, 0.0009782068353287056)	(22, 0.0010689454784248071)	(24, 0.0011652169656121347)	(26, 0.0012526359022535009)	(28, 0.0013356285636218865)	(30, 0.0014374328949004395)	(32, 0.0015580488960891602)	(34, 0.0017251407876441765)	(36, 0.0019066180738363798)	(38, 0.0020980544793927896)	(40, 0.002275105490312012)	(42, 0.0024233857119568608)	(44, 0.002633633787423438)	(46, 0.0028162176424338867)	(48, 0.002998801497444335)	(50, 0.0031492948567256743)	(52, 0.0032909356654610526)	(54, 0.0034701998140167657)	(56, 0.003690407008847549)	(58, 0.0038895893961316745)	(60, 0.004079919232869839)	(62, 0.004266929363153268)	(64, 0.004498202246166503)	(66, 0.00478812327654673)	(68, 0.00782897438908438)	(70, 0.14910904168971467)	(72, 0.16252950831739174)	(74, 0.16356636330008745)	(76, 0.16429227244485625)	(78, 0.16475481821088273)	(80, 0.16512883847144957)	(82, 0.16549843245674345)	(84, 0.16586691987321908)	(86, 0.16624094013378593)	(88, 0.16666254285353732)	(90, 0.16702107115064876)
DRR456175_2 - illumina_universal_adapter	(1, 1.106568818245142e-05)	(2, 1.106568818245142e-05)	(3, 2.655765163788341e-05)	(4, 5.311530327576682e-05)	(5, 6.639412909470853e-05)	(6, 8.188609255014052e-05)	(7, 8.852550545961136e-05)	(8, 9.295178073259194e-05)	(9, 0.00010623060655153364)	(10, 0.00014717365282660387)	(12, 0.0001914364055564096)	(14, 0.00024012543355919584)	(16, 0.00030430642501741407)	(18, 0.00038840565520404486)	(20, 0.0004824640047548819)	(22, 0.0005931208865793962)	(24, 0.0007469339523154709)	(26, 0.0009826331106016861)	(28, 0.001300218361438042)	(30, 0.0017041159800975187)	(32, 0.0022020719483078328)	(34, 0.0028173242112521316)	(36, 0.0035233151172925324)	(38, 0.0046022197150815455)	(40, 0.006123751840168616)	(42, 0.00814102679582951)	(44, 0.010210310485947924)	(46, 0.012743246510911056)	(48, 0.01634402144548075)	(50, 0.0213656307426772)	(52, 0.027510407390392476)	(54, 0.0339163342792136)	(56, 0.041515142354103)	(58, 0.051043806448011916)	(60, 0.06372619167391949)	(62, 0.07896143116351861)	(64, 0.09658021988761775)	(66, 0.11641546595466193)	(68, 0.1405851420827723)	(70, 0.17032417907311054)	(72, 0.20625004232625732)	(74, 0.2500911923363116)	(76, 0.3012124586016006)	(78, 0.3617395598219735)	(80, 0.43609102528868277)	(82, 0.5299966683426021)	(84, 0.6512467334641769)	(86, 0.7900768574012125)	(88, 0.9560511144498014)	(90, 1.0998364535549385)
DRR456175_2 - polya	(1, 0.02859816453872745)	(2, 0.035507580239850116)	(3, 0.06299474968505944)	(4, 0.1026873731955127)	(5, 0.13877922177139626)	(6, 0.16825157567653737)	(7, 0.20550310837394184)	(8, 0.2525300700117239)	(9, 0.3045675752585199)	(10, 0.3808666018453407)	(12, 0.4909569204349134)	(14, 0.6167627293812036)	(16, 0.7695544320980381)	(18, 0.9560643932756203)	(20, 1.182750548537229)	(22, 1.466870945172215)	(24, 1.8795359085786483)	(26, 2.2106434303739597)	(28, 2.4947748926971283)	(30, 2.752384113584597)	(32, 2.9912524849662665)	(34, 3.2197545196586157)	(36, 3.429277792549242)	(38, 3.626802539743636)	(40, 3.815719288100902)	(42, 3.9912399143444914)	(44, 4.15833069933069)	(46, 4.314433255951714)	(48, 4.466686059654062)	(50, 4.618329143937558)	(52, 4.761868824765045)	(54, 4.896200746455914)	(56, 5.026063236689891)	(58, 5.150907437333126)	(60, 5.269304768041265)	(62, 5.38328467602697)	(64, 5.500291049730575)	(66, 5.6225071494304775)	(68, 5.739625286584726)	(70, 5.841943065794944)	(72, 5.938027542851988)	(74, 6.028077900143141)	(76, 6.1122545901470495)	(78, 6.19108876589647)	(80, 6.270512742826015)	(82, 6.347730221531979)	(84, 6.421498525231473)	(86, 6.496375610886849)	(88, 6.568549348919252)	(90, 6.618414659575833)
DRR456175_2 - polyg	(1, 6.189090302610719)	(2, 6.294041715608361)	(3, 6.295362958777346)	(4, 6.296323460511583)	(5, 6.297345930099641)	(6, 6.298771190737541)	(7, 6.301460152965877)	(8, 6.307712266788962)	(9, 6.314165776136967)	(10, 6.326263893026842)	(12, 6.342986361008162)	(14, 6.349645692156361)	(16, 6.351168330850267)	(18, 6.352020388840316)	(20, 6.352621255708623)	(22, 6.35310150657574)	(24, 6.3534998713503095)	(26, 6.3538440142527834)	(28, 6.354164919210074)	(30, 6.354556644571733)	(32, 6.355010337787213)	(34, 6.355504974048969)	(36, 6.35600293001718)	(38, 6.356495353141299)	(40, 6.356947939787961)	(42, 6.357391673884077)	(44, 6.357849793374831)	(46, 6.358324511397858)	(48, 6.358820254228432)	(50, 6.359298291957914)	(52, 6.359784075669124)	(54, 6.360368344005157)	(56, 6.360960358322918)	(58, 6.361550159503043)	(60, 6.362174264316533)	(62, 6.362771811478385)	(64, 6.363436859338151)	(66, 6.364121825436644)	(68, 6.364886464490052)	(70, 6.36574516189301)	(72, 6.366648122048698)	(74, 6.367618582902299)	(76, 6.368638839352721)	(78, 6.369673481197781)	(80, 6.370988084953856)	(82, 6.372671176126406)	(84, 6.3743797183817765)	(86, 6.3761314168210586)	(88, 6.377832213094702)	(90, 6.37900628261086)
DRR456176_1 - illumina_universal_adapter	(1, 1.771378770379713e-05)	(2, 2.0244328804339575e-05)	(3, 4.301919870922159e-05)	(4, 6.326352751356117e-05)	(5, 8.09773152173583e-05)	(6, 0.0003871727883829944)	(7, 0.0004074171171873339)	(8, 0.0004276614459916735)	(9, 0.00044537523369547066)	(10, 0.0005048429495582181)	(12, 0.0005731675592728642)	(14, 0.0006705933916437484)	(16, 0.0008085078816233118)	(18, 0.0009223822311477219)	(20, 0.0010602967211272851)	(22, 0.001218455539911188)	(24, 0.0013892670641978033)	(26, 0.0016144852221460812)	(28, 0.001977617870073922)	(30, 0.002424258374319664)	(32, 0.002935427676629238)	(34, 0.003540226999658883)	(36, 0.00429179770651999)	(38, 0.0052230368315196105)	(40, 0.006499694816743274)	(42, 0.008405192265451738)	(44, 0.010337260395715895)	(46, 0.01267927618426793)	(48, 0.01596265326222175)	(50, 0.020639093216024196)	(52, 0.026308770551789547)	(54, 0.03246557704940932)	(56, 0.03924995773996362)	(58, 0.04791579573877123)	(60, 0.05977011552426233)	(62, 0.0742625244070689)	(64, 0.08995440977153263)	(66, 0.1085108676618104)	(68, 0.13054428902423348)	(70, 0.15757299851912734)	(72, 0.18983739755104356)	(74, 0.22926322789749487)	(76, 0.2762288054530124)	(78, 0.3321917218915086)	(80, 0.40010385340676624)	(82, 0.48536410943679265)	(84, 0.5953654658068226)	(86, 0.7226149903181498)	(88, 0.8754622033320141)	(90, 1.0086458467241133)
DRR456176_1 - polya	(1, 0.05681064770717793)	(2, 0.07242155575642428)	(3, 0.08673429622109237)	(4, 0.10429878199995749)	(5, 0.1191859552944487)	(6, 0.13111239550130524)	(7, 0.14228979554240123)	(8, 0.1559218204510234)	(9, 0.17492618411609717)	(10, 0.19514520750943132)	(12, 0.21102941399753627)	(14, 0.22657326270761824)	(16, 0.23965109911522162)	(18, 0.2506741361491845)	(20, 0.26110629183617073)	(22, 0.2725266238229188)	(24, 0.2841962141080703)	(26, 0.2987594781416921)	(28, 0.3115298538055795)	(30, 0.325489583786722)	(32, 0.33747422643889097)	(34, 0.34863517796283344)	(36, 0.358999009040105)	(38, 0.3694248383743399)	(40, 0.3809451267345594)	(42, 0.3923857030501118)	(44, 0.4030785044704539)	(46, 0.4143482692617197)	(48, 0.4244425977117835)	(50, 0.4336271966362023)	(52, 0.4425625372622177)	(54, 0.4523013246876553)	(56, 0.46204517319529403)	(58, 0.4709830443624099)	(60, 0.47898461532232517)	(62, 0.48844630849725335)	(64, 0.49726650950319407)	(66, 0.5056641101453442)	(68, 0.513963019684573)	(70, 0.522984398708007)	(72, 0.5323486660505643)	(74, 0.5412928635704315)	(76, 0.5512189110373092)	(78, 0.5611133267404302)	(80, 0.568907393330101)	(82, 0.5766786850498669)	(84, 0.5857734497652164)	(86, 0.5978352739209519)	(88, 0.6068490613210842)	(90, 0.6141572640194507)
DRR456176_2 - illumina_universal_adapter	(1, 1.771378770379713e-05)	(2, 2.0244328804339575e-05)	(3, 4.301919870922159e-05)	(4, 6.326352751356117e-05)	(5, 7.844677411681586e-05)	(6, 9.363002072007053e-05)	(7, 0.00010375218512224032)	(8, 0.00011640489062495255)	(9, 0.0001341186783287497)	(10, 0.00019611693529203962)	(12, 0.000260645733355872)	(14, 0.00035301048352567133)	(16, 0.00047953753855279366)	(18, 0.0005908813469766613)	(20, 0.0007300611075064958)	(22, 0.0009008726317931111)	(24, 0.0010906632143337946)	(26, 0.0013462478654885817)	(28, 0.0017359511949721186)	(30, 0.0022218150862762685)	(32, 0.002768411963993437)	(34, 0.0034010472391290485)	(36, 0.004220942555704802)	(38, 0.00520279250271527)	(40, 0.006507286440044903)	(42, 0.00847225160461611)	(44, 0.010485297050097628)	(46, 0.012889311095612952)	(48, 0.01625746130043495)	(50, 0.020999695322851494)	(52, 0.0267857775492418)	(54, 0.033079233266290864)	(56, 0.03996989668306795)	(58, 0.04878503660680756)	(60, 0.06074816965962197)	(62, 0.07530131152884159)	(64, 0.09113743773603622)	(66, 0.10988874729105574)	(68, 0.1320689400373103)	(70, 0.1592330334810832)	(72, 0.191654326061233)	(74, 0.23135472011709318)	(76, 0.2785088229846011)	(78, 0.334777934896263)	(80, 0.4029570384976279)	(82, 0.4884475737678036)	(84, 0.598581783545612)	(86, 0.7260628525676388)	(88, 0.8790530411536839)	(90, 1.0124644332448318)
DRR456176_2 - polya	(1, 0.0300527061100421)	(2, 0.03735837826730814)	(3, 0.06236265488176806)	(4, 0.10091797908963278)	(5, 0.1354674567353388)	(6, 0.16089180317248877)	(7, 0.19400140293198614)	(8, 0.23569712864562403)	(9, 0.2828613536775342)	(10, 0.3476141046287646)	(12, 0.43890590537193386)	(14, 0.5447862755597304)	(16, 0.6715828332140605)	(18, 0.8218488943053714)	(20, 1.0058432724552626)	(22, 1.2422426262562871)	(24, 1.6060218274353169)	(26, 1.905126724437233)	(28, 2.1649778678875347)	(30, 2.399314830691617)	(32, 2.6151016619581733)	(34, 2.8192416778094826)	(36, 3.010799843308895)	(38, 3.1914703557232236)	(40, 3.366901382788879)	(42, 3.531526999355218)	(44, 3.6885268303150727)	(46, 3.834800962820278)	(48, 3.977499440750417)	(50, 4.121497351535684)	(52, 4.25886271409643)	(54, 4.389414594743965)	(56, 4.513638857369594)	(58, 4.632995624188329)	(60, 4.746801649103024)	(62, 4.856098249776553)	(64, 4.967468628881976)	(66, 5.075406328984514)	(68, 5.179992327399383)	(70, 5.276850053293195)	(72, 5.371647918731167)	(74, 5.461207564091014)	(76, 5.546971397800049)	(78, 5.62777790149312)	(80, 5.707149588382185)	(82, 5.784036283910517)	(84, 5.859542569268502)	(86, 5.936777214198157)	(88, 6.0101679671960895)	(90, 6.060602916600451)
DRR456176_2 - polyg	(1, 6.216048995324572)	(2, 6.3269094703982365)	(3, 6.328189924195111)	(4, 6.32893137273757)	(5, 6.329746206971945)	(6, 6.331391058687297)	(7, 6.334038004678464)	(8, 6.340017673299046)	(9, 6.346303537392794)	(10, 6.358875265580289)	(12, 6.375650222535784)	(14, 6.382316933065163)	(16, 6.38416675860966)	(18, 6.385148608556671)	(20, 6.385882465475827)	(22, 6.38645436776455)	(24, 6.386855458528986)	(26, 6.387308425385983)	(28, 6.387737352102525)	(30, 6.388277622627491)	(32, 6.388863442892267)	(34, 6.389513791955106)	(36, 6.390136305065839)	(38, 6.390725921142266)	(40, 6.391237090444576)	(42, 6.391736872311933)	(44, 6.392230327826539)	(46, 6.392770598351504)	(48, 6.393323521581973)	(50, 6.393896689141245)	(52, 6.39447744832382)	(54, 6.395103757246204)	(56, 6.395736392521339)	(58, 6.396404455371883)	(60, 6.397059865516924)	(62, 6.397727928367467)	(64, 6.398514926649735)	(66, 6.399294333308703)	(68, 6.400116759166378)	(70, 6.401018897068722)	(72, 6.401972911063627)	(74, 6.40301296345595)	(76, 6.404069464365426)	(78, 6.4051601275797605)	(80, 6.406555720996709)	(82, 6.408155022972252)	(84, 6.409659429656525)	(86, 6.4109854331932095)	(88, 6.412397475127312)	(90, 6.413499525776598)
DRR456177_1 - illumina_universal_adapter	(1, 4.003160495210969e-05)	(2, 4.50355555711234e-05)	(3, 8.006320990421938e-05)	(4, 0.00019265209883202787)	(5, 0.00023018172847463073)	(6, 0.0008056360496612075)	(7, 0.0008406637039943035)	(8, 0.0008756913583273995)	(9, 0.0009282328398270435)	(10, 0.0010533316053023861)	(12, 0.0012297208646226197)	(14, 0.0015011851857041135)	(16, 0.0017726495067856072)	(18, 0.002059125679724142)	(20, 0.002416908148983623)	(22, 0.0028159732108499662)	(24, 0.0032100343220972955)	(26, 0.003701672470415393)	(28, 0.004170792840947929)	(30, 0.004825059384383971)	(32, 0.005585659878474055)	(34, 0.006373782100968715)	(36, 0.007358309385259662)	(38, 0.008606795064703583)	(40, 0.010077956546693615)	(42, 0.012177113831369867)	(44, 0.014418883708688008)	(46, 0.016789505314445757)	(48, 0.02021470951316064)	(50, 0.024740782848058543)	(52, 0.03009751198571272)	(54, 0.0360209385309702)	(56, 0.042744997175269875)	(58, 0.05082262446201276)	(60, 0.06152982779904735)	(62, 0.07479905385301695)	(64, 0.08953693941366708)	(66, 0.10658039522202778)	(68, 0.12706156510565092)	(70, 0.1516747472129246)	(72, 0.18102792154405903)	(74, 0.21741414847021723)	(76, 0.26082091811485164)	(78, 0.31221524393508676)	(80, 0.3743092671664279)	(82, 0.45151897423015475)	(84, 0.5509649868571237)	(86, 0.6662284873907951)	(88, 0.8041411194137772)	(90, 0.9250127976037081)
DRR456177_1 - polya	(1, 0.05265156841326227)	(2, 0.06744825039368582)	(3, 0.08040848249693133)	(4, 0.09685146423101039)	(5, 0.10943139608721085)	(6, 0.1197795659673312)	(7, 0.12943468868671817)	(8, 0.14179194474037252)	(9, 0.1594133568452293)	(10, 0.17867231179015836)	(12, 0.1924857174739457)	(14, 0.20783283402246072)	(16, 0.2229297530400251)	(18, 0.2351756711924064)	(20, 0.2465896825543767)	(22, 0.259393541200778)	(24, 0.272163623180501)	(26, 0.2880761861489646)	(28, 0.3020334554130486)	(30, 0.3164848648007602)	(32, 0.32885838369392634)	(34, 0.3415659162909117)	(36, 0.35307375172698846)	(38, 0.36459534802726756)	(40, 0.37777200099478536)	(42, 0.39031315223368845)	(44, 0.4018435054475509)	(46, 0.4141607298962531)	(48, 0.4250305616284056)	(50, 0.43544628484188264)	(52, 0.44528655373417314)	(54, 0.4568043970714879)	(56, 0.4683122325075647)	(58, 0.47823881954803316)	(60, 0.4873597705388404)	(62, 0.49780301548072203)	(64, 0.5079072427681655)	(66, 0.5179163949938477)	(68, 0.5275627607996514)	(70, 0.5383375174700427)	(72, 0.549831592041917)	(74, 0.5596330803169103)	(76, 0.5716763384692214)	(78, 0.5834831599547843)	(80, 0.5924427335381284)	(82, 0.6014986331708885)	(84, 0.6118793287300324)	(86, 0.6248308039196946)	(88, 0.6350038355281494)	(90, 0.6434555081236636)
DRR456177_2 - illumina_universal_adapter	(1, 3.752962964260283e-05)	(2, 4.003160495210969e-05)	(3, 7.255728397569881e-05)	(4, 0.00015512246918942505)	(5, 0.00018764814821301418)	(6, 0.0002201738272366033)	(7, 0.00025019753095068556)	(8, 0.00028022123466476785)	(9, 0.0003277587655453981)	(10, 0.00044284962978271343)	(12, 0.0006167369137934399)	(14, 0.0008831972842559201)	(16, 0.0011509086423731536)	(18, 0.0014486437042044694)	(20, 0.0018114301240829637)	(22, 0.0022317619760801152)	(24, 0.002700882346612651)	(26, 0.0032750856801444742)	(28, 0.003829273211200243)	(30, 0.004557348026266738)	(32, 0.005433039384594137)	(34, 0.006352515310837907)	(36, 0.0074759022248064855)	(38, 0.008854490620344761)	(40, 0.010433237040643587)	(42, 0.012702528646366305)	(44, 0.015145707536099751)	(46, 0.01770773025303477)	(48, 0.021326837538236436)	(50, 0.026080590626299464)	(52, 0.0316399797640237)	(54, 0.03780484692664859)	(56, 0.04470029087964948)	(58, 0.052945550512129326)	(60, 0.06390920631838837)	(62, 0.0774411397798562)	(64, 0.09239419521712391)	(66, 0.10979042954412509)	(68, 0.13042672189693763)	(70, 0.15530261141170953)	(72, 0.18491098722441368)	(74, 0.22157993736054615)	(76, 0.26521813972131)	(78, 0.3168313883811269)	(80, 0.3791093067977168)	(82, 0.45628648818242)	(84, 0.5557337517970438)	(86, 0.6711348609727379)	(88, 0.8089974534895299)	(90, 0.9298190921732707)
DRR456177_2 - polya	(1, 0.03867803630966648)	(2, 0.04751251112753519)	(3, 0.07410600669228355)	(4, 0.10996932077875483)	(5, 0.1410163323944254)	(6, 0.16591599067463764)	(7, 0.19805136154994368)	(8, 0.24018462576203914)	(9, 0.2880949509637859)	(10, 0.3555507072834002)	(12, 0.44965625361222683)	(14, 0.5622789192067137)	(16, 0.6991845061676194)	(18, 0.857323106592655)	(20, 1.0432536487556927)	(22, 1.2713086982172426)	(24, 1.5921770237602586)	(26, 1.852334918418091)	(28, 2.0751570865198072)	(30, 2.27298702325486)	(32, 2.453185539983817)	(34, 2.6253789867100075)	(36, 2.7847885905922727)	(38, 2.932640319532271)	(40, 3.0730136442721525)	(42, 3.2023782776502046)	(44, 3.324769905840661)	(46, 3.4396893847692755)	(48, 3.5515889794993147)	(50, 3.662960657439048)	(52, 3.7678472153765394)	(54, 3.8663549872624436)	(56, 3.9608483397642438)	(58, 4.0516562826351405)	(60, 4.137392721553667)	(62, 4.220994975533183)	(64, 4.306246031241665)	(66, 4.391073002135185)	(68, 4.470431905989779)	(70, 4.544814380953763)	(72, 4.6172728369047356)	(74, 4.6852665179158945)	(76, 4.755313069668503)	(78, 4.820540816975002)	(80, 4.880252959711692)	(82, 4.937660783188328)	(84, 4.996317092344406)	(86, 5.057836912242215)	(88, 5.112895380903224)	(90, 5.1511718501757136)
DRR456177_2 - polyg	(1, 4.1156292893239215)	(2, 4.180420441938911)	(3, 4.1818240500875445)	(4, 4.182939931075584)	(5, 4.183738061199317)	(6, 4.185176697002284)	(7, 4.18747351033641)	(8, 4.192189733794831)	(9, 4.197056075771822)	(10, 4.206567334910913)	(12, 4.218810751087984)	(14, 4.223329318496953)	(16, 4.224559039361576)	(18, 4.225234572695143)	(20, 4.2258112780039845)	(22, 4.226250374670803)	(24, 4.226621918004264)	(26, 4.226943421831535)	(28, 4.227318718127962)	(30, 4.227769073683673)	(32, 4.228158130844301)	(34, 4.228698557511155)	(36, 4.229218968375532)	(38, 4.229668072943589)	(40, 4.230143448252395)	(42, 4.230593803808107)	(44, 4.231016637635413)	(46, 4.231444475413339)	(48, 4.231923603685109)	(50, 4.232444014549487)	(52, 4.23300820998178)	(54, 4.23364746467336)	(56, 4.234236679858748)	(58, 4.234827146031792)	(60, 4.235448886896204)	(62, 4.236114412328533)	(64, 4.236907538501647)	(66, 4.2376256054154755)	(68, 4.238388707884875)	(70, 4.239211857761703)	(72, 4.240111317885471)	(74, 4.241095845169761)	(76, 4.242112898133076)	(78, 4.243228779121116)	(80, 4.24457734381294)	(82, 4.246339985418488)	(84, 4.247960014431394)	(86, 4.249496227271431)	(88, 4.251107499370754)	(90, 4.252387259741566)
DRR456178_1 - illumina_universal_adapter	(1, 1.2246213152491708e-05)	(2, 1.4695455782990049e-05)	(3, 1.9593941043986734e-05)	(4, 4.408636734897015e-05)	(5, 5.388333787096351e-05)	(6, 0.00032819851248677776)	(7, 0.00034044472563926945)	(8, 0.0003526909387917612)	(9, 0.0003722848798357479)	(10, 0.00041024814060847223)	(12, 0.00047515307031667823)	(14, 0.0005363841360791368)	(16, 0.0006159845215703329)	(18, 0.0006943602857462798)	(20, 0.0007911053696509643)	(22, 0.0009270383356436223)	(24, 0.0010335803900703002)	(26, 0.0012442152562931576)	(28, 0.0015871092245629253)	(30, 0.0019973573651713974)	(32, 0.0025141475602065474)	(34, 0.003185240040963093)	(36, 0.003918788208797346)	(38, 0.004945020870976152)	(40, 0.006447631224786884)	(42, 0.008415597678392301)	(44, 0.010537866417719114)	(46, 0.012968739728488717)	(48, 0.01664505291686673)	(50, 0.02201011889897335)	(52, 0.028550821343719168)	(54, 0.03559606777034764)	(56, 0.04377776277752736)	(58, 0.05401192310906468)	(60, 0.06751459773100203)	(62, 0.0841780199675975)	(64, 0.10307637610452271)	(66, 0.12491259877673067)	(68, 0.15069455132667148)	(70, 0.18178646189953268)	(72, 0.2196186881915253)	(74, 0.26623512317780024)	(76, 0.3211875554569763)	(78, 0.3855622241356794)	(80, 0.46395268376740934)	(82, 0.5613970264431012)	(84, 0.6867308949522775)	(86, 0.8335127811767278)	(88, 1.0072314378513991)	(90, 1.159074683971774)
DRR456178_1 - polya	(1, 0.0567073146239281)	(2, 0.07023693091480095)	(3, 0.08272806833034248)	(4, 0.09819993402720051)	(5, 0.11169526092124636)	(6, 0.12276338836846837)	(7, 0.13298162862290747)	(8, 0.1463642903559504)	(9, 0.16355552437941825)	(10, 0.18242081574083174)	(12, 0.1973513988163496)	(14, 0.21298368990550529)	(16, 0.2253903284502946)	(18, 0.23590247782039353)	(20, 0.2466362836485525)	(22, 0.25657775948574524)	(24, 0.2666674145020832)	(26, 0.279533286040091)	(28, 0.29166928327421027)	(30, 0.30446290215461835)	(32, 0.31564002089889753)	(34, 0.32671427145269577)	(36, 0.3370831401289105)	(38, 0.3465519121384171)	(40, 0.35695384559014354)	(42, 0.3696923565113654)	(44, 0.3806931297862487)	(46, 0.39072645222208513)	(48, 0.3991751146759892)	(50, 0.40696615548360443)	(52, 0.41752116659973704)	(54, 0.42642538818291376)	(56, 0.43563821433753325)	(58, 0.4437378597165913)	(60, 0.45066554249695584)	(62, 0.45802061811634237)	(64, 0.46541733086044734)	(66, 0.4728703761850538)	(68, 0.480007469210326)	(70, 0.48702577396801894)	(72, 0.4946919034014788)	(74, 0.5019588062861673)	(76, 0.5104086933613866)	(78, 0.5189798179468156)	(80, 0.5260299628587051)	(82, 0.5326931274349758)	(84, 0.5403690538389576)	(86, 0.549670052728275)	(88, 0.5575786571821542)	(90, 0.5643593854046889)
