Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,treatment,antibody
SRR26261002,RNA-Seq,270,7983198546,PRJNA1023260,SAMN37650549,3510593223,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970608,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817951,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:15:00Z,1,GSM7817951,A549-ACE2,SRP464222,mock,
SRR26261003,RNA-Seq,271,10764108287,PRJNA1023260,SAMN37650550,4705241564,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970607,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817950,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:15:00Z,1,GSM7817950,A549-ACE2,SRP464222,mock,
SRR26261004,RNA-Seq,272,8124085646,PRJNA1023260,SAMN37650551,3559507188,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970606,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817949,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:17:00Z,1,GSM7817949,A549-ACE2,SRP464222,mock,
SRR26261005,RNA-Seq,271,9517117928,PRJNA1023260,SAMN37650552,4184674203,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX21970605,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817948,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:20:00Z,1,GSM7817948,A549-ACE2,SRP464222,mock,
SRR26261006,RNA-Seq,274,15857442193,PRJNA1023260,SAMN37650535,6784997157,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970604,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817965,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T23:23:00Z,1,GSM7817965,A549-ACE2,SRP464222,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26261235,OTHER,202,6695658246,PRJNA1023259,SAMN37651285,2206908733,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX21970849,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817920,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-03T02:17:00Z,1,GSM7817920,A549-ACE2,SRP464232,TNF-alpha,"p65 (Cell Signaling\, D14E12)"
SRR26261236,OTHER,202,5463967084,PRJNA1023259,SAMN37651286,1775052657,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970848,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817919,PAIRED,other,GENOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-03T01:30:00Z,1,GSM7817919,A549-ACE2,SRP464232,none,"IgG (Invitrogen\, 31235)"
SRR26260919,RNA-Seq,263,4668862926,PRJNA1023258,SAMN37650488,2046466721,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970550,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817929,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:50:00Z,1,GSM7817929,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260920,RNA-Seq,247,4211036891,PRJNA1023258,SAMN37650489,1849608004,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX21970549,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817928,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:46:00Z,1,GSM7817928,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
SRR26260921,RNA-Seq,255,4130663014,PRJNA1023258,SAMN37650490,1816469857,A549-ACE2,human alveolar basal epithelial cells,INSTITUT PASTEUR,missing,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX21970548,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7817927,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-08T00:00:00Z,2023-10-02T22:46:00Z,1,GSM7817927,A549-ACE2,SRP464218,SARS-CoV-2 infection at MOI 1 during 24 h,
